dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_0,claritree,4,0.1,0.1,3,20,quantile,0,0.806915086509282,20616603.932979006,89523045991.8075,0.3371281623840332,20351123.948674638,0.8090031761150436,21939976.36462359,0.8036516231878774,3.0
auction,outer_0,claritree,4,0.1,0.01,3,20,quantile,0,0.8608639687971978,14848766.722818151,79715190748.09152,0.3143503665924072,14521194.97969515,0.8637174965308698,16729082.490519067,0.8502857004957456,3.0
auction,outer_0,claritree,4,0.1,0.001,3,20,quantile,0,0.8712149584490474,13733144.223474776,74869773354.48099,0.2814681529998779,13377141.866376877,0.8744545207635642,15949621.390580846,0.8572613653377477,3.0
auction,outer_0,claritree,4,0.1,0.0001,3,20,quantile,0,0.8713488486573432,13716312.146945104,74134221297.13695,0.2746169567108154,13351695.557936791,0.8746933362758628,15975571.962418647,0.8570291247658792,3.0
auction,outer_0,claritree,4,0.1,1e-05,3,20,quantile,0,0.871339521114974,13717024.024838602,74056731154.83029,0.2758462429046631,13351414.20072323,0.874695976834404,15980630.076778743,0.856983857964866,3.0
auction,outer_0,claritree,4,0.08,0.1,3,20,quantile,0,0.8712964767095954,13734259.753491774,78587956488.08803,0.3527529239654541,13460154.43859001,0.8736754415502876,15985653.600454403,0.8569389007277568,4.0
auction,outer_0,claritree,4,0.08,0.01,3,20,quantile,0,0.8608639687971978,14848766.722818151,69268817078.9155,0.3273649215698242,14521194.97969515,0.8637174965308698,16729082.490519067,0.8502857004957456,3.0
auction,outer_0,claritree,4,0.08,0.001,3,20,quantile,0,0.8712149584490474,13733144.223474776,64423399685.30496,0.3229749202728271,13377141.866376877,0.8744545207635642,15949621.390580846,0.8572613653377477,3.0
auction,outer_0,claritree,4,0.08,0.0001,3,20,quantile,0,0.8713488486573432,13716312.146945104,63687847627.96092,0.3099451065063476,13351695.557936791,0.8746933362758628,15975571.962418647,0.8570291247658792,3.0
auction,outer_0,claritree,4,0.08,1e-05,3,20,quantile,0,0.871339521114974,13717024.024838602,63610357485.654274,0.3122711181640625,13351414.20072323,0.874695976834404,15980630.076778743,0.856983857964866,3.0
auction,outer_0,claritree,4,0.05,0.1,3,20,quantile,0,0.8712964767095954,13734259.753491774,57695209149.735954,0.357475996017456,13460154.43859001,0.8736754415502876,15985653.600454403,0.8569389007277568,4.0
auction,outer_0,claritree,4,0.05,0.01,3,20,quantile,0,0.8608639687971978,14848766.722818151,53599256575.15144,0.3552830219268799,14521194.97969515,0.8637174965308698,16729082.490519067,0.8502857004957456,3.0
auction,outer_0,claritree,4,0.05,0.001,3,20,quantile,0,0.8712149584490474,13733144.223474776,48753839181.5409,0.3410918712615967,13377141.866376877,0.8744545207635642,15949621.390580846,0.8572613653377477,3.0
auction,outer_0,claritree,4,0.05,0.0001,3,20,quantile,0,0.8713488486573432,13716312.146945104,48018287124.19686,0.3416459560394287,13351695.557936791,0.8746933362758628,15975571.962418647,0.8570291247658792,3.0
auction,outer_0,claritree,4,0.05,1e-05,3,20,quantile,0,0.871339521114974,13717024.024838602,47940796981.89021,0.3422493934631347,13351414.20072323,0.874695976834404,15980630.076778743,0.856983857964866,3.0
auction,outer_0,claritree,4,0.03,0.1,3,20,quantile,0,0.8712964767095954,13734259.753491774,43766710924.16791,0.3616647720336914,13460154.43859001,0.8736754415502876,15985653.600454403,0.8569389007277568,4.0
auction,outer_0,claritree,4,0.03,0.01,3,20,quantile,0,0.8739435250535351,13431952.400946794,42224370976.34861,0.3590030670166015,12837912.141930465,0.879515232150973,15455135.455587942,0.8616866896443331,4.0
auction,outer_0,claritree,4,0.03,0.001,3,20,quantile,0,0.8712149584490474,13733144.223474776,38307465512.36487,0.3538751602172851,13377141.866376877,0.8744545207635642,15949621.390580846,0.8572613653377477,3.0
auction,outer_0,claritree,4,0.03,0.0001,3,20,quantile,0,0.8703932212225438,13817327.155738467,37571913455.02083,0.351057767868042,13351695.557936791,0.8746933362758628,15975571.962418647,0.8570291247658792,3.0
auction,outer_0,claritree,4,0.03,1e-05,3,20,quantile,0,0.8702061205254735,13836830.621369436,37494423312.71419,0.3494040966033935,13351414.20072323,0.874695976834404,15980630.076778743,0.856983857964866,3.0
auction,outer_0,claritree,4,0.01,0.1,3,20,quantile,0,0.8768833139750528,13135509.481463188,29772231303.72809,0.5313377380371094,12458926.79706346,0.8830720380232726,15663051.892347565,0.8598259741088262,5.0
auction,outer_0,claritree,4,0.01,0.01,3,20,quantile,0,0.8903492578805294,11701891.420022042,28245295097.483547,0.5209939479827881,10360889.2750954,0.9027622774468038,12846274.04142169,0.8850342856255794,6.0
auction,outer_0,claritree,4,0.01,0.001,3,20,quantile,0,0.9200093952060228,8469436.365188995,25332185062.001198,0.5016341209411621,8137373.569979045,0.9236301390256824,10745436.714271866,0.9038353997323978,6.0
