dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
california_housing,outer_3,claritree,4,0.1,0.1,3,20,quantile,0,0.5942978807570527,5339924104.599519,124105346998667.39,51.08976602554321,5336756202.340584,0.5946372311007987,5481542192.369161,0.6070603251848032,1
california_housing,outer_3,claritree,4,0.1,0.01,3,20,quantile,0,0.630023594751239,4869432001.12457,104386023374318.75,43.84765338897705,4857375838.770847,0.6310494156123018,4900889931.832626,0.6486838870272273,1
california_housing,outer_3,claritree,4,0.1,0.001,3,20,quantile,0,0.6313576878736661,4851733677.731006,100998920869851.94,45.97675561904907,4836719979.619575,0.6326183679762639,4855392750.873742,0.6519453136228084,1
california_housing,outer_3,claritree,4,0.1,0.0001,3,20,quantile,0,0.6313529607576805,4851777917.072188,100624636608429.7,41.420117139816284,4836432483.5670805,0.6326402052480951,4852370100.095204,0.6521619897647255,1
california_housing,outer_3,claritree,4,0.1,1e-05,3,20,quantile,0,0.631350512320101,4851808295.672821,100586775897364.28,41.14032745361328,4836429479.512754,0.6326404334263616,4852091634.246348,0.6521819513514937,1
california_housing,outer_3,claritree,4,0.08,0.1,3,20,quantile,0,0.5942978807570527,5339924104.599519,119801056603347.19,52.41821503639221,5336756202.340584,0.5946372311007987,5481542192.369161,0.6070603251848032,1
california_housing,outer_3,claritree,4,0.08,0.01,3,20,quantile,0,0.630023594751239,4869432001.12457,100081732978998.55,46.95839047431946,4857375838.770847,0.6310494156123018,4900889931.832626,0.6486838870272273,1
california_housing,outer_3,claritree,4,0.08,0.001,3,20,quantile,0,0.6313576878736661,4851733677.731006,96694630474531.73,48.54292869567871,4836719979.619575,0.6326183679762639,4855392750.873742,0.6519453136228084,1
california_housing,outer_3,claritree,4,0.08,0.0001,3,20,quantile,0,0.6313529607576805,4851777917.072188,96320346213109.5,44.83677053451538,4836432483.5670805,0.6326402052480951,4852370100.095204,0.6521619897647255,1
california_housing,outer_3,claritree,4,0.08,1e-05,3,20,quantile,0,0.631350512320101,4851808295.672821,96282485502044.08,45.18128228187561,4836429479.512754,0.6326404334263616,4852091634.246348,0.6521819513514937,1
california_housing,outer_3,claritree,4,0.05,0.1,3,20,quantile,0,0.5942978807570527,5339924104.599519,113344621010366.89,60.43436408042908,5336756202.340584,0.5946372311007987,5481542192.369161,0.6070603251848032,1
california_housing,outer_3,claritree,4,0.05,0.01,3,20,quantile,0,0.630023594751239,4869432001.12457,93625297386018.25,52.97194695472717,4857375838.770847,0.6310494156123018,4900889931.832626,0.6486838870272273,1
california_housing,outer_3,claritree,4,0.05,0.001,3,20,quantile,0,0.6313576878736661,4851733677.731006,90238194881551.44,52.722702741622925,4836719979.619575,0.6326183679762639,4855392750.873742,0.6519453136228084,1
california_housing,outer_3,claritree,4,0.05,0.0001,3,20,quantile,0,0.6313529607576805,4851777917.072188,89863910620129.2,53.665581941604614,4836432483.5670805,0.6326402052480951,4852370100.095204,0.6521619897647255,1
california_housing,outer_3,claritree,4,0.05,1e-05,3,20,quantile,0,0.631350512320101,4851808295.672821,89826049909063.78,53.71352005004883,4836429479.512754,0.6326404334263616,4852091634.246348,0.6521819513514937,1
california_housing,outer_3,claritree,4,0.03,0.1,3,20,quantile,0,0.6167242802963523,5044801006.126279,107083849221191.95,67.36959838867188,5038310383.91755,0.6173062117953432,5210556923.420639,0.6264856729653189,2
california_housing,outer_3,claritree,4,0.03,0.01,3,20,quantile,0,0.630023594751239,4869432001.12457,89321006990698.05,59.70670676231384,4857375838.770847,0.6310494156123018,4900889931.832626,0.6486838870272273,1
california_housing,outer_3,claritree,4,0.03,0.001,3,20,quantile,0,0.6313576878736661,4851733677.731006,85933904486231.23,62.22679138183594,4836719979.619575,0.6326183679762639,4855392750.873742,0.6519453136228084,1
california_housing,outer_3,claritree,4,0.03,0.0001,3,20,quantile,0,0.6313529607576805,4851777917.072188,85559620224809.0,60.571282148361206,4836432483.5670805,0.6326402052480951,4852370100.095204,0.6521619897647255,1
california_housing,outer_3,claritree,4,0.03,1e-05,3,20,quantile,0,0.631350512320101,4851808295.672821,85521759513743.58,60.46674633026123,4836429479.512754,0.6326404334263616,4852091634.246348,0.6521819513514937,1
california_housing,outer_3,claritree,4,0.01,0.1,3,20,quantile,0,0.6167242802963523,5044801006.126279,98475268430551.55,72.54530358314514,5038310383.91755,0.6173062117953432,5210556923.420639,0.6264856729653189,2
california_housing,outer_3,claritree,4,0.01,0.01,3,20,quantile,0,0.6620713381477906,4448039716.32355,82499070769016.47,69.712637424469,4415144287.546348,0.6646398962904956,4542600836.8620615,0.6743675350822498,3
california_housing,outer_3,claritree,4,0.01,0.001,3,20,quantile,0,0.6934586511537512,4034158815.9892163,76103602234170.52,72.05991625785828,3888446608.9282203,0.7046461512668402,4019226160.020734,0.7118852022108237,5
california_housing,outer_3,claritree,4,0.01,0.0001,3,20,quantile,0,0.7058779490225661,3870101215.591516,74189868861140.98,70.11612725257874,3843327888.4361963,0.7080732235883779,4035891011.533033,0.7106905965498106,5
california_housing,outer_3,claritree,4,0.01,1e-05,3,20,quantile,0,0.7073270530702397,3851705497.0067177,73597939498883.86,70.70364618301392,3839545735.129842,0.7083605037410655,4039487781.030812,0.7104327651973839,5
california_housing,outer_3,claritree,4,0.008,0.1,3,20,quantile,0,0.6167242802963523,5044801006.126279,97614410351487.5,72.70559501647949,5038310383.91755,0.6173062117953432,5210556923.420639,0.6264856729653189,2
california_housing,outer_3,claritree,4,0.008,0.01,3,20,quantile,0,0.6736872350651474,4294663195.5091424,80827404536383.98,70.99623417854309,4265483150.7048244,0.6760076729935188,4449393587.879956,0.6810490171944248,4
california_housing,outer_3,claritree,4,0.008,0.001,3,20,quantile,0,0.7018392623074563,3923919253.9244285,73951457036510.4,72.4094648361206,3888446608.9282203,0.7046461512668402,4019226160.020734,0.7118852022108237,5
california_housing,outer_3,claritree,4,0.008,0.0001,3,20,quantile,0,0.7151931674256561,3747981971.7274475,71811818076646.44,68.56515979766846,3622261336.592647,0.7248647250489464,3892762885.496703,0.7209506141375465,7
california_housing,outer_3,claritree,4,0.008,1e-05,3,20,quantile,0,0.7138392216938049,3766793366.73861,71238951345166.84,70.72938442230225,3720177906.3479767,0.7174272985800879,3928815027.2115717,0.7183662471209882,6
california_housing,outer_3,claritree,4,0.005,0.1,3,20,quantile,0,0.6210599487210343,4987342941.90866,93374080156401.95,72.66079926490784,4872442503.963531,0.6299050003740894,5152156132.06002,0.6306720838622627,9
california_housing,outer_3,claritree,4,0.005,0.01,3,20,quantile,0,0.6834890416377162,4165454285.054943,77959323179645.86,71.57075238227844,4113803823.7411737,0.6875287449015417,4271490745.0594783,0.6938018306825509,5
california_housing,outer_3,claritree,4,0.005,0.001,3,20,quantile,0,0.7182784309667968,3706376196.517124,69778229272278.87,69.38004899024963,3510912894.3305707,0.7333223931822915,3806403172.5781803,0.7271412364698123,9
california_housing,outer_3,claritree,4,0.005,0.0001,3,20,quantile,0,0.7344740920755637,3494230130.5649285,66539504428093.016,69.84525156021118,3439818963.3808365,0.7387224586169976,3739816116.32355,0.7319144727805753,9
california_housing,outer_3,claritree,4,0.005,1e-05,3,20,quantile,0,0.7345386184546742,3493766558.838814,65666951566395.54,69.85959529876709,3245356915.7306867,0.753493167844206,3519554817.926955,0.7477037160134042,11
california_housing,outer_3,claritree,4,0.003,0.1,3,20,quantile,0,0.6256697432865042,4926714087.387654,90017397870260.69,73.27841854095459,4740709895.196026,0.639910983975306,4936081139.563986,0.6461612353286663,12
california_housing,outer_3,claritree,4,0.003,0.01,3,20,quantile,0,0.6962361043298659,3997284090.6525235,75181869909637.33,71.9667580127716,3860130439.3007026,0.7067969560796581,4175759848.3482113,0.7006642183288337,9
california_housing,outer_3,claritree,4,0.003,0.001,3,20,quantile,0,0.731211903301055,3537786470.042441,65575637508355.086,69.82088351249695,3385376770.482051,0.7428577117973316,3717201662.7881527,0.7335355705859872,12
california_housing,outer_3,claritree,4,0.003,0.0001,3,20,quantile,0,0.7424658734592723,3389752073.496782,61838007464975.82,70.37526988983154,3253397492.363766,0.7528824316059454,3592204718.948975,0.7424958698487447,12
california_housing,outer_3,claritree,4,0.003,1e-05,3,20,quantile,0,0.7482227533949111,3314066493.2640214,60604334900005.86,69.98605918884277,3105979553.5804,0.7640798222276923,3446575864.429304,0.7529351500240081,14
california_housing,outer_3,claritree,4,0.001,0.1,3,20,quantile,0,0.6329845044488901,4831091554.826693,82948198217189.44,72.37799715995789,4672590006.273504,0.6450851507807203,4725958584.075408,0.6612236914272364,16
california_housing,outer_3,claritree,4,0.001,0.01,3,20,quantile,0,0.7113592402206897,3799750279.5059643,69972489702317.766,68.97924041748047,3624819384.224358,0.724670424010703,3986097782.095056,0.7142599817149188,15
california_housing,outer_3,claritree,4,0.001,0.001,3,20,quantile,0,0.7360697555917026,3473521157.14784,59313204150068.94,69.5690803527832,3248769705.130848,0.7532339433811674,3616203387.1638823,0.7407755457951434,16
california_housing,outer_3,claritree,4,0.001,0.0001,3,20,quantile,0,0.7441039089063602,3367767727.0030656,55965140680617.33,69.77216339111328,3166657952.4380155,0.7594708869792532,3545409128.4324026,0.7458503718255725,15
california_housing,outer_3,claritree,4,0.001,1e-05,3,20,quantile,0,0.7480328895457488,3316479643.0346985,54267022972885.836,70.14826273918152,3057791935.312811,0.7677399981148803,3385417743.3742905,0.7573192177473433,16
california_housing,outer_3,claritree,4,0.0005,0.1,3,20,quantile,0,0.6371640419991133,4775534768.891595,81226482059061.34,72.55124878883362,4672590006.273504,0.6450851507807203,4725958584.075408,0.6612236914272364,16
california_housing,outer_3,claritree,4,0.0005,0.01,3,20,quantile,0,0.7158652034457257,3740541981.3482094,68358380804072.69,69.02495431900024,3624819384.224358,0.724670424010703,3986097782.095056,0.7142599817149188,15
california_housing,outer_3,claritree,4,0.0005,0.001,3,20,quantile,0,0.7364548497851997,3468493515.4900374,58019096507571.83,69.67034816741943,3278779541.6051292,0.7509544931034704,3592044844.660945,0.742507330300666,16
california_housing,outer_3,claritree,4,0.0005,0.0001,3,20,quantile,0,0.7440990225454224,3367831341.2873116,54318871378080.28,69.93653559684753,3157781321.5348945,0.7601451272002713,3548190975.6142116,0.745650957484016,16
california_housing,outer_3,claritree,4,0.0005,1e-05,3,20,quantile,0,0.7480328895457488,3316479643.0346985,52545306814757.766,70.11826157569885,3057791935.312811,0.7677399981148803,3385417743.3742905,0.7573192177473433,16
california_housing,outer_3,claritree,4,0.0001,0.1,3,20,quantile,0,0.6371640419991133,4775534768.891595,79849109132558.88,72.22479891777039,4672590006.273504,0.6450851507807203,4725958584.075408,0.6612236914272364,16
california_housing,outer_3,claritree,4,0.0001,0.01,3,20,quantile,0,0.715290879922614,3748046106.527588,67010236644318.6,69.03127694129944,3629052619.7411356,0.724348881109843,3991677116.5295615,0.7138600318866695,16
