dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_0,claritree,4,0.1,0.1,3,20,quantile,0,0.8224876436740295,25919079.90157496,64127863797.06289,0.1643328666687011,25624181.45355008,0.8239815264507097,26810121.122749504,0.821480988609078,2.0
insurance,outer_0,claritree,4,0.1,0.01,3,20,quantile,0,0.833709067138761,24305936.88298372,57549252276.63942,0.1531412601470947,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2.0
insurance,outer_0,claritree,4,0.1,0.001,3,20,quantile,0,0.8335750952606932,24329243.25843385,56648676292.54135,0.1502363681793213,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2.0
insurance,outer_0,claritree,4,0.1,0.0001,3,20,quantile,0,0.8335363567194026,24335295.50315465,56555200977.79897,0.1500642299652099,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2.0
insurance,outer_0,claritree,4,0.1,1e-05,3,20,quantile,0,0.8335322075871828,24335941.15306465,56545817861.1493,0.1513330936431884,23730252.07566496,0.8369913686854675,23157504.713290088,0.845802455394756,2.0
insurance,outer_0,claritree,4,0.08,0.1,3,20,quantile,0,0.8224876436740295,25919079.90157496,57897182754.91175,0.1978118419647216,25624181.45355008,0.8239815264507097,26810121.122749504,0.821480988609078,2.0
insurance,outer_0,claritree,4,0.08,0.01,3,20,quantile,0,0.833709067138761,24305936.88298372,51318571234.48829,0.1779854297637939,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2.0
insurance,outer_0,claritree,4,0.08,0.001,3,20,quantile,0,0.8335750952606932,24329243.25843385,50417995250.39021,0.1776084899902343,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2.0
insurance,outer_0,claritree,4,0.08,0.0001,3,20,quantile,0,0.8335363567194026,24335295.50315465,50324519935.64784,0.1762797832489013,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2.0
insurance,outer_0,claritree,4,0.08,1e-05,3,20,quantile,0,0.8335322075871828,24335941.15306465,50315136818.99816,0.1769707202911377,23730252.07566496,0.8369913686854675,23157504.713290088,0.845802455394756,2.0
insurance,outer_0,claritree,4,0.05,0.1,3,20,quantile,0,0.8469232713425637,22396776.880198408,47624159841.82527,0.2981555461883545,20725959.21629921,0.8576285564199981,20611139.174102124,0.8627577931425597,3.0
insurance,outer_0,claritree,4,0.05,0.01,3,20,quantile,0,0.833709067138761,24305936.88298372,41972549671.2616,0.2749221324920654,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2.0
insurance,outer_0,claritree,4,0.05,0.001,3,20,quantile,0,0.8335750952606932,24329243.25843385,41071973687.16353,0.2620942592620849,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2.0
insurance,outer_0,claritree,4,0.05,0.0001,3,20,quantile,0,0.8335363567194026,24335295.50315465,40978498372.42115,0.2642815113067627,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2.0
insurance,outer_0,claritree,4,0.05,1e-05,3,20,quantile,0,0.8335322075871828,24335941.15306465,40969115255.77148,0.2655141353607178,23730252.07566496,0.8369913686854675,23157504.713290088,0.845802455394756,2.0
insurance,outer_0,claritree,4,0.03,0.1,3,20,quantile,0,0.8469232713425637,22396776.880198408,38278138278.59858,0.3508095741271972,20725959.21629921,0.8576285564199981,20611139.174102124,0.8627577931425597,3.0
insurance,outer_0,claritree,4,0.03,0.01,3,20,quantile,0,0.833709067138761,24305936.88298372,35539601214.28576,0.3501346111297607,19659664.47156354,0.8649531834978321,19568758.265172016,0.8696986349426765,3.0
insurance,outer_0,claritree,4,0.03,0.001,3,20,quantile,0,0.8335750952606932,24329243.25843385,34841292645.0124,0.3423349857330322,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2.0
insurance,outer_0,claritree,4,0.03,0.0001,3,20,quantile,0,0.8335363567194026,24335295.50315465,34747817330.27002,0.3424539566040039,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2.0
insurance,outer_0,claritree,4,0.03,1e-05,3,20,quantile,0,0.8335322075871828,24335941.15306465,34738434213.620346,0.3431599140167236,23730252.07566496,0.8369913686854675,23157504.713290088,0.845802455394756,2.0
insurance,outer_0,claritree,4,0.01,0.1,3,20,quantile,0,0.8469232713425637,22396776.880198408,28932116715.371887,0.403799295425415,20725959.21629921,0.8576285564199981,20611139.174102124,0.8627577931425597,3.0
insurance,outer_0,claritree,4,0.01,0.01,3,20,quantile,0,0.8546819699959171,21255263.91334867,26193579651.059067,0.3824265003204345,19659664.47156354,0.8649531834978321,19568758.265172016,0.8696986349426765,3.0
insurance,outer_0,claritree,4,0.01,0.001,3,20,quantile,0,0.8550568206709075,21198671.021913603,25719612471.360874,0.3808403015136719,19615988.94478786,0.8652532008688631,19486084.26293361,0.8702491315659391,3.0
insurance,outer_0,claritree,4,0.01,0.0001,3,20,quantile,0,0.8550624226846377,21197679.554659348,25667354583.40821,0.3806130886077881,19615401.20187769,0.8652572382118735,19478876.10646109,0.8702971281028264,3.0
insurance,outer_0,claritree,4,0.01,1e-05,3,20,quantile,0,0.8550625155348088,21197649.00928776,25662071189.605484,0.3779048919677734,19615395.113083057,0.8652572800372227,19478170.09563816,0.870301829176483,3.0
insurance,outer_0,claritree,4,0.008,0.1,3,20,quantile,0,0.844788891134994,22688556.219800446,27997514559.049217,0.409621000289917,20725959.21629921,0.8576285564199981,20611139.174102124,0.8627577931425597,3.0
insurance,outer_0,claritree,4,0.008,0.01,3,20,quantile,0,0.8546819699959171,21255263.91334867,25258977494.7364,0.3981139659881592,19659664.47156354,0.8649531834978321,19568758.265172016,0.8696986349426765,3.0
insurance,outer_0,claritree,4,0.008,0.001,3,20,quantile,0,0.8550568206709075,21198671.021913603,24785010315.038204,0.3945682048797607,19615988.94478786,0.8652532008688631,19486084.26293361,0.8702491315659391,3.0
