dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_3,claritree,4,0.1,0.1,3,20,quantile,0,0.8366578548723039,24063585.46706754,63334823855.7008,0.14902901649475098,23773412.266674854,0.8389692541813691,31610772.463294882,0.7774712697051036,2
insurance,outer_3,claritree,4,0.1,0.01,3,20,quantile,0,0.8513273102788587,21879320.29113075,55841751577.571236,0.12943029403686523,21569849.311756317,0.8538952303983487,32034612.95351743,0.7744875815890885,2
insurance,outer_3,claritree,4,0.1,0.001,3,20,quantile,0,0.8515432117461156,21845551.997817863,54799272222.65235,0.10705757141113281,21527790.22902617,0.8541801203158965,32423515.380208205,0.7717498451632991,2
insurance,outer_3,claritree,4,0.1,0.0001,3,20,quantile,0,0.8515382332964018,21846107.13679119,54690807726.31274,0.10722637176513672,21527335.235405024,0.8541832022446214,32468939.35432371,0.7714300763472536,2
insurance,outer_3,claritree,4,0.1,1e-05,3,20,quantile,0,0.8515374451217368,21846205.63124012,54679917243.08791,0.1073451042175293,21527330.648718424,0.8541832333128399,32473552.277007334,0.7713976029925158,2
insurance,outer_3,claritree,4,0.08,0.1,3,20,quantile,0,0.8366578548723039,24063585.46706754,57010236732.12481,0.19778919219970703,23773412.266674854,0.8389692541813691,31610772.463294882,0.7774712697051036,2
insurance,outer_3,claritree,4,0.08,0.01,3,20,quantile,0,0.8513273102788587,21879320.29113075,49517164453.99525,0.1767876148223877,21569849.311756317,0.8538952303983487,32034612.95351743,0.7744875815890885,2
insurance,outer_3,claritree,4,0.08,0.001,3,20,quantile,0,0.8515432117461156,21845551.997817863,48474685099.07636,0.16711997985839844,21527790.22902617,0.8541801203158965,32423515.380208205,0.7717498451632991,2
insurance,outer_3,claritree,4,0.08,0.0001,3,20,quantile,0,0.8515382332964018,21846107.13679119,48366220602.73675,0.16688847541809082,21527335.235405024,0.8541832022446214,32468939.35432371,0.7714300763472536,2
insurance,outer_3,claritree,4,0.08,1e-05,3,20,quantile,0,0.8515374451217368,21846205.63124012,48355330119.511925,0.16775226593017578,21527330.648718424,0.8541832333128399,32473552.277007334,0.7713976029925158,2
insurance,outer_3,claritree,4,0.05,0.1,3,20,quantile,0,0.8634308280844275,20186452.87215164,46653340998.99045,0.2847912311553955,19269937.743371267,0.8694738301811447,28463810.96743424,0.7996247728114874,3
insurance,outer_3,claritree,4,0.05,0.01,3,20,quantile,0,0.8513273102788587,21879320.29113075,40030283768.63127,0.2545053958892822,21569849.311756317,0.8538952303983487,32034612.95351743,0.7744875815890885,2
insurance,outer_3,claritree,4,0.05,0.001,3,20,quantile,0,0.8515432117461156,21845551.997817863,38987804413.71239,0.23968839645385742,21527790.22902617,0.8541801203158965,32423515.380208205,0.7717498451632991,2
insurance,outer_3,claritree,4,0.05,0.0001,3,20,quantile,0,0.8515382332964018,21846107.13679119,38879339917.372765,0.23859453201293945,21527335.235405024,0.8541832022446214,32468939.35432371,0.7714300763472536,2
insurance,outer_3,claritree,4,0.05,1e-05,3,20,quantile,0,0.8515374451217368,21846205.63124012,38868449434.14794,0.23872041702270508,21527330.648718424,0.8541832333128399,32473552.277007334,0.7713976029925158,2
insurance,outer_3,claritree,4,0.03,0.1,3,20,quantile,0,0.8634308280844275,20186452.87215164,37166460313.626465,0.3655548095703125,19269937.743371267,0.8694738301811447,28463810.96743424,0.7996247728114874,3
insurance,outer_3,claritree,4,0.03,0.01,3,20,quantile,0,0.8513273102788587,21879320.29113075,33705696645.05528,0.35751771926879883,21569849.311756317,0.8538952303983487,32034612.95351743,0.7744875815890885,2
insurance,outer_3,claritree,4,0.03,0.001,3,20,quantile,0,0.8515432117461156,21845551.997817863,32663217290.136395,0.34736180305480957,21527790.22902617,0.8541801203158965,32423515.380208205,0.7717498451632991,2
insurance,outer_3,claritree,4,0.03,0.0001,3,20,quantile,0,0.8515382332964018,21846107.13679119,32554752793.796776,0.34529638290405273,21527335.235405024,0.8541832022446214,32468939.35432371,0.7714300763472536,2
insurance,outer_3,claritree,4,0.03,1e-05,3,20,quantile,0,0.8515374451217368,21846205.63124012,32543862310.571953,0.34476590156555176,21527330.648718424,0.8541832333128399,32473552.277007334,0.7713976029925158,2
insurance,outer_3,claritree,4,0.01,0.1,3,20,quantile,0,0.8634308280844275,20186452.87215164,27679579628.262486,0.42497682571411133,19269937.743371267,0.8694738301811447,28463810.96743424,0.7996247728114874,3
insurance,outer_3,claritree,4,0.01,0.01,3,20,quantile,0,0.872198564097529,18872682.6394033,24668361093.8118,0.4135856628417969,18097749.811300382,0.8774137209643273,27963997.63554021,0.8031432830364428,3
insurance,outer_3,claritree,4,0.01,0.001,3,20,quantile,0,0.872738069195594,18784696.401477963,24132855087.082497,0.40420079231262207,18042676.172160342,0.87778676582159,28012848.539121643,0.8027993898411607,3
insurance,outer_3,claritree,4,0.01,0.0001,3,20,quantile,0,0.872746546510124,18782334.03993642,24073042341.36324,0.40264177322387695,18041904.424124412,0.8777919933068334,28025030.489889644,0.8027136331884226,3
insurance,outer_3,claritree,4,0.01,1e-05,3,20,quantile,0,0.872746628572997,18782207.03547265,24066985179.727634,0.4023714065551758,18041896.3917727,0.8777920477144873,28026354.806306537,0.802704310466205,3
insurance,outer_3,claritree,4,0.008,0.1,3,20,quantile,0,0.8634308280844275,20186452.87215164,26730891559.72609,0.4280250072479248,19269937.743371267,0.8694738301811447,28463810.96743424,0.7996247728114874,3
insurance,outer_3,claritree,4,0.008,0.01,3,20,quantile,0,0.872198564097529,18872682.6394033,23719673025.2754,0.4244554042816162,18097749.811300382,0.8774137209643273,27963997.63554021,0.8031432830364428,3
insurance,outer_3,claritree,4,0.008,0.001,3,20,quantile,0,0.872738069195594,18784696.401477963,23184167018.546097,0.4114501476287842,18042676.172160342,0.87778676582159,28012848.539121643,0.8027993898411607,3
insurance,outer_3,claritree,4,0.008,0.0001,3,20,quantile,0,0.872746546510124,18782334.03993642,23124354272.826843,0.4122326374053955,18041904.424124412,0.8777919933068334,28025030.489889644,0.8027136331884226,3
insurance,outer_3,claritree,4,0.008,1e-05,3,20,quantile,0,0.872746628572997,18782207.03547265,23118297111.19124,0.41010427474975586,18041896.3917727,0.8777920477144873,28026354.806306537,0.802704310466205,3
insurance,outer_3,claritree,4,0.005,0.1,3,20,quantile,0,0.860682600934137,20595824.02238358,25307859456.92149,0.43587517738342285,19269937.743371267,0.8694738301811447,28463810.96743424,0.7996247728114874,3
insurance,outer_3,claritree,4,0.005,0.01,3,20,quantile,0,0.872198564097529,18872682.6394033,22296640922.470802,0.4342968463897705,18097749.811300382,0.8774137209643273,27963997.63554021,0.8031432830364428,3
insurance,outer_3,claritree,4,0.005,0.001,3,20,quantile,0,0.872738069195594,18784696.401477963,21761134915.7415,0.4276576042175293,18042676.172160342,0.87778676582159,28012848.539121643,0.8027993898411607,3
insurance,outer_3,claritree,4,0.005,0.0001,3,20,quantile,0,0.872746546510124,18782334.03993642,21701322170.022243,0.4272027015686035,18041904.424124412,0.8777919933068334,28025030.489889644,0.8027136331884226,3
insurance,outer_3,claritree,4,0.005,1e-05,3,20,quantile,0,0.872746628572997,18782207.03547265,21695265008.38664,0.42787814140319824,18041896.3917727,0.8777920477144873,28026354.806306537,0.802704310466205,3
insurance,outer_3,claritree,4,0.003,0.1,3,20,quantile,0,0.8500494517552403,22149459.045741096,23865759844.59209,0.4456758499145508,18568017.87346607,0.8742283298250261,29166813.166869752,0.7946758843584592,7
insurance,outer_3,claritree,4,0.003,0.01,3,20,quantile,0,0.8696506709745181,19269185.396906067,21347952853.934402,0.4379088878631592,18097749.811300382,0.8774137209643273,27963997.63554021,0.8031432830364428,3
insurance,outer_3,claritree,4,0.003,0.001,3,20,quantile,0,0.8616204355415098,20452959.45718116,20782142151.263805,0.43404126167297363,17553444.74319661,0.8811006065525808,27781369.771973558,0.8044289190215534,4
insurance,outer_3,claritree,4,0.003,0.0001,3,20,quantile,0,0.865773377790893,19868128.4046239,20704543986.88365,0.4334990978240967,17552216.96771854,0.8811089229692026,27789804.123784862,0.8043695441485854,4
insurance,outer_3,claritree,4,0.003,1e-05,3,20,quantile,0,0.8655757808052164,19897314.06974787,20696663711.90049,0.43274402618408203,17552204.24662174,0.8811090091363747,27790799.311930273,0.8043625383737452,4
insurance,outer_3,claritree,4,0.001,0.1,3,20,quantile,0,0.8532857045074542,21668885.75832589,21210630341.103935,0.4422168731689453,17368063.413735546,0.8823562989794441,29761896.904703334,0.7904867039531713,15
insurance,outer_3,claritree,4,0.001,0.01,3,20,quantile,0,0.8545965051100218,21457018.604465157,19988921101.053825,0.4476170539855957,16604647.602384288,0.8875273453606973,28940849.808047157,0.7962665870023237,9
insurance,outer_3,claritree,4,0.001,0.001,3,20,quantile,0,0.8459120529019254,22737730.90119299,18817290194.751198,0.41971445083618164,15552571.043687569,0.8946536539866877,28782736.476517517,0.7973796492961617,12
insurance,outer_3,claritree,4,0.001,0.0001,3,20,quantile,0,0.8466261083357182,22674181.674528208,18542389316.54077,0.4197516441345215,15502868.281203475,0.8949903188634954,29185889.715442695,0.794541592159897,12
insurance,outer_3,claritree,4,0.001,1e-05,3,20,quantile,0,0.8403141815103302,23578572.818726197,18497347151.983616,0.4207608699798584,15192053.855250005,0.8970956404833387,30053858.741067715,0.7884313952189044,14
insurance,outer_3,claritree,4,0.0005,0.1,3,20,quantile,0,0.8534350481318334,21649268.55635734,20060572758.69647,0.44832324981689453,17485030.80203767,0.8815640128085123,29884284.112309646,0.7896251410177956,15
insurance,outer_3,claritree,4,0.0005,0.01,3,20,quantile,0,0.8540944144942877,21545253.286549,19222450756.32876,0.42244863510131836,16129524.13372609,0.8907456249099572,29022870.74611301,0.7956891884200339,14
insurance,outer_3,claritree,4,0.0005,0.001,3,20,quantile,0,0.8547922028541531,21473636.46949737,17789977534.603657,0.4192643165588379,15287071.847524835,0.896452029966238,29113282.274357885,0.7950527230312898,14
insurance,outer_3,claritree,4,0.0005,0.0001,3,20,quantile,0,0.843964361909305,23024631.052002043,17454188128.83812,0.4193887710571289,15206033.885921195,0.8970009458412614,29304053.802242145,0.7937097585110208,14
insurance,outer_3,claritree,4,0.0005,1e-05,3,20,quantile,0,0.8420224010152836,23302132.41033763,17390544405.35782,0.41982054710388184,15192053.855250005,0.8970956404833387,30053858.741067715,0.7884313952189044,14
insurance,outer_3,claritree,4,0.0001,0.1,3,20,quantile,0,0.8573004174792431,21050207.80831549,19100585742.450813,0.4481987953186035,17464452.973920036,0.8817033980583847,29810014.638156775,0.7901479720179585,16
insurance,outer_3,claritree,4,0.0001,0.01,3,20,quantile,0,0.8494663872234528,22221663.465286493,18305437184.97236,0.42310309410095215,16134834.641235562,0.8907096538438212,28864720.71875222,0.7968025090396285,15
insurance,outer_3,claritree,4,0.0001,0.001,3,20,quantile,0,0.8450209955521775,22874916.720299345,16860194340.488157,0.42042994499206543,15215773.890025362,0.8969349712934104,29129334.008969534,0.7949397244601125,15
insurance,outer_3,claritree,4,0.0001,0.0001,3,20,quantile,0,0.8444198245433046,22934617.529833704,16455219702.868137,0.4197113513946533,15065380.230728636,0.8979536724731688,29281434.540396873,0.7938689901661308,16
insurance,outer_3,claritree,4,0.0001,1e-05,3,20,quantile,0,0.842340484481412,23232254.556961957,16386524580.142216,0.42003726959228516,15051274.90604861,0.8980492158023198,30029175.526275847,0.7886051563774971,16
