dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_max,outer_1,claritree,4,0.1,0.1,3,20,quantile,0,0.7737030500944376,2.2038996929101966,20853.16135787113,241.63298869132996,2.1908729296118596,0.7751494396600502,2.1932826476061944,0.7710758130095996,1
temperature_max,outer_1,claritree,4,0.1,0.01,3,20,quantile,0,0.7795599824853378,2.146867825354923,19102.147824203817,96.08162069320679,2.130521286301743,0.7813433638408198,2.140977798560242,0.7765351390369901,1
temperature_max,outer_1,claritree,4,0.1,0.001,3,20,quantile,0,0.7797100212071711,2.1454362286099857,18867.434914967333,96.04591202735901,2.1284094443764454,0.7815601034033177,2.140570149583853,0.7765776874566381,1
temperature_max,outer_1,claritree,4,0.1,0.0001,3,20,quantile,0,0.7797050930928239,2.1454881767419587,18842.672808309926,96.8812141418457,2.1283829766562556,0.7815628198008026,2.14074228721699,0.7765597205667988,1
temperature_max,outer_1,claritree,4,0.1,1e-05,3,20,quantile,0,0.779704344657059,2.145495873088809,18840.18195388933,96.87559628486633,2.1283827053568,0.7815628476444232,2.140762214346894,0.7765576406697926,1
temperature_max,outer_1,claritree,4,0.08,0.1,3,20,quantile,0,0.7737030500944376,2.2038996929101966,19669.888306784174,258.87417006492615,2.1908729296118596,0.7751494396600502,2.1932826476061944,0.7710758130095996,1
temperature_max,outer_1,claritree,4,0.08,0.01,3,20,quantile,0,0.7795599824853378,2.146867825354923,17918.874773116862,137.84528350830078,2.130521286301743,0.7813433638408198,2.140977798560242,0.7765351390369901,1
temperature_max,outer_1,claritree,4,0.08,0.001,3,20,quantile,0,0.7797100212071711,2.1454362286099857,17684.161863880377,138.00305581092834,2.1284094443764454,0.7815601034033177,2.140570149583853,0.7765776874566381,1
temperature_max,outer_1,claritree,4,0.08,0.0001,3,20,quantile,0,0.7797050930928239,2.1454881767419587,17659.39975722297,138.12196707725525,2.1283829766562556,0.7815628198008026,2.14074228721699,0.7765597205667988,1
temperature_max,outer_1,claritree,4,0.08,1e-05,3,20,quantile,0,0.779704344657059,2.145495873088809,17656.908902802374,139.78478837013245,2.1283827053568,0.7815628476444232,2.140762214346894,0.7765576406697926,1
temperature_max,outer_1,claritree,4,0.05,0.1,3,20,quantile,0,0.7737030500944376,2.2038996929101966,17894.978730153736,275.9419102668762,2.1908729296118596,0.7751494396600502,2.1932826476061944,0.7710758130095996,1
temperature_max,outer_1,claritree,4,0.05,0.01,3,20,quantile,0,0.7795599824853378,2.146867825354923,16143.965196486422,196.31696319580078,2.130521286301743,0.7813433638408198,2.140977798560242,0.7765351390369901,1
temperature_max,outer_1,claritree,4,0.05,0.001,3,20,quantile,0,0.7797100212071711,2.1454362286099857,15909.252287249938,190.32935070991516,2.1284094443764454,0.7815601034033177,2.140570149583853,0.7765776874566381,1
