dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_1,claritree,4,0.1,0.1,3,1202,quantile,0,0.629296250221929,17.585875102094636,37096.23960579229,1.2038450241088867,17.195848198170545,0.6380971184808647,17.269208177225764,0.6380454145668238,2
airfoil,outer_1,claritree,4,0.1,0.01,3,1202,quantile,0,0.6510287914596943,16.553416658068254,31530.020202321124,0.6693708896636963,16.05307316891641,0.6621478993001084,17.14968780307414,0.6405505061166449,2
airfoil,outer_1,claritree,4,0.1,0.001,3,1202,quantile,0,0.6516597632623898,16.520023397555587,30689.011456586406,0.609137773513794,15.92657768560381,0.6648101163296152,17.22164147881383,0.6390423904806832,2
airfoil,outer_1,claritree,4,0.1,0.0001,3,1202,quantile,0,0.651240845630098,16.538483719248834,30570.836755112126,0.5986599922180176,15.918510732963066,0.6649798929740773,17.245012115995497,0.6385525527761637,2
airfoil,outer_1,claritree,4,0.1,1e-05,3,1202,quantile,0,0.651172388172931,16.541550940060116,30557.981577826064,0.6120204925537109,15.918396642846679,0.6649822941084323,17.24843099459242,0.6384808946681315,2
airfoil,outer_1,claritree,4,0.08,0.1,3,1202,quantile,0,0.629296250221929,17.585875102094636,34811.71405048989,1.3275647163391113,17.195848198170545,0.6380971184808647,17.269208177225764,0.6380454145668238,2
airfoil,outer_1,claritree,4,0.08,0.01,3,1202,quantile,0,0.6510287914596943,16.553416658068254,29245.494647018728,0.8252015113830566,16.05307316891641,0.6621478993001084,17.14968780307414,0.6405505061166449,2
airfoil,outer_1,claritree,4,0.08,0.001,3,1202,quantile,0,0.6516597632623898,16.520023397555587,28404.48590128401,0.7140548229217529,15.92657768560381,0.6648101163296152,17.22164147881383,0.6390423904806832,2
airfoil,outer_1,claritree,4,0.08,0.0001,3,1202,quantile,0,0.6749966500044908,15.422038011367553,28286.31119980973,0.7039096355438232,15.918510732963066,0.6649798929740773,17.245012115995497,0.6385525527761637,2
airfoil,outer_1,claritree,4,0.08,1e-05,3,1202,quantile,0,0.6747761057485353,15.432252818135376,28273.456022523667,0.7027897834777832,15.918396642846679,0.6649822941084323,17.24843099459242,0.6384808946681315,2
airfoil,outer_1,claritree,4,0.05,0.1,3,1202,quantile,0,0.629296250221929,17.585875102094636,31384.925717536298,1.527820348739624,17.195848198170545,0.6380971184808647,17.269208177225764,0.6380454145668238,2
airfoil,outer_1,claritree,4,0.05,0.01,3,1202,quantile,0,0.6510287914596943,16.553416658068254,25818.706314065133,1.2349154949188232,16.05307316891641,0.6621478993001084,17.14968780307414,0.6405505061166449,2
airfoil,outer_1,claritree,4,0.05,0.001,3,1202,quantile,0,0.722223272477679,13.177462009539155,24129.922725899345,1.0130290985107422,12.4319383218677,0.7383581054157744,13.666367929729711,0.7135592733831282,3
airfoil,outer_1,claritree,4,0.05,0.0001,3,1202,quantile,0,0.7347638075297507,12.57079934512529,23325.39804010986,0.965538501739502,12.16738906749244,0.7439257945671784,13.649782623334053,0.7139068937047501,3
airfoil,outer_1,claritree,4,0.05,1e-05,3,1202,quantile,0,0.7443035604665459,12.103880222242262,23198.66033037549,0.9467146396636963,12.160395217883199,0.7440729867438787,13.68121805365055,0.7132480216805466,3
airfoil,outer_1,claritree,4,0.03,0.1,3,1202,quantile,0,0.654494338377369,16.40204108440923,28811.556038141796,1.6921162605285645,14.09617216189231,0.7033327309599426,15.297098158385287,0.679379924926099,4
airfoil,outer_1,claritree,4,0.03,0.01,3,1202,quantile,0,0.7528242923722184,11.744981234358638,22116.597674814788,1.5474271774291992,10.041857625695773,0.7886596131425003,11.99417222504238,0.7486077189656792,5
airfoil,outer_1,claritree,4,0.03,0.001,3,1202,quantile,0,0.786653694783792,10.134506771412553,19819.1979530075,1.4562797546386719,8.943635194310355,0.8117727424215561,12.179574447589895,0.7447217744619192,5
airfoil,outer_1,claritree,4,0.03,0.0001,3,1202,quantile,0,0.8082789264666538,9.087645993736452,18887.755140433004,1.2277767658233643,8.365883142233068,0.8239320805385678,11.9523776486939,0.7494837138810406,5
airfoil,outer_1,claritree,4,0.03,1e-05,3,1202,quantile,0,0.8028689954696171,9.344828156961212,18634.798451418803,1.2096688747406006,8.351059400006015,0.8242440602074415,12.01137938365459,0.7482470649103196,5
airfoil,outer_1,claritree,4,0.01,0.1,3,1202,quantile,0,0.7218723803724169,13.199175643764088,22899.131924488764,1.74827241897583,11.677524928424953,0.7542354484695823,12.44583837503233,0.739141006167034,7
airfoil,outer_1,claritree,4,0.01,0.01,3,1202,quantile,0,0.7924093321842562,9.834201692481495,16097.09217977841,1.7001829147338867,8.856499892394067,0.813606587224216,10.531905214054609,0.7792561565965767,7
airfoil,outer_1,claritree,4,0.01,0.001,3,1202,quantile,0,0.7956192741205367,9.752589078119863,13309.85176379353,1.6387965679168701,6.697506672262271,0.8590446405578748,8.16246695154974,0.8289184824665883,8
