dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
auction,outer_0,claritree,4,0.1,0.1,3,1634.0,quantile,0,0.806915086509282,20616603.932979006,89523045991.8075,0.4845142364501953,20351123.948674638,0.8090031761150436,21939976.36462359,0.8036516231878774,3.0,full
auction,outer_0,claritree,4,0.1,0.01,3,1634.0,quantile,0,0.8608639687971978,14848766.722818151,79715190748.09152,0.4579508304595947,14521194.97969515,0.8637174965308698,16729082.490519067,0.8502857004957456,3.0,full
auction,outer_0,claritree,4,0.1,0.001,3,1634.0,quantile,0,0.8712149584490474,13733144.223474776,74869773354.48099,0.399381160736084,13377141.866376877,0.8744545207635642,15949621.390580846,0.8572613653377477,3.0,full
auction,outer_0,claritree,4,0.1,0.0001,3,1634.0,quantile,0,0.8713488486573432,13716312.146945104,74134221297.13695,0.3912062644958496,13351695.557936791,0.8746933362758628,15975571.962418647,0.8570291247658792,3.0,full
auction,outer_0,claritree,4,0.1,1e-05,3,1634.0,quantile,0,0.871339521114974,13717024.024838602,74056731154.83029,0.3904671669006347,13351414.20072323,0.874695976834404,15980630.076778743,0.856983857964866,3.0,full
auction,outer_0,claritree,4,0.08,0.1,3,1634.0,quantile,0,0.8712964767095954,13734259.753491774,78587956488.08803,0.5007491111755371,13460154.43859001,0.8736754415502876,15985653.600454403,0.8569389007277568,4.0,full
auction,outer_0,claritree,4,0.08,0.01,3,1634.0,quantile,0,0.8608639687971978,14848766.722818151,69268817078.9155,0.4705333709716797,14521194.97969515,0.8637174965308698,16729082.490519067,0.8502857004957456,3.0,full
auction,outer_0,claritree,4,0.08,0.001,3,1634.0,quantile,0,0.8712149584490474,13733144.223474776,64423399685.30496,0.45989990234375,13377141.866376877,0.8744545207635642,15949621.390580846,0.8572613653377477,3.0,full
auction,outer_0,claritree,4,0.08,0.0001,3,1634.0,quantile,0,0.8713488486573432,13716312.146945104,63687847627.96092,0.4539213180541992,13351695.557936791,0.8746933362758628,15975571.962418647,0.8570291247658792,3.0,full
auction,outer_0,claritree,4,0.08,1e-05,3,1634.0,quantile,0,0.871339521114974,13717024.024838602,63610357485.654274,0.4526410102844238,13351414.20072323,0.874695976834404,15980630.076778743,0.856983857964866,3.0,full
auction,outer_0,claritree,4,0.05,0.1,3,1634.0,quantile,0,0.8712964767095954,13734259.753491774,57695209149.735954,0.5158402919769287,13460154.43859001,0.8736754415502876,15985653.600454403,0.8569389007277568,4.0,full
auction,outer_0,claritree,4,0.05,0.01,3,1634.0,quantile,0,0.8608639687971978,14848766.722818151,53599256575.15144,0.5075790882110596,14521194.97969515,0.8637174965308698,16729082.490519067,0.8502857004957456,3.0,full
auction,outer_0,claritree,4,0.05,0.001,3,1634.0,quantile,0,0.8712149584490474,13733144.223474776,48753839181.5409,0.4874894618988037,13377141.866376877,0.8744545207635642,15949621.390580846,0.8572613653377477,3.0,full
auction,outer_0,claritree,4,0.05,0.0001,3,1634.0,quantile,0,0.8713488486573432,13716312.146945104,48018287124.19686,0.4834103584289551,13351695.557936791,0.8746933362758628,15975571.962418647,0.8570291247658792,3.0,full
auction,outer_0,claritree,4,0.05,1e-05,3,1634.0,quantile,0,0.871339521114974,13717024.024838602,47940796981.89021,0.4835548400878906,13351414.20072323,0.874695976834404,15980630.076778743,0.856983857964866,3.0,full
auction,outer_0,claritree,4,0.03,0.1,3,1634.0,quantile,0,0.8712964767095954,13734259.753491774,43766710924.16791,0.5166409015655518,13460154.43859001,0.8736754415502876,15985653.600454403,0.8569389007277568,4.0,full
auction,outer_0,claritree,4,0.03,0.01,3,1634.0,quantile,0,0.8739435250535351,13431952.400946794,42224370976.34861,0.5155048370361328,12837912.141930465,0.879515232150973,15455135.455587942,0.8616866896443331,4.0,full
auction,outer_0,claritree,4,0.03,0.001,3,1634.0,quantile,0,0.8712149584490474,13733144.223474776,38307465512.36487,0.5095212459564209,13377141.866376877,0.8744545207635642,15949621.390580846,0.8572613653377477,3.0,full
auction,outer_0,claritree,4,0.03,0.0001,3,1634.0,quantile,0,0.8752366948371075,13323936.57188045,37571913455.02083,0.5057682991027832,13351695.557936791,0.8746933362758628,15975571.962418647,0.8570291247658792,3.0,full
auction,outer_0,claritree,4,0.03,1e-05,3,1634.0,quantile,0,0.8747938943156081,13369487.435661396,37494423312.71419,0.5025396347045898,13351414.20072323,0.874695976834404,15980630.076778743,0.856983857964866,3.0,full
auction,outer_0,claritree,4,0.01,0.1,3,1634.0,quantile,0,0.8833020576336565,12481650.71534317,28780504056.97818,0.7445452213287354,11309928.39626047,0.8938554741497357,12359908.76558265,0.8893869353669327,5.0,full
