dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
insurance,outer_0,claritree,4,0.1,0.1,3,1070.0,quantile,0,0.8224876436740295,25919079.90157496,64127863797.06289,1.886136054992676,25624181.45355008,0.8239815264507097,26810121.122749504,0.821480988609078,2.0,full
insurance,outer_0,claritree,4,0.1,0.01,3,1070.0,quantile,0,0.833709067138761,24305936.88298372,57549252276.63942,1.7308900356292725,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2.0,full
insurance,outer_0,claritree,4,0.1,0.001,3,1070.0,quantile,0,0.8335750952606932,24329243.25843385,56648676292.54135,1.713303565979004,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2.0,full
insurance,outer_0,claritree,4,0.1,0.0001,3,1070.0,quantile,0,0.8335363567194026,24335295.50315465,56555200977.79897,1.711678981781006,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2.0,full
insurance,outer_0,claritree,4,0.1,1e-05,3,1070.0,quantile,0,0.8335322075871828,24335941.15306465,56545817861.1493,1.7112658023834229,23730252.07566496,0.8369913686854675,23157504.713290088,0.845802455394756,2.0,full
insurance,outer_0,claritree,4,0.08,0.1,3,1070.0,quantile,0,0.8224876436740295,25919079.90157496,57897182754.91175,2.6664419174194336,25624181.45355008,0.8239815264507097,26810121.122749504,0.821480988609078,2.0,full
insurance,outer_0,claritree,4,0.08,0.01,3,1070.0,quantile,0,0.833709067138761,24305936.88298372,51318571234.48829,2.023707866668701,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2.0,full
insurance,outer_0,claritree,4,0.08,0.001,3,1070.0,quantile,0,0.8335750952606932,24329243.25843385,50417995250.39021,1.993006706237793,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2.0,full
insurance,outer_0,claritree,4,0.08,0.0001,3,1070.0,quantile,0,0.8335363567194026,24335295.50315465,50324519935.64784,1.9978561401367188,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2.0,full
insurance,outer_0,claritree,4,0.08,1e-05,3,1070.0,quantile,0,0.8335322075871828,24335941.15306465,50315136818.99816,1.995293140411377,23730252.07566496,0.8369913686854675,23157504.713290088,0.845802455394756,2.0,full
insurance,outer_0,claritree,4,0.05,0.1,3,1070.0,quantile,0,0.8545695357308719,21265021.22122437,47452509783.72292,3.535804510116577,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3.0,full
insurance,outer_0,claritree,4,0.05,0.01,3,1070.0,quantile,0,0.833709067138761,24305936.88298372,41972549671.2616,3.0850954055786133,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2.0,full
insurance,outer_0,claritree,4,0.05,0.001,3,1070.0,quantile,0,0.8335750952606932,24329243.25843385,41071973687.16353,2.949679374694824,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2.0,full
insurance,outer_0,claritree,4,0.05,0.0001,3,1070.0,quantile,0,0.8335363567194026,24335295.50315465,40978498372.42115,2.938607692718506,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2.0,full
insurance,outer_0,claritree,4,0.05,1e-05,3,1070.0,quantile,0,0.8335322075871828,24335941.15306465,40969115255.77148,2.952244758605957,23730252.07566496,0.8369913686854675,23157504.713290088,0.845802455394756,2.0,full
insurance,outer_0,claritree,4,0.03,0.1,3,1070.0,quantile,0,0.8545695357308719,21265021.22122437,38106488220.496216,4.116793632507324,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3.0,full
insurance,outer_0,claritree,4,0.03,0.01,3,1070.0,quantile,0,0.851464887575549,21758674.616801307,35319668428.6969,4.016690015792847,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3.0,full
insurance,outer_0,claritree,4,0.03,0.001,3,1070.0,quantile,0,0.8510237297550853,21824711.4341327,34841292645.0124,4.0133116245269775,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2.0,full
insurance,outer_0,claritree,4,0.03,0.0001,3,1070.0,quantile,0,0.8509532522643886,21835145.81296229,34747817330.27002,3.99053692817688,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2.0,full
insurance,outer_0,claritree,4,0.03,1e-05,3,1070.0,quantile,0,0.8509458919870915,21836234.526110385,34738434213.620346,3.963580369949341,23730252.07566496,0.8369913686854675,23157504.713290088,0.845802455394756,2.0,full
insurance,outer_0,claritree,4,0.01,0.1,3,1070.0,quantile,0,0.8545695357308719,21265021.22122437,28760466657.269524,4.723384380340576,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3.0,full
insurance,outer_0,claritree,4,0.01,0.01,3,1070.0,quantile,0,0.8618515168673401,20198021.200773988,25973646865.4702,4.41698431968689,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3.0,full
insurance,outer_0,claritree,4,0.01,0.001,3,1070.0,quantile,0,0.8620049616597786,20174715.405315887,25498819745.966866,4.364059448242188,19409883.718821075,0.8666689856942621,19517720.53825239,0.8700384769192053,3.0,full
insurance,outer_0,claritree,4,0.01,0.0001,3,1070.0,quantile,0,0.8619841554525699,20177686.37555775,25446842549.35051,4.345735788345337,19409349.361531496,0.8666726563190043,19511692.47257961,0.8700786156533639,3.0,full
insurance,outer_0,claritree,4,0.01,1e-05,3,1070.0,quantile,0,0.861981560706771,20178059.03898429,25441592568.65805,4.356692552566528,19409343.84945432,0.8666726941827468,19511099.604414634,0.870082563350512,3.0,full
insurance,outer_0,claritree,4,0.008,0.1,3,1070.0,quantile,0,0.8545695357308719,21265021.22122437,27825864500.946857,4.746056318283081,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3.0,full
insurance,outer_0,claritree,4,0.008,0.01,3,1070.0,quantile,0,0.8618515168673401,20198021.200773988,25039044709.147533,4.55074143409729,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3.0,full
insurance,outer_0,claritree,4,0.008,0.001,3,1070.0,quantile,0,0.8620049616597786,20174715.405315887,24564217589.6442,4.414413928985596,19409883.718821075,0.8666689856942621,19517720.53825239,0.8700384769192053,3.0,full
insurance,outer_0,claritree,4,0.008,0.0001,3,1070.0,quantile,0,0.8619841554525699,20177686.37555775,24512240393.02784,4.405746936798096,19409349.361531496,0.8666726563190043,19511692.47257961,0.8700786156533639,3.0,full
insurance,outer_0,claritree,4,0.008,1e-05,3,1070.0,quantile,0,0.861981560706771,20178059.03898429,24506990412.335384,4.388024806976318,19409343.84945432,0.8666726941827468,19511099.604414634,0.870082563350512,3.0,full
insurance,outer_0,claritree,4,0.005,0.1,3,1070.0,quantile,0,0.8503969972103832,21863026.0544288,26423961266.46285,4.825911521911621,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3.0,full
insurance,outer_0,claritree,4,0.005,0.01,3,1070.0,quantile,0,0.8618515168673401,20198021.200773988,23637141474.66353,4.729231119155884,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3.0,full
