dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_0,claritree,4,0.1,0.1,3,504,quantile,0,0.7511735877751805,0.01055342717948024,9.277918936575235,7.568716049194336,0.010401718892627235,0.75682792076905,0.018737056663697522,0.4863830349729833,1
optical_net,outer_0,claritree,4,0.1,0.01,3,504,quantile,0,0.7911686106705952,0.00885544736988299,6.835901550386035,2.568415403366089,0.008425160070308106,0.8030360449749736,0.018268140518321162,0.4992368834596028,1
optical_net,outer_0,claritree,4,0.1,0.001,3,504,quantile,0,0.7869254010907779,0.009022461927366145,6.40776334205332,2.1986429691314697,0.008332011906514131,0.8052136689715594,0.017865296623133357,0.5102795708218555,1
optical_net,outer_0,claritree,4,0.1,0.0001,3,504,quantile,0,0.7858419163473332,0.009065984193317049,6.359906695948117,2.089526653289795,0.00833067446417272,0.8052449357879741,0.017809917222159848,0.5117976214081108,1
optical_net,outer_0,claritree,4,0.1,1e-05,3,504,quantile,0,0.7857229796884249,0.00907076695771381,6.3550590424564515,2.0942680835723877,0.008330660498737631,0.8052452622728488,0.01780418545530083,0.5119547396124912,1
optical_net,outer_0,claritree,4,0.08,0.1,3,504,quantile,0,0.7511735877751805,0.01055342717948024,8.846745560218556,9.635117530822754,0.010401718892627235,0.75682792076905,0.018737056663697522,0.4863830349729833,1
optical_net,outer_0,claritree,4,0.08,0.01,3,504,quantile,0,0.7911686106705952,0.00885544736988299,6.404728174029357,3.600600242614746,0.008425160070308106,0.8030360449749736,0.018268140518321162,0.4992368834596028,1
optical_net,outer_0,claritree,4,0.08,0.001,3,504,quantile,0,0.798435608926766,0.008518753980577243,5.9765899656966415,2.594395875930786,0.008332011906514131,0.8052136689715594,0.017865296623133357,0.5102795708218555,1
optical_net,outer_0,claritree,4,0.08,0.0001,3,504,quantile,0,0.7672628195358934,0.009855361329003023,5.928733319591439,2.5515973567962646,0.00833067446417272,0.8052449357879741,0.017809917222159848,0.5117976214081108,1
optical_net,outer_0,claritree,4,0.08,1e-05,3,504,quantile,0,0.7523444319330128,0.010496157638339729,5.923885666099773,2.6230392456054688,0.008330660498737631,0.8052452622728488,0.01780418545530083,0.5119547396124912,1
optical_net,outer_0,claritree,4,0.05,0.1,3,504,quantile,0,0.7616487186866637,0.010127692627830932,7.896790502024507,12.199002265930176,0.009154927220053571,0.7859754997910586,0.01602369124185484,0.5607613398470996,2
optical_net,outer_0,claritree,4,0.05,0.01,3,504,quantile,0,0.8278054554302363,0.007333529366215209,5.690194637935393,7.623517036437988,0.0054397273192866155,0.8728296912909341,0.01301229971122232,0.6433090850043327,2
optical_net,outer_0,claritree,4,0.05,0.001,3,504,quantile,0,0.8486959198755217,0.006438981702010137,4.818490171027722,5.030505418777466,0.0050063013787892165,0.8829623518859142,0.010360311523698365,0.7160049277191916,2
optical_net,outer_0,claritree,4,0.05,0.0001,3,504,quantile,0,0.8014736171117081,0.008467767663703841,4.683552810688339,4.84411358833313,0.004982901197535865,0.8835094028866667,0.009321648931541244,0.7444765675207846,2
optical_net,outer_0,claritree,4,0.05,1e-05,3,504,quantile,0,0.7866535182010909,0.00910457737300724,4.668725170760689,4.903670787811279,0.00498252602054012,0.8835181737995396,0.009189520422878062,0.7480984514074152,2
optical_net,outer_0,claritree,4,0.03,0.1,3,504,quantile,0,0.7526243128181105,0.010482110511405783,7.03444374931115,13.58493185043335,0.009154927220053571,0.7859754997910586,0.01602369124185484,0.5607613398470996,2
optical_net,outer_0,claritree,4,0.03,0.01,3,504,quantile,0,0.8562937209892681,0.006109210792927606,4.827847885222036,11.76476263999939,0.0054397273192866155,0.8728296912909341,0.01301229971122232,0.6433090850043327,2
optical_net,outer_0,claritree,4,0.03,0.001,3,504,quantile,0,0.8486959198755217,0.006438981702010137,3.9561434183143653,7.744756698608398,0.0050063013787892165,0.8829623518859142,0.010360311523698365,0.7160049277191916,2
optical_net,outer_0,claritree,4,0.03,0.0001,3,504,quantile,0,0.8927145334668434,0.00456281139408057,3.5914387740216904,8.111972332000732,0.0030774104106102286,0.9280560938129672,0.006329943367390406,0.8264846843607518,3
optical_net,outer_0,claritree,4,0.03,1e-05,3,504,quantile,0,0.8905281853907323,0.004656661663855015,3.492184507707657,8.10241150856018,0.003055038352786993,0.9285791092754796,0.008203281661143686,0.7751330582128392,3
optical_net,outer_0,claritree,4,0.01,0.1,3,504,quantile,0,0.7982097723606693,0.008557809067319126,4.9974620510805865,13.616339206695557,0.005681692372238644,0.8671730161168649,0.010498236136904844,0.7122241620146779,8
