dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
real_estate,outer_0,claritree,4,0.1,0.1,3,331.0,quantile,0,0.5752761859231134,72.89703636741784,30545.25262794558,1.467170238494873,70.33132011492344,0.5943081353823658,109.04407614249386,0.5081290080686247,1.0,full
real_estate,outer_0,claritree,4,0.1,0.01,3,331.0,quantile,0,0.5742396724441577,73.10767018843262,29050.816293289143,1.3481097221374512,69.87781938470815,0.5969240617796789,107.58734923294617,0.5146999446597702,1.0,full
real_estate,outer_0,claritree,4,0.1,0.001,3,331.0,quantile,0,0.5889541597685272,70.51321966454422,28884.030122909837,1.277632236480713,69.87007142431928,0.5969687543077304,107.42258088851214,0.5154431741123242,1.0,full
real_estate,outer_0,claritree,4,0.1,0.0001,3,331.0,quantile,0,0.5863540820096443,70.9730372921001,28867.11146582976,1.2888662815093994,69.86998757100754,0.5969692379984437,107.40585674143962,0.5155186126239863,1.0,full
real_estate,outer_0,claritree,4,0.1,1e-05,3,331.0,quantile,0,0.586056586672075,71.02564158825136,28865.41709174912,1.2853219509124756,69.8699867254839,0.5969692428756743,107.40418190070676,0.515526167418357,1.0,full
real_estate,outer_0,claritree,4,0.08,0.1,3,331.0,quantile,0,0.604592699120788,67.7433082625498,29397.599988670656,1.6733293533325195,70.33132011492344,0.5943081353823658,109.04407614249386,0.5081290080686247,1.0,full
real_estate,outer_0,claritree,4,0.08,0.01,3,331.0,quantile,0,0.5988625563934146,68.63739638031966,27793.36319880104,1.535160779953003,53.92857845815086,0.6889240026333122,88.67471910450443,0.6000101648055363,2.0,full
real_estate,outer_0,claritree,4,0.08,0.001,3,331.0,quantile,0,0.6005257131651004,68.41055500531029,26788.78307479746,1.5020480155944824,52.68664177353873,0.6960878609043363,86.7068022117285,0.6088869536081056,2.0,full
real_estate,outer_0,claritree,4,0.08,0.0001,3,331.0,quantile,0,0.5967789316489611,69.08373131450713,26628.63065826748,1.4993326663970947,52.654339053384845,0.6962741925521716,86.45879708715995,0.6100056436914274,2.0,full
real_estate,outer_0,claritree,4,0.08,1e-05,3,331.0,quantile,0,0.5963612469795533,69.15872012859683,26611.59049352598,1.498957633972168,52.6539726171757,0.6962763062646502,86.43392771986747,0.6101178232869782,2.0,full
real_estate,outer_0,claritree,4,0.05,0.1,3,331.0,quantile,0,0.604592699120788,67.7433082625498,26265.80731649684,2.0223076343536377,57.418719363753866,0.6687918371989268,92.99321722869789,0.5805304825417783,2.0,full
real_estate,outer_0,claritree,4,0.05,0.01,3,331.0,quantile,0,0.6298284438164802,63.026707368727045,24350.405280976265,1.979539394378662,53.92857845815086,0.6889240026333122,88.67471910450443,0.6000101648055363,2.0,full
real_estate,outer_0,claritree,4,0.05,0.001,3,331.0,quantile,0,0.5990780889248036,68.6374337046468,23345.825156972685,1.8573455810546875,52.68664177353873,0.6960878609043363,86.7068022117285,0.6088869536081056,2.0,full
real_estate,outer_0,claritree,4,0.05,0.0001,3,331.0,quantile,0,0.591268403303849,69.9473680710592,23185.672740442704,1.8605127334594729,52.654339053384845,0.6962741925521716,86.45879708715995,0.6100056436914274,2.0,full
real_estate,outer_0,claritree,4,0.05,1e-05,3,331.0,quantile,0,0.6095647491140482,67.08940316942024,23168.632575701205,1.8455255031585691,52.6539726171757,0.6962763062646502,86.43392771986747,0.6101178232869782,2.0,full
real_estate,outer_0,claritree,4,0.03,0.1,3,331.0,quantile,0,0.6445000886642737,60.75259936962607,23149.65664757628,2.2127647399902344,49.78422316055004,0.7128298702549394,87.3303466073429,0.6060742982926228,3.0,full
real_estate,outer_0,claritree,4,0.03,0.01,3,331.0,quantile,0,0.622682644975871,64.14663165677673,21096.413184172787,2.1366729736328125,47.08405011907871,0.7284052673069896,89.91223458393277,0.5944280370281281,3.0,full
real_estate,outer_0,claritree,4,0.03,0.001,3,331.0,quantile,0,0.6176257651812531,65.72696357519833,20342.15786556141,2.0548083782196045,39.53432166164467,0.771954334923642,108.4769011984007,0.5106873946607141,4.0,full
