dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_0,greedy,5,0.1,3,20,20,quantile,1,0.3443717495278292,30.440772760313923,52310.697563937094,0.001674652099609375,29.56576426191207,0.3643571362528474,36.860598795502426,0.28728556851564524,3
airfoil,outer_0,greedy,5,0.08,3,20,20,quantile,1,0.3443717495278292,30.440772760313923,48956.167779713345,0.0016255378723144531,29.56576426191207,0.3643571362528474,36.860598795502426,0.28728556851564524,3
airfoil,outer_0,greedy,5,0.05,3,20,20,quantile,1,0.3805515332584261,28.728913366937707,43910.202552151575,0.0016634464263916016,27.22831664287777,0.4146105944506445,35.316387145936226,0.31714351884406966,4
airfoil,outer_0,greedy,5,0.03,3,20,20,quantile,1,0.4229264567014765,26.774648123395618,39344.03858068575,0.0016055107116699219,24.359774732125217,0.4762822014748007,29.857777201162115,0.42268792698209534,6
airfoil,outer_0,greedy,5,0.01,3,20,20,quantile,1,0.5418012740744987,21.231212638684706,30343.765523672962,0.001863718032836914,19.66281693446378,0.5772634471803684,26.627699338119008,0.48514277533062133,12
airfoil,outer_0,greedy,5,0.008,3,20,20,quantile,1,0.5584099360570137,20.465574824221274,28829.192926542062,0.0017926692962646484,18.030667820464277,0.612353490099419,24.005629486707065,0.5358415454137962,16
airfoil,outer_0,greedy,5,0.005,3,20,20,quantile,1,0.5886089915849299,19.05961293725341,25672.050040098144,0.0017254352569580078,16.706461785683775,0.6408229762484201,22.94774110745157,0.5562962406556702,20
airfoil,outer_0,greedy,5,0.003,3,20,20,quantile,1,0.5962439165137122,18.685537608804946,23256.52140869241,0.0018398761749267578,16.13877883264151,0.6530277552210063,22.37358018658278,0.5673978718735402,23
airfoil,outer_0,greedy,5,0.001,3,20,20,quantile,1,0.6049619882116007,18.276398215943942,20345.136875634173,0.0018377304077148438,15.57718869655522,0.6651015429706404,21.846996106878414,0.5775795858244541,29
airfoil,outer_0,greedy,5,0.0005,3,20,20,quantile,1,0.6051271299925777,18.26979802663034,19484.872336654753,0.0017507076263427734,15.466165608038065,0.6674884602612585,21.75448290700513,0.579368365573212,32
airfoil,outer_0,greedy,5,0.0001,3,20,20,quantile,1,0.605177609057928,18.26744677874412,18769.23931602035,0.0018773078918457031,15.466165608038065,0.6674884602612585,21.75448290700513,0.579368365573212,32
