dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_2,greedy,5,0.1,3,20,20,quantile,1,0.8438639963136695,16552913.714164643,95451285704.9219,0.001262664794921875,16451962.789511248,0.8431793140642174,15910065.146490067,0.8648511106524177,4
auction,outer_2,greedy,5,0.08,3,20,20,quantile,1,0.8438639963136695,16552913.714164643,81737530003.5499,0.0014424324035644531,16451962.789511248,0.8431793140642174,15910065.146490067,0.8648511106524177,4
auction,outer_2,greedy,5,0.05,3,20,20,quantile,1,0.8438639963136695,16552913.714164643,61166896451.491844,0.0013523101806640625,16451962.789511248,0.8431793140642174,15910065.146490067,0.8648511106524177,4
auction,outer_2,greedy,5,0.03,3,20,20,quantile,1,0.8563845763884358,15300731.820295447,47453140750.11983,0.0019190311431884766,16451962.789511248,0.8431793140642174,15910065.146490067,0.8648511106524177,4
auction,outer_2,greedy,5,0.01,3,20,20,quantile,1,0.8726539970477886,13644272.383116707,30911616626.697296,0.0023522377014160156,12623194.523052495,0.8796752673749078,14214500.756292874,0.8792541719876514,6
auction,outer_2,greedy,5,0.008,3,20,20,quantile,1,0.8838985000328798,12428993.979008922,28402346927.79117,0.0023767948150634766,9828621.050523665,0.906313239662282,10633700.30267838,0.9096714707117916,9
auction,outer_2,greedy,5,0.005,3,20,20,quantile,1,0.9060641750685662,10136284.213633072,23253168871.630764,0.0024213790893554688,7936261.99241193,0.9243512725296473,8479524.028857095,0.9279702349333879,12
auction,outer_2,greedy,5,0.003,3,20,20,quantile,1,0.9149984464196058,9110672.982808447,19079378147.05381,0.002439260482788086,7585019.732334332,0.9276993260634251,8462119.648254558,0.9281180773643621,13
auction,outer_2,greedy,5,0.001,3,20,20,quantile,1,0.9272863919143747,7825299.813142666,14379323260.533144,0.002454996109008789,7226434.557237067,0.9311173725205327,8303769.64331677,0.9294631898512363,15
auction,outer_2,greedy,5,0.0005,3,20,20,quantile,1,0.9275417569453577,7799840.161604919,13028826278.325012,0.002567768096923828,7081848.063068368,0.9324955760505724,8211542.497400883,0.9302466182170831,17
auction,outer_2,greedy,5,0.0001,3,20,20,quantile,1,0.9280043821482219,7751516.728914064,11835195467.326143,0.002836942672729492,7033262.897669149,0.9329586915500231,8157772.920841498,0.9307033667272734,20
