dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_3,greedy,5,0.1,3,20,20,quantile,1,0.7979623551074889,18.106359829138274,22159.632282851067,0.0005183219909667969,18.08375305342964,0.7984891640699721,16.959763087082404,0.8169715110373417,2
energe_c,outer_3,greedy,5,0.08,3,20,20,quantile,1,0.7979623551074889,18.106359829138274,19952.007451852693,0.0005223751068115234,18.08375305342964,0.7984891640699721,16.959763087082404,0.8169715110373417,2
energe_c,outer_3,greedy,5,0.05,3,20,20,quantile,1,0.8702721257248562,11.602436410703406,15352.522798355321,0.0006089210510253906,11.502324686360204,0.8718273216937423,9.237759376559305,0.9003067948879501,3
energe_c,outer_3,greedy,5,0.03,3,20,20,quantile,1,0.8702721257248562,11.602436410703406,12041.08555185776,0.0007336139678955078,11.502324686360204,0.8718273216937423,9.237759376559305,0.9003067948879501,3
energe_c,outer_3,greedy,5,0.01,3,20,20,quantile,1,0.9069705266572955,8.305951004469547,8112.693905387202,0.0008671283721923828,8.704329864454236,0.9030059312348204,8.259786725648869,0.9108610022565234,5
energe_c,outer_3,greedy,5,0.008,3,20,20,quantile,1,0.9174070878234373,7.393117745931296,7349.219899634129,0.0009586811065673828,6.9244636361569905,0.9228393325452736,6.757380209318779,0.9270748604973258,7
energe_c,outer_3,greedy,5,0.005,3,20,20,quantile,1,0.9306098064012168,6.2120113461956805,6095.045794661719,0.0010671615600585938,5.872305463071046,0.9345637391085976,5.401951953960594,0.9417025403889426,9
energe_c,outer_3,greedy,5,0.003,3,20,20,quantile,1,0.9399322345922436,5.375464786216966,4859.455769502708,0.0010571479797363281,4.401661071999106,0.950951420345182,4.472450998098575,0.951733644866478,13
energe_c,outer_3,greedy,5,0.001,3,20,20,quantile,1,0.9519640619862818,4.310142105393003,3295.3156969143306,0.0011615753173828125,3.653160816569517,0.9592921066905338,3.977713406989115,0.9570728157775835,19
energe_c,outer_3,greedy,5,0.0005,3,20,20,quantile,1,0.9528189438517253,4.229309568329285,2703.256896785436,0.0011105537414550781,3.363519931501713,0.9625196323428186,4.001127903384623,0.9568201282917332,23
energe_c,outer_3,greedy,5,0.0001,3,20,20,quantile,1,0.953826131632144,4.136174696419448,2147.0096458150133,0.0011348724365234375,3.221850054455767,0.9640982877947751,3.7205620542399296,0.9598479738553656,30
