dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_h,outer_3,greedy,5,0.1,3,20,20,quantile,1,0.7855493322702731,21.311515522206594,25336.931039169824,0.0005176067352294922,21.25770058131939,0.7867893456715671,21.256675556153045,0.8058983006084017,2
energe_h,outer_3,greedy,5,0.08,3,20,20,quantile,1,0.8346415958385395,16.38854992382222,22806.858670593672,0.0005311965942382812,13.155649516428596,0.8680513618684537,10.695355302768737,0.902337191232924,3
energe_h,outer_3,greedy,5,0.05,3,20,20,quantile,1,0.8663750060772489,13.281883177983403,17288.30833884733,0.0005838871002197266,13.155649516428596,0.8680513618684537,10.695355302768737,0.902337191232924,3
energe_h,outer_3,greedy,5,0.03,3,20,20,quantile,1,0.8738511628875202,12.523054898329848,13591.2864344516,0.0006756782531738281,10.13531597635227,0.898344727225932,8.057068586706357,0.9264282554126072,4
energe_h,outer_3,greedy,5,0.01,3,20,20,quantile,1,0.9320365439863784,6.7521420226237465,7895.289386610312,0.0008466243743896484,5.85867247647148,0.9412386402082377,6.125871861110622,0.9440626482087618,7
energe_h,outer_3,greedy,5,0.008,3,20,20,quantile,1,0.9404949279687735,5.924075324340282,7036.848223894216,0.0008831024169921875,5.85867247647148,0.9412386402082377,6.125871861110622,0.9440626482087618,7
energe_h,outer_3,greedy,5,0.005,3,20,20,quantile,1,0.9563505699852383,4.340288324709508,5466.981268474503,0.0009031295776367188,3.9042601187967843,0.9608410208144251,4.006930614963681,0.963411398002754,10
energe_h,outer_3,greedy,5,0.003,3,20,20,quantile,1,0.9714048902165069,2.839914221046269,4041.3932076706365,0.0009763240814208984,2.3838532024755885,0.976090410193782,2.421459712299706,0.9778888545424681,14
energe_h,outer_3,greedy,5,0.001,3,20,20,quantile,1,0.9832564002129486,1.6646960087510727,2116.2830728887716,0.0010824203491210938,1.5467573668802614,0.9844863206620913,1.553634733722501,0.98581324999515,19
energe_h,outer_3,greedy,5,0.0005,3,20,20,quantile,1,0.9868619172122064,1.3067392692023037,1466.3508338868508,0.0011382102966308594,1.1878766227438873,0.988085825603394,1.0955253403946863,0.9899963976146959,24
energe_h,outer_3,greedy,5,0.0001,3,20,20,quantile,1,0.988392686341519,1.1545007836284842,805.4657746398701,0.001132965087890625,1.0205623081398032,0.9897639560464673,0.921399553772577,0.9915863974715393,29
