dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_0,greedy,5,0.1,3,20,20,quantile,1,0.7575227794076866,35397622.98321378,83035680359.97507,0.0015971660614013672,33930441.62975847,0.7669238897113748,37751935.96116896,0.7486233555221582,3
insurance,outer_0,greedy,5,0.08,3,20,20,quantile,1,0.7575227794076866,35397622.98321378,73689658796.74835,0.0016002655029296875,33930441.62975847,0.7669238897113748,37751935.96116896,0.7486233555221582,3
insurance,outer_0,greedy,5,0.05,3,20,20,quantile,1,0.8110082217738501,27646031.938855078,58567677020.89128,0.0019958019256591797,25620814.775827702,0.8240046529445139,24961502.933544945,0.8337902762122602,4
insurance,outer_0,greedy,5,0.03,3,20,20,quantile,1,0.8110082217738501,27646031.938855078,46106314936.58902,0.0021774768829345703,25620814.775827702,0.8240046529445139,24961502.933544945,0.8337902762122602,4
insurance,outer_0,greedy,5,0.01,3,20,20,quantile,1,0.8159979586705761,26893446.254795145,33389762943.26508,0.0025980472564697266,23926552.935117867,0.8356429323383416,25084644.674076606,0.8329703193877454,5
insurance,outer_0,greedy,5,0.008,3,20,20,quantile,1,0.8220187421839302,26020156.088538673,31832092682.727295,0.002595663070678711,23926552.935117867,0.8356429323383416,25084644.674076606,0.8329703193877454,5
insurance,outer_0,greedy,5,0.005,3,20,20,quantile,1,0.8307964060001299,24735078.330254603,28779403916.436848,0.002665996551513672,21073572.779706284,0.8552407178493552,23034100.66014232,0.8466241588651994,8
insurance,outer_0,greedy,5,0.003,3,20,20,quantile,1,0.8373473846315856,23750995.35024874,26287131499.576397,0.002763032913208008,21073572.779706284,0.8552407178493552,23034100.66014232,0.8466241588651994,8
insurance,outer_0,greedy,5,0.001,3,20,20,quantile,1,0.8384464314034107,23588811.503578935,23152403398.40201,0.0028052330017089844,19599686.94733556,0.8653651830881804,22483948.603728738,0.8502874247182692,14
insurance,outer_0,greedy,5,0.0005,3,20,20,quantile,1,0.8355765549111162,24031602.862834852,21529924688.827324,0.0028290748596191406,18156140.03467403,0.8752812432177137,22295447.605203588,0.8515425854744942,27
insurance,outer_0,greedy,5,0.0001,3,20,20,quantile,1,0.8348326914870645,24144300.54695614,19704954759.94098,0.0028395652770996094,17964557.924461834,0.8765972653767057,23064670.181060165,0.8464206073546351,31
