dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
real_estate,outer_4,greedy,5,0.1,3,20,20,quantile,1,0.4627900341865054,99.17172520680849,45553.62849039122,0.0004787445068359375,99.71071865301488,0.4681954001172638,78.94243268482934,0.5445528519193198,2
real_estate,outer_4,greedy,5,0.08,3,20,20,quantile,1,0.499460065410741,92.57297279268937,43063.694510873145,0.0005800724029541016,99.71071865301488,0.4681954001172638,78.94243268482934,0.5445528519193198,2
real_estate,outer_4,greedy,5,0.05,3,20,20,quantile,1,0.43043285857400027,105.77519736873738,37527.44246511352,0.0006046295166015625,84.91021096964096,0.5471335340806583,63.38043845061581,0.6343355663780623,3
real_estate,outer_4,greedy,5,0.03,3,20,20,quantile,1,0.3245332998891755,124.91823016506521,32702.46968503775,0.0006723403930664062,64.75230956989896,0.6546451921369039,58.565720587021424,0.6621133969465973,6
real_estate,outer_4,greedy,5,0.01,3,20,20,quantile,1,0.3630145670522242,117.46037712421453,21134.626937438203,0.0007376670837402344,39.28416115664005,0.7904789185369671,69.3103585798658,0.600123734802062,13
real_estate,outer_4,greedy,5,0.008,3,20,20,quantile,1,0.3459507803139858,121.22074331691643,19481.83809207286,0.0007448196411132812,37.68079201633219,0.79903044735598,67.27870372811947,0.611845078782002,14
real_estate,outer_4,greedy,5,0.005,3,20,20,quantile,1,0.34828577770469354,120.7208981101636,16717.836672222104,0.0007741451263427734,34.41785230646458,0.8164332538976332,72.28381570945173,0.5829687964051569,17
real_estate,outer_4,greedy,5,0.003,3,20,20,quantile,1,0.34023494156217793,122.40777203273802,14436.98586583557,0.0008187294006347656,32.7976805572963,0.8250743990066771,68.37797356995769,0.6055029976298394,19
real_estate,outer_4,greedy,5,0.001,3,20,20,quantile,1,0.3430621767551201,121.74721289033967,11561.232978410822,0.0007920265197753906,29.573130098639187,0.8422724574464655,66.96142605328009,0.6136755672435393,28
real_estate,outer_4,greedy,5,0.0005,3,20,20,quantile,1,0.3409141074202638,122.17041365838043,10681.118260323474,0.0008003711700439453,29.45336503839823,0.8429112213707635,66.15892971181667,0.6183054558552052,29
real_estate,outer_4,greedy,5,0.0001,3,20,20,quantile,1,0.34318847920168954,121.74663285105794,9957.486241212027,0.0007908344268798828,29.429943351651236,0.843036140345547,66.25867605328008,0.61772998351155,30
