dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
seoul_bike,outer_4,greedy,5,0.1,3,20,20,quantile,1,0.37579704531505165,254347.17116152347,2574945933.01102,0.01413106918334961,244921.8791611115,0.40022862658704617,254478.01755150303,0.42910173842995225,3
seoul_bike,outer_4,greedy,5,0.08,3,20,20,quantile,1,0.37579704531505165,254347.17116152347,2403239252.240918,0.017451047897338867,244921.8791611115,0.40022862658704617,254478.01755150303,0.42910173842995225,3
seoul_bike,outer_4,greedy,5,0.05,3,20,20,quantile,1,0.44360613071556393,226716.2489978349,2110064767.4583855,0.01603865623474121,199004.033140608,0.5126734994837046,206257.60054169773,0.5372798534119629,5
seoul_bike,outer_4,greedy,5,0.03,3,20,20,quantile,1,0.49832488378080936,204748.28641142286,1823886966.1748817,0.01649951934814453,199004.033140608,0.5126734994837046,206257.60054169773,0.5372798534119629,5
seoul_bike,outer_4,greedy,5,0.01,3,20,20,quantile,1,0.5738438709564647,173843.66155877663,1439894766.154156,0.01798081398010254,168712.14968589187,0.5868530893395747,178850.4971763689,0.598765194332501,9
seoul_bike,outer_4,greedy,5,0.008,3,20,20,quantile,1,0.5898498411756163,167500.84468429626,1384023772.5952764,0.01804351806640625,164823.27790642905,0.5963762645503161,175508.5577677681,0.6062625311044542,10
seoul_bike,outer_4,greedy,5,0.005,3,20,20,quantile,1,0.6137409521285851,157713.05639979965,1284055546.5085096,0.018342971801757812,156683.78648316397,0.6163084730019888,167810.20994981867,0.6235330734818105,13
seoul_bike,outer_4,greedy,5,0.003,3,20,20,quantile,1,0.6266101275183751,152424.7894174891,1194120541.2833915,0.01851654052734375,149567.61738421614,0.6337347418536464,160741.7798863475,0.6393904527324503,17
seoul_bike,outer_4,greedy,5,0.001,3,20,20,quantile,1,0.6338530719632112,149439.3442469137,1084432734.1683452,0.018836021423339844,145758.22173034522,0.6430632937617942,158511.0627255859,0.6443948635707089,22
seoul_bike,outer_4,greedy,5,0.0005,3,20,20,quantile,1,0.6354237429277519,148800.63744532797,1051612042.5325567,0.018879175186157227,145362.6705745233,0.6440319302135271,162345.31700640783,0.635793063209325,23
seoul_bike,outer_4,greedy,5,0.0001,3,20,20,quantile,1,0.6360754123338688,148529.8710805089,1020723200.2181458,0.019067049026489258,144385.22950623205,0.6464255145432212,161785.29720073094,0.6370494166522742,31
