dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_3,greedy,5,0.1,3,20,20,quantile,1,0.8483844623951193,0.004991085615582769,6.722068986227942,0.0003681182861328125,0.00511071746042376,0.8460810566804802,0.004679579227153352,0.8418708931595101,3
synch,outer_3,greedy,5,0.08,3,20,20,quantile,1,0.8753286568441401,0.004122846554339659,5.8335311864521575,0.00037407875061035156,0.00511071746042376,0.8460810566804802,0.004679579227153352,0.8418708931595101,3
synch,outer_3,greedy,5,0.05,3,20,20,quantile,1,0.9149414892773994,0.0028027298688200614,4.104520536762785,0.0003695487976074219,0.002562170113998833,0.9228353906070059,0.002033026429898343,0.9313013760558777,4
synch,outer_3,greedy,5,0.03,3,20,20,quantile,1,0.9149414892773994,0.0028027298688200614,2.919803470395072,0.00039505958557128906,0.002562170113998833,0.9228353906070059,0.002033026429898343,0.9313013760558777,4
synch,outer_3,greedy,5,0.01,3,20,20,quantile,1,0.9683303561306281,0.0010492695428856627,1.510629961925625,0.0005102157592773438,0.0007307464025961637,0.9779921870083548,0.0007508998556397709,0.974626111080675,8
synch,outer_3,greedy,5,0.008,3,20,20,quantile,1,0.9720320251891414,0.0009165510425919488,1.2736865486520823,0.0004994869232177734,0.0007307464025961637,0.9779921870083548,0.0007508998556397709,0.974626111080675,8
synch,outer_3,greedy,5,0.005,3,20,20,quantile,1,0.9770348275875861,0.0007585786225586694,0.9182714287417684,0.0005350112915039062,0.0007307464025961637,0.9779921870083548,0.0007508998556397709,0.974626111080675,8
synch,outer_3,greedy,5,0.003,3,20,20,quantile,1,0.9816931755662973,0.0006048048362053087,0.662957762111976,0.0005447864532470703,0.0005899456327642288,0.982232669069617,0.0005259124556783305,0.9822287297947316,9
synch,outer_3,greedy,5,0.001,3,20,20,quantile,1,0.9914397924174744,0.0002832084816698367,0.32877733857601443,0.0006613731384277344,0.00023910961576691474,0.9927987607060305,0.0002498622747116816,0.9915568267112498,15
synch,outer_3,greedy,5,0.0005,3,20,20,quantile,1,0.9938032413832844,0.00020458312642185385,0.20654485424986152,0.0006692409515380859,0.0001642694714876039,0.9950527135051345,0.0001838825492774964,0.9937863679896513,18
synch,outer_3,greedy,5,0.0001,3,20,20,quantile,1,0.9958582369815799,0.00013797024778953415,0.0821590722632973,0.0007314682006835938,0.00010120328237508219,0.996952071327702,0.00011498009068882104,0.9961146722466921,25
