dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_max,outer_2,greedy,5,0.1,3,20,20,quantile,1,0.512809990344466,4.769605619311277,44403.01697735446,0.027439117431640625,4.380991221544099,0.5517034172035364,4.65608207820893,0.508048369733832,3
temperature_max,outer_2,greedy,5,0.08,3,20,20,quantile,1,0.6046016776734823,3.8555994057502407,40553.07345059264,0.031064748764038086,3.551491977126486,0.636584134351744,3.711247558601511,0.6078775553978919,4
temperature_max,outer_2,greedy,5,0.05,3,20,20,quantile,1,0.6268335424847368,3.642816747748238,33432.41813853733,0.03358721733093262,3.551491977126486,0.636584134351744,3.711247558601511,0.6078775553978919,4
temperature_max,outer_2,greedy,5,0.03,3,20,20,quantile,1,0.6339269258563566,3.570956117114212,28685.31459716712,0.03625297546386719,3.551491977126486,0.636584134351744,3.711247558601511,0.6078775553978919,4
temperature_max,outer_2,greedy,5,0.01,3,20,20,quantile,1,0.6794360717953559,3.1297458625954184,22490.824377086923,0.03899121284484863,3.1176707379874693,0.6809760468701176,3.2943945278861837,0.651921351146588,6
temperature_max,outer_2,greedy,5,0.008,3,20,20,quantile,1,0.6843148789870908,3.0814159195450386,21628.103502992883,0.03918099403381348,2.9364987928025967,0.6995149481866878,3.0887595813324777,0.6736482978579111,8
temperature_max,outer_2,greedy,5,0.005,3,20,20,quantile,1,0.7062906655527494,2.8680090151887416,19982.505099162016,0.03930783271789551,2.802299964724346,0.71324720031879,2.9642186560330934,0.6868070244883182,10
temperature_max,outer_2,greedy,5,0.003,3,20,20,quantile,1,0.7284155137263889,2.651588048530548,18397.880010163455,0.03937816619873047,2.560872510761238,0.7379519068867172,2.7439112146061047,0.7100842354887451,16
temperature_max,outer_2,greedy,5,0.001,3,20,20,quantile,1,0.7400329539787965,2.5379333613309263,15772.568333151828,0.040596723556518555,2.304414444192806,0.7641946608798865,2.4206764819644664,0.7442365229722321,30
temperature_max,outer_2,greedy,5,0.0005,3,20,20,quantile,1,0.7427212464514911,2.5118244836915573,14860.069958037242,0.039591073989868164,2.2909501399479444,0.765572431634829,2.4136490612659247,0.7449790251470528,32
temperature_max,outer_2,greedy,5,0.0001,3,20,20,quantile,1,0.7426530991283867,2.5124238424595693,14100.533391418008,0.03954482078552246,2.2909501399479444,0.765572431634829,2.4136490612659247,0.7449790251470528,32
