dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_2,greedy,5,0.1,3,20,20,quantile,1,-0.0015788764333930505,319669166435.957,1808670151124686.0,0.008332490921020508,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1
walmart,outer_2,greedy,5,0.08,3,20,20,quantile,1,-0.0015788764333930505,319669166435.957,1775785239286055.5,0.00863027572631836,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1
walmart,outer_2,greedy,5,0.05,3,20,20,quantile,1,-0.0015788764333930505,319669166435.957,1726457871528109.5,0.00855875015258789,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1
walmart,outer_2,greedy,5,0.03,3,20,20,quantile,1,0.004322565447072398,317880374608.5324,1693572959689478.8,0.008557796478271484,319395025627.7259,0.0,314721262819.9765,-6.786390742696824e-06,1
walmart,outer_2,greedy,5,0.01,3,20,20,quantile,1,0.07474612101067923,295183462875.0634,1587239839167623.5,0.008923053741455078,292351895798.5724,0.08466985287577367,292837616800.55835,0.06952710634439363,5
walmart,outer_2,greedy,5,0.008,3,20,20,quantile,1,0.07862728229201466,293993861395.7014,1570797383248308.0,0.008842706680297852,292351895798.5724,0.08466985287577367,292837616800.55835,0.06952710634439363,5
walmart,outer_2,greedy,5,0.005,3,20,20,quantile,1,0.09330120961189096,289253263440.8995,1540444385636541.0,0.009109258651733398,284858844988.27246,0.1081299890991646,288256500239.802,0.08408331271238811,9
walmart,outer_2,greedy,5,0.003,3,20,20,quantile,1,0.10157028622567232,286734279243.6662,1504168494809761.5,0.008942604064941406,279728616302.33826,0.12419232030125982,285221324080.79266,0.09372739182450351,13
walmart,outer_2,greedy,5,0.001,3,20,20,quantile,1,0.10685387793792551,285091116466.5716,1451870636383250.8,0.00904989242553711,276277042682.30164,0.13499891822260512,282659919083.1912,0.10186609321806572,18
walmart,outer_2,greedy,5,0.0005,3,20,20,quantile,1,0.10656583710147598,285158595758.4991,1434948868258408.5,0.009032964706420898,275066053603.5743,0.13879042711147183,280423767589.114,0.10897132230058282,23
walmart,outer_2,greedy,5,0.0001,3,20,20,quantile,1,0.10570516501672089,285436410308.4363,1419688764506021.8,0.009075164794921875,275008270218.6075,0.13897134221762686,280438017120.22235,0.10892604532220662,24
