dataset,outer,method,depth,lambda,cv_folds,n_thresholds,threshold_label,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_1,greedy,5,0.1,3,20,20,quantile,1,0.7871513091207928,49.317733532646095,22552.300185030326,0.0002627372741699219,20.565554337323398,0.913238276491112,19.134963359507278,0.9002429686422551,3
yacht,outer_1,greedy,5,0.08,3,20,20,quantile,1,0.8928921066429257,25.293828854752558,19053.66542142057,0.00025391578674316406,20.565554337323398,0.913238276491112,19.134963359507278,0.9002429686422551,3
yacht,outer_1,greedy,5,0.05,3,20,20,quantile,1,0.900024616627476,22.95329157953505,13805.713276005936,0.000274658203125,20.565554337323398,0.913238276491112,19.134963359507278,0.9002429686422551,3
yacht,outer_1,greedy,5,0.03,3,20,20,quantile,1,0.9523532360882682,10.09258258644688,9549.13890500255,0.00027441978454589844,10.373452755215732,0.9562365971265292,6.764759525763547,0.9647330221929113,4
yacht,outer_1,greedy,5,0.01,3,20,20,quantile,1,0.9767289175226418,5.560274865620662,4463.963709432042,0.000370025634765625,3.924101405781741,0.9834450462358125,1.9333521794315967,0.9899207816411472,6
yacht,outer_1,greedy,5,0.008,3,20,20,quantile,1,0.9767289175226418,5.560274865620662,3764.236756710091,0.00037288665771484375,3.924101405781741,0.9834450462358125,1.9333521794315967,0.9899207816411472,6
yacht,outer_1,greedy,5,0.005,3,20,20,quantile,1,0.9787469808872603,4.748003568966898,2714.6463276271647,0.00038170814514160156,3.924101405781741,0.9834450462358125,1.9333521794315967,0.9899207816411472,6
yacht,outer_1,greedy,5,0.003,3,20,20,quantile,1,0.9796051337065039,4.579482882133509,1963.3187337874524,0.00040841102600097656,3.003238075301068,0.9873299738365064,1.8030809460843642,0.9905999296105409,7
yacht,outer_1,greedy,5,0.001,3,20,20,quantile,1,0.9865189634765259,3.1686380127204536,990.7256651006026,0.0005571842193603516,1.6569913462018193,0.9930095040144445,0.8476322296335517,0.9955810066984332,10
yacht,outer_1,greedy,5,0.0005,3,20,20,quantile,1,0.9872840482065705,2.9758889510796194,664.8358070000763,0.0004961490631103516,1.1618578900096017,0.9950983673303332,1.477686283629074,0.9922963219650142,13
yacht,outer_1,greedy,5,0.0001,3,20,20,quantile,1,0.9905880120656513,2.3360780549390365,248.35615472271652,0.0005958080291748047,0.3458802130932585,0.9985408045451452,1.0215467932648181,0.9946743312974001,28
