dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
california_housing,outer_4,greedy,4,0.1,0.1,3,20,quantile,0,0.5974958793142379,5375877074.467532,125359286934369.0,0.22512125968933105,5368464887.857512,0.598212411896472,5282104339.768283,0.5991185279903288,1
california_housing,outer_4,greedy,4,0.1,0.01,3,20,quantile,0,0.6339376263628356,4889913559.419785,104982801029125.34,0.19454288482666016,4866304372.394938,0.6357951970246527,4827855332.830313,0.6335934264108727,1
california_housing,outer_4,greedy,4,0.1,0.001,3,20,quantile,0,0.6348759041620573,4877309941.175788,101470591254770.84,0.2061614990234375,4845071448.184482,0.6373843152521372,4812429532.670311,0.6347641563089004,1
california_housing,outer_4,greedy,4,0.1,0.0001,3,20,quantile,0,0.6348008848773292,4878277836.454939,101083096063793.45,0.1982126235961914,4844781249.88773,0.6374060343238195,4812638189.154665,0.6347483204765858,1
california_housing,outer_4,greedy,4,0.1,1e-05,3,20,quantile,0,0.6347909231759119,4878406956.422568,101043910889740.75,0.20497441291809082,4844778227.376595,0.6374062605351265,4812683522.084056,0.6347448799668389,1
california_housing,outer_4,greedy,4,0.08,0.1,3,20,quantile,0,0.5974958793142379,5375877074.467532,120990894374706.62,0.22478699684143066,5368464887.857512,0.598212411896472,5282104339.768283,0.5991185279903288,1
california_housing,outer_4,greedy,4,0.08,0.01,3,20,quantile,0,0.6339376263628356,4889913559.419785,100614408469462.97,0.20996594429016113,4866304372.394938,0.6357951970246527,4827855332.830313,0.6335934264108727,1
california_housing,outer_4,greedy,4,0.08,0.001,3,20,quantile,0,0.6348759041620573,4877309941.175788,97102198695108.47,0.20608019828796387,4845071448.184482,0.6373843152521372,4812429532.670311,0.6347641563089004,1
california_housing,outer_4,greedy,4,0.08,0.0001,3,20,quantile,0,0.6348008848773292,4878277836.454939,96714703504131.08,0.21254205703735352,4844781249.88773,0.6374060343238195,4812638189.154665,0.6347483204765858,1
california_housing,outer_4,greedy,4,0.08,1e-05,3,20,quantile,0,0.6347909231759119,4878406956.422568,96675518330078.38,0.20522165298461914,4844778227.376595,0.6374062605351265,4812683522.084056,0.6347448799668389,1
california_housing,outer_4,greedy,4,0.05,0.1,3,20,quantile,0,0.5974958793142379,5375877074.467532,114438305535213.08,0.24965882301330566,5368464887.857512,0.598212411896472,5282104339.768283,0.5991185279903288,1
california_housing,outer_4,greedy,4,0.05,0.01,3,20,quantile,0,0.6339376263628356,4889913559.419785,94061819629969.42,0.2269585132598877,4866304372.394938,0.6357951970246527,4827855332.830313,0.6335934264108727,1
california_housing,outer_4,greedy,4,0.05,0.001,3,20,quantile,0,0.6348759041620573,4877309941.175788,90549609855614.92,0.22446131706237793,4845071448.184482,0.6373843152521372,4812429532.670311,0.6347641563089004,1
california_housing,outer_4,greedy,4,0.05,0.0001,3,20,quantile,0,0.6348008848773292,4878277836.454939,90162114664637.53,0.233626127243042,4844781249.88773,0.6374060343238195,4812638189.154665,0.6347483204765858,1
california_housing,outer_4,greedy,4,0.05,1e-05,3,20,quantile,0,0.6347909231759119,4878406956.422568,90122929490584.83,0.23156428337097168,4844778227.376595,0.6374062605351265,4812683522.084056,0.6347448799668389,1
california_housing,outer_4,greedy,4,0.03,0.1,3,20,quantile,0,0.6198507611847313,5077468708.257646,108108006119464.53,0.2687358856201172,5068867539.792038,0.6206349290211914,5049033374.621602,0.6168072795901912,2
california_housing,outer_4,greedy,4,0.03,0.01,3,20,quantile,0,0.6339376263628356,4889913559.419785,89693427070307.05,0.2434375286102295,4866304372.394938,0.6357951970246527,4827855332.830313,0.6335934264108727,1
california_housing,outer_4,greedy,4,0.03,0.001,3,20,quantile,0,0.6348759041620573,4877309941.175788,86181217295952.55,0.24332499504089355,4845071448.184482,0.6373843152521372,4812429532.670311,0.6347641563089004,1
california_housing,outer_4,greedy,4,0.03,0.0001,3,20,quantile,0,0.6348008848773292,4878277836.454939,85793722104975.16,0.25587964057922363,4844781249.88773,0.6374060343238195,4812638189.154665,0.6347483204765858,1
california_housing,outer_4,greedy,4,0.03,1e-05,3,20,quantile,0,0.6347909231759119,4878406956.422568,85754536930922.45,0.25768184661865234,4844778227.376595,0.6374062605351265,4812683522.084056,0.6347448799668389,1
california_housing,outer_4,greedy,4,0.01,0.1,3,20,quantile,0,0.6198507611847313,5077468708.257646,99371221000139.81,0.2910592555999756,5068867539.792038,0.6206349290211914,5049033374.621602,0.6168072795901912,2
california_housing,outer_4,greedy,4,0.01,0.01,3,20,quantile,0,0.6601128508770231,4541907866.9889555,83150485387389.45,0.27072858810424805,4438890843.170088,0.6677837551352759,4403292561.476863,0.6658153095454535,3
california_housing,outer_4,greedy,4,0.01,0.001,3,20,quantile,0,0.6902355194597761,4136927096.3565392,76925042990477.08,0.2807190418243408,4088762970.5152054,0.6939880866193114,4112346434.4984922,0.6878964545127108,4
california_housing,outer_4,greedy,4,0.01,0.0001,3,20,quantile,0,0.7014851579009468,3987295867.5208354,74871597256278.14,0.2866392135620117,3875604675.739602,0.709941316999166,3947225760.3321047,0.7004281681368976,5
california_housing,outer_4,greedy,4,0.01,1e-05,3,20,quantile,0,0.7013996123491536,3988662216.8393493,75097076334187.73,0.28999924659729004,3923359625.4920483,0.706367232697257,3992605567.2985516,0.696984100650525,5
california_housing,outer_4,greedy,4,0.008,0.1,3,20,quantile,0,0.6211677173033858,5060671213.832388,98497542488207.34,0.2899613380432129,5068867539.792038,0.6206349290211914,5049033374.621602,0.6168072795901912,2
