dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
energe_c,outer_4,greedy,4,0.1,0.1,3,20,quantile,0,0.8614186188210989,12.824829454349242,15401.997748383623,0.003782987594604492,12.341688560764945,0.8642169152548,11.394065477226455,0.8710087042652994,1
energe_c,outer_4,greedy,4,0.1,0.01,3,20,quantile,0,0.8769677760811216,11.312460960336274,12647.881756282153,0.0026483535766601562,10.640924318172221,0.8829286996388049,9.253433180897261,0.8952426297370235,1
energe_c,outer_4,greedy,4,0.1,0.001,3,20,quantile,0,0.8778534356982824,11.19932448187256,12101.770757425485,0.002628803253173828,10.462096420604755,0.8848961616640098,8.947000589790571,0.8987117283709745,1
energe_c,outer_4,greedy,4,0.1,0.0001,3,20,quantile,0,0.8777943174565319,11.201250932402735,12028.063066450497,0.0026161670684814453,10.4544405385456,0.8849803915712319,8.926795991948007,0.8989404629925825,1
energe_c,outer_4,greedy,4,0.1,1e-05,3,20,quantile,0,0.877780433733394,11.202178265400372,12020.196121307326,0.002606630325317383,10.454335239805223,0.8849815500664991,8.925535657467643,0.8989547311375221,1
energe_c,outer_4,greedy,4,0.08,0.1,3,20,quantile,0,0.8614186188210989,12.824829454349242,14284.01777626655,0.0037119388580322266,12.341688560764945,0.8642169152548,11.394065477226455,0.8710087042652994,1
energe_c,outer_4,greedy,4,0.08,0.01,3,20,quantile,0,0.8769677760811216,11.312460960336274,11529.90178416508,0.002602815628051758,10.640924318172221,0.8829286996388049,9.253433180897261,0.8952426297370235,1
energe_c,outer_4,greedy,4,0.08,0.001,3,20,quantile,0,0.8778534356982824,11.19932448187256,10983.790785308413,0.002618551254272461,10.462096420604755,0.8848961616640098,8.947000589790571,0.8987117283709745,1
energe_c,outer_4,greedy,4,0.08,0.0001,3,20,quantile,0,0.8777943174565319,11.201250932402735,10910.083094333424,0.0026154518127441406,10.4544405385456,0.8849803915712319,8.926795991948007,0.8989404629925825,1
energe_c,outer_4,greedy,4,0.08,1e-05,3,20,quantile,0,0.877780433733394,11.202178265400372,10902.216149190253,0.0026290416717529297,10.454335239805223,0.8849815500664991,8.925535657467643,0.8989547311375221,1
energe_c,outer_4,greedy,4,0.05,0.1,3,20,quantile,0,0.8791088919171437,11.33011448413643,12408.72528438937,0.0037927627563476562,10.067147138304502,0.8892413881380529,8.384752107125243,0.9050768980682021,2
energe_c,outer_4,greedy,4,0.05,0.01,3,20,quantile,0,0.9113603283872272,8.345352020819423,9059.88986190447,0.0026216506958007812,4.863385641938502,0.9464930992613709,4.7471777001951105,0.9462575843666207,2
energe_c,outer_4,greedy,4,0.05,0.001,3,20,quantile,0,0.9446406014888894,4.998577652121231,8551.893746128848,0.0026230812072753906,4.65687803728607,0.9487650930363711,4.480911056961627,0.9492719675462034,2
energe_c,outer_4,greedy,4,0.05,0.0001,3,20,quantile,0,0.9453926060999819,4.932558742978499,8422.066157233243,0.002618074417114258,4.566639541327921,0.9497578957054417,4.622620051939393,0.9476676914503727,2
energe_c,outer_4,greedy,4,0.05,1e-05,3,20,quantile,0,0.9453606478985157,4.935895253869922,8398.861057033668,0.0026183128356933594,4.5628418896406275,0.949799677416133,4.683122461569288,0.9469827485536665,2
energe_c,outer_4,greedy,4,0.03,0.1,3,20,quantile,0,0.9281802269804519,6.526742484546557,9494.86739894364,0.004564523696899414,6.247520340246995,0.9312648686903391,5.30959281560136,0.9398905282335807,3
energe_c,outer_4,greedy,4,0.03,0.01,3,20,quantile,0,0.9424721880736072,5.2007403152812754,6823.929917670324,0.004178047180175781,4.863385641938502,0.9464930992613709,4.7471777001951105,0.9462575843666207,2
energe_c,outer_4,greedy,4,0.03,0.001,3,20,quantile,0,0.9446406014888894,4.998577652121231,6315.933801894702,0.004169940948486328,4.65687803728607,0.9487650930363711,4.480911056961627,0.9492719675462034,2
energe_c,outer_4,greedy,4,0.03,0.0001,3,20,quantile,0,0.9453926060999819,4.932558742978499,6186.106212999097,0.004164218902587891,4.566639541327921,0.9497578957054417,4.622620051939393,0.9476676914503727,2
energe_c,outer_4,greedy,4,0.03,1e-05,3,20,quantile,0,0.9453606478985157,4.935895253869922,6162.901112799522,0.0041599273681640625,4.5628418896406275,0.949799677416133,4.683122461569288,0.9469827485536665,2
energe_c,outer_4,greedy,4,0.01,0.1,3,20,quantile,0,0.9281933059006017,6.525667051718511,6140.927482592418,0.007656574249267578,6.247520340246995,0.9312648686903391,5.30959281560136,0.9398905282335807,3
energe_c,outer_4,greedy,4,0.01,0.01,3,20,quantile,0,0.9591206113111271,3.7182332512093446,4299.388322022217,0.005995273590087891,3.321941151156178,0.9634520499666499,2.6045108320343076,0.9705145430618547,3
energe_c,outer_4,greedy,4,0.01,0.001,3,20,quantile,0,0.9619638939081129,3.461200076779439,3678.9623704015394,0.0063512325286865234,3.0857082227023573,0.9660510813379182,2.650558831428931,0.9699932373769107,3
energe_c,outer_4,greedy,4,0.01,0.0001,3,20,quantile,0,0.9624318442997571,3.422186247867988,3558.951660397701,0.005597352981567383,3.0295484053520356,0.966668950862093,2.666908305729862,0.9698081462977981,3
