dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_2,greedy,4,0.1,0.1,3,20,quantile,0,0.8155880232177602,26929952.410063226,65574263827.43901,0.003415346145629883,26475477.994526874,0.8189811933148015,22981940.920119584,0.8442784866379901,2
insurance,outer_2,greedy,4,0.1,0.01,3,20,quantile,0,0.8301780483214988,24812644.129959214,58475382157.63532,0.00328826904296875,24413859.00235078,0.8330769467467284,20655408.74434174,0.8600426517516672,2
insurance,outer_2,greedy,4,0.1,0.001,3,20,quantile,0,0.8304792204850749,24770578.117692184,57493633454.3982,0.0031952857971191406,24375146.676011592,0.8333416316419124,20541184.487109464,0.8608166148499401,2
insurance,outer_2,greedy,4,0.1,0.0001,3,20,quantile,0,0.8304852249187663,24769907.73455823,57391586065.40687,0.003242969512939453,24374728.9472922,0.8333444877472609,20532345.887394838,0.860876503617749,2
insurance,outer_2,greedy,4,0.1,1e-05,3,20,quantile,0,0.830485562750022,24769879.214435045,57381340942.493355,0.0031900405883789062,24374724.7373885,0.8333445165313207,20531490.27870872,0.860882301068883,2
insurance,outer_2,greedy,4,0.08,0.1,3,20,quantile,0,0.8155880232177602,26929952.410063226,59314414484.07018,0.004563808441162109,26475477.994526874,0.8189811933148015,22981940.920119584,0.8442784866379901,2
insurance,outer_2,greedy,4,0.08,0.01,3,20,quantile,0,0.8301780483214988,24812644.129959214,52215532814.266495,0.0032510757446289062,24413859.00235078,0.8330769467467284,20655408.74434174,0.8600426517516672,2
insurance,outer_2,greedy,4,0.08,0.001,3,20,quantile,0,0.8304792204850749,24770578.117692184,51233784111.02937,0.003225564956665039,24375146.676011592,0.8333416316419124,20541184.487109464,0.8608166148499401,2
insurance,outer_2,greedy,4,0.08,0.0001,3,20,quantile,0,0.8304852249187663,24769907.73455823,51131736722.03804,0.003228425979614258,24374728.9472922,0.8333444877472609,20532345.887394838,0.860876503617749,2
insurance,outer_2,greedy,4,0.08,1e-05,3,20,quantile,0,0.830485562750022,24769879.214435045,51121491599.12453,0.0032296180725097656,24374724.7373885,0.8333445165313207,20531490.27870872,0.860882301068883,2
insurance,outer_2,greedy,4,0.05,0.1,3,20,quantile,0,0.8525225377328413,21633548.585057084,48358719151.472496,0.0050201416015625,21309282.68525218,0.8543036343366746,18654408.070154548,0.8736010737450872,3
insurance,outer_2,greedy,4,0.05,0.01,3,20,quantile,0,0.8301780483214988,24812644.129959214,42825758799.21324,0.004781961441040039,24413859.00235078,0.8330769467467284,20655408.74434174,0.8600426517516672,2
insurance,outer_2,greedy,4,0.05,0.001,3,20,quantile,0,0.8304792204850749,24770578.117692184,41844010095.97612,0.004459381103515625,24375146.676011592,0.8333416316419124,20541184.487109464,0.8608166148499401,2
insurance,outer_2,greedy,4,0.05,0.0001,3,20,quantile,0,0.8304852249187663,24769907.73455823,41741962706.98479,0.004483938217163086,24374728.9472922,0.8333444877472609,20532345.887394838,0.860876503617749,2
insurance,outer_2,greedy,4,0.05,1e-05,3,20,quantile,0,0.830485562750022,24769879.214435045,41731717584.07127,0.004551887512207031,24374724.7373885,0.8333445165313207,20531490.27870872,0.860882301068883,2
insurance,outer_2,greedy,4,0.03,0.1,3,20,quantile,0,0.8525225377328413,21633548.585057084,38968945136.41925,0.005337715148925781,21309282.68525218,0.8543036343366746,18654408.070154548,0.8736010737450872,3
insurance,outer_2,greedy,4,0.03,0.01,3,20,quantile,0,0.8363644720511719,23813161.332117666,36203058495.60652,0.0054628849029541016,20199373.2384613,0.8618923352329624,17410657.764416385,0.8820285029394793,3
insurance,outer_2,greedy,4,0.03,0.001,3,20,quantile,0,0.8366642808323661,23771315.588829473,35584160752.60729,0.0051326751708984375,24375146.676011592,0.8333416316419124,20541184.487109464,0.8608166148499401,2
insurance,outer_2,greedy,4,0.03,0.0001,3,20,quantile,0,0.8366704026706354,23770626.237732578,35482113363.61596,0.005393266677856445,24374728.9472922,0.8333444877472609,20532345.887394838,0.860876503617749,2
insurance,outer_2,greedy,4,0.03,1e-05,3,20,quantile,0,0.8366707368291237,23770598.310984198,35471868240.702446,0.0053942203521728516,24374724.7373885,0.8333445165313207,20531490.27870872,0.860882301068883,2
insurance,outer_2,greedy,4,0.01,0.1,3,20,quantile,0,0.8525225377328413,21633548.585057084,29579171121.366,0.005986928939819336,21309282.68525218,0.8543036343366746,18654408.070154548,0.8736010737450872,3
insurance,outer_2,greedy,4,0.01,0.01,3,20,quantile,0,0.8599139324685954,20565801.855782367,26813284480.553272,0.0057604312896728516,20199373.2384613,0.8618923352329624,17410657.764416385,0.8820285029394793,3
insurance,outer_2,greedy,4,0.01,0.001,3,20,quantile,0,0.8599702928431293,20557320.375879284,26313140722.392597,0.005747795104980469,20146452.621689107,0.8622541654102731,17351407.887101047,0.8824299694907218,3
insurance,outer_2,greedy,4,0.01,0.0001,3,20,quantile,0,0.8599270885128195,20563406.735070366,26257092916.611416,0.0057299137115478516,20145704.937114812,0.8622592774981246,17350173.11293234,0.8824383360992202,3
insurance,outer_2,greedy,4,0.01,1e-05,3,20,quantile,0,0.8599220572209402,20564115.985931545,26251414631.686234,0.005781888961791992,20145697.144028652,0.8622593307812101,17350117.075620048,0.8824387157980065,3
insurance,outer_2,greedy,4,0.008,0.1,3,20,quantile,0,0.8525225377328413,21633548.585057084,28640193719.860676,0.006042003631591797,21309282.68525218,0.8543036343366746,18654408.070154548,0.8736010737450872,3
insurance,outer_2,greedy,4,0.008,0.01,3,20,quantile,0,0.8599139324685954,20565801.855782367,25874307079.047947,0.005982398986816406,20199373.2384613,0.8618923352329624,17410657.764416385,0.8820285029394793,3
insurance,outer_2,greedy,4,0.008,0.001,3,20,quantile,0,0.8599702928431293,20557320.375879284,25374163320.88727,0.005953788757324219,20146452.621689107,0.8622541654102731,17351407.887101047,0.8824299694907218,3
insurance,outer_2,greedy,4,0.008,0.0001,3,20,quantile,0,0.8599270885128195,20563406.735070366,25318115515.10609,0.0058727264404296875,20145704.937114812,0.8622592774981246,17350173.11293234,0.8824383360992202,3
insurance,outer_2,greedy,4,0.008,1e-05,3,20,quantile,0,0.8599220572209402,20564115.985931545,25312437230.18091,0.005851268768310547,20145697.144028652,0.8622593307812101,17350117.075620048,0.8824387157980065,3
insurance,outer_2,greedy,4,0.005,0.1,3,20,quantile,0,0.8484180313264421,22218845.812050212,27231727617.602688,0.006149768829345703,21309282.68525218,0.8543036343366746,18654408.070154548,0.8736010737450872,3
insurance,outer_2,greedy,4,0.005,0.01,3,20,quantile,0,0.8599139324685954,20565801.855782367,24465840976.78996,0.006067037582397461,20199373.2384613,0.8618923352329624,17410657.764416385,0.8820285029394793,3
insurance,outer_2,greedy,4,0.005,0.001,3,20,quantile,0,0.8559506891671962,21206730.261750158,23965697218.629288,0.006040811538696289,20146452.621689107,0.8622541654102731,17351407.887101047,0.8824299694907218,3
insurance,outer_2,greedy,4,0.005,0.0001,3,20,quantile,0,0.8553063939902028,21309929.264279675,23909649412.848103,0.006005287170410156,20145704.937114812,0.8622592774981246,17350173.11293234,0.8824383360992202,3
insurance,outer_2,greedy,4,0.005,1e-05,3,20,quantile,0,0.8551804868568355,21330167.297765713,23903971127.92292,0.005926370620727539,20145697.144028652,0.8622593307812101,17350117.075620048,0.8824387157980065,3
insurance,outer_2,greedy,4,0.003,0.1,3,20,quantile,0,0.8481551302258263,22258002.1559869,25917306305.596073,0.006258487701416016,20749310.96946235,0.8581322870919031,19028344.440477256,0.8710673479083468,6
insurance,outer_2,greedy,4,0.003,0.01,3,20,quantile,0,0.855793036505597,21215815.146232836,23526863575.284634,0.006086111068725586,20199373.2384613,0.8618923352329624,17410657.764416385,0.8820285029394793,3
insurance,outer_2,greedy,4,0.003,0.001,3,20,quantile,0,0.8531306283728748,21613719.96118042,22889574165.317394,0.006060123443603516,19561702.397698514,0.8662522344074622,17461573.453069113,0.8816835073571467,4
insurance,outer_2,greedy,4,0.003,0.0001,3,20,quantile,0,0.8515259278934896,21944633.83437039,22816167668.521133,0.0060842037200927734,19560708.74301945,0.866259028248325,17457770.009416934,0.8817092788097652,4
insurance,outer_2,greedy,4,0.003,1e-05,3,20,quantile,0,0.851199241377552,21996860.594108157,22808729591.568344,0.00606083869934082,19560698.440917984,0.8662590986861134,17457468.280305423,0.8817113232721556,4
insurance,outer_2,greedy,4,0.001,0.1,3,20,quantile,0,0.8482431038361836,22236958.436695095,23347603220.749725,0.006252288818359375,19873939.62094151,0.8641173981803002,20092209.99945124,0.8638587855230822,11
insurance,outer_2,greedy,4,0.001,0.01,3,20,quantile,0,0.8489196065233263,22224056.80949688,21988952292.19167,0.006192684173583984,18855917.282792743,0.8710778462171085,18055370.44443032,0.8776600453507839,8
insurance,outer_2,greedy,4,0.001,0.001,3,20,quantile,0,0.8307042074610115,24826488.996788118,21148304838.90403,0.0061566829681396484,18587308.285259474,0.8729143864377773,18269615.42960527,0.8762083597234634,7
insurance,outer_2,greedy,4,0.001,0.0001,3,20,quantile,0,0.8277445471721935,25283577.275703553,20944777861.402412,0.0061550140380859375,18384303.800742775,0.874302373825448,18426200.346487265,0.87514736838634,8
insurance,outer_2,greedy,4,0.001,1e-05,3,20,quantile,0,0.822744455129644,25980451.146617997,20914429363.210663,0.006089925765991211,18223272.726036757,0.8754033795556767,18684092.69150775,0.8733999360702162,9
insurance,outer_2,greedy,4,0.0005,0.1,3,20,quantile,0,0.8487578891725716,22155393.630328756,22364854639.084892,0.006293058395385742,19499249.018871307,0.8666792422262105,19894954.49825863,0.865195353451416,15
insurance,outer_2,greedy,4,0.0005,0.01,3,20,quantile,0,0.8460292720649404,22630421.770976722,21357248235.095066,0.00620579719543457,18760068.950662278,0.8717331828538487,18179682.1469494,0.8768177315308954,9
insurance,outer_2,greedy,4,0.0005,0.001,3,20,quantile,0,0.8289114728053639,25085009.813388687,20478880886.500465,0.006200313568115234,17968962.273911726,0.877142157400623,19061524.473667968,0.8708425259492348,13
insurance,outer_2,greedy,4,0.0005,0.0001,3,20,quantile,0,0.8273234890068868,25356355.94214816,20021058271.570614,0.006184101104736328,17484470.185103957,0.8804547389442888,20473889.969996486,0.8612725904388698,16
insurance,outer_2,greedy,4,0.0005,1e-05,3,20,quantile,0,0.8220748906105156,26087378.220367353,19973437630.440098,0.00612950325012207,17559387.54872768,0.8799425120539577,19767498.22822265,0.8660589742972996,15
insurance,outer_2,greedy,4,0.0001,0.1,3,20,quantile,0,0.848182650866962,22235183.711001,21377684043.865322,0.006293296813964844,19435415.64006472,0.8671156854156645,19811611.52036499,0.865760070534747,16
insurance,outer_2,greedy,4,0.0001,0.01,3,20,quantile,0,0.843897082635562,22958524.98409934,20466169271.203056,0.0062389373779296875,18519526.896418642,0.87337782306113,19622543.416779265,0.86704116212406,16
insurance,outer_2,greedy,4,0.0001,0.001,3,20,quantile,0,0.8283981743675266,25154719.78537576,19545291566.58132,0.006235361099243164,17773729.300674133,0.8784770092151353,19488977.00965408,0.8679461841639371,16
insurance,outer_2,greedy,4,0.0001,0.0001,3,20,quantile,0,0.8274316843750005,25342691.269028056,19019482376.6316,0.0061931610107421875,17484470.185103957,0.8804547389442888,20473889.969996486,0.8612725904388698,16
insurance,outer_2,greedy,4,0.0001,1e-05,3,20,quantile,0,0.8221711002602894,26075661.84896776,19034460228.934776,0.006151676177978516,17559387.54872768,0.8799425120539577,19767498.22822265,0.8660589742972996,15
