dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_0,greedy,4,0.1,0.1,3,20,quantile,0,0.7511735877751805,0.0105534271794802,9.277918936575237,0.0042901039123535,0.0104017188926272,0.75682792076905,0.0187370566636975,0.4863830349729833,1.0
optical_net,outer_0,greedy,4,0.1,0.01,3,20,quantile,0,0.7911686106705952,0.0088554473698829,6.835901550386035,0.0018048286437988,0.0084251600703081,0.8030360449749736,0.0182681405183211,0.4992368834596028,1.0
optical_net,outer_0,greedy,4,0.1,0.001,3,20,quantile,0,0.7869254010907779,0.0090224619273661,6.40776334205332,0.0018508434295654,0.0083320119065141,0.8052136689715594,0.0178652966231333,0.5102795708218555,1.0
optical_net,outer_0,greedy,4,0.1,0.0001,3,20,quantile,0,0.7858419163473332,0.009065984193317,6.359906695948117,0.0018272399902343,0.0083306744641727,0.8052449357879741,0.0178099172221598,0.5117976214081108,1.0
optical_net,outer_0,greedy,4,0.1,1e-05,3,20,quantile,0,0.7857229796884249,0.0090707669577138,6.355059042456452,0.001838207244873,0.0083306604987376,0.8052452622728488,0.0178041854553008,0.5119547396124912,1.0
optical_net,outer_0,greedy,4,0.08,0.1,3,20,quantile,0,0.7511735877751805,0.0105534271794802,8.846745560218556,0.0043396949768066,0.0104017188926272,0.75682792076905,0.0187370566636975,0.4863830349729833,1.0
optical_net,outer_0,greedy,4,0.08,0.01,3,20,quantile,0,0.7911686106705952,0.0088554473698829,6.404728174029357,0.0028071403503417,0.0084251600703081,0.8030360449749736,0.0182681405183211,0.4992368834596028,1.0
optical_net,outer_0,greedy,4,0.08,0.001,3,20,quantile,0,0.7995100256374924,0.0084717355215652,5.9765899656966415,0.0018322467803955,0.0083320119065141,0.8052136689715594,0.0178652966231333,0.5102795708218555,1.0
optical_net,outer_0,greedy,4,0.08,0.0001,3,20,quantile,0,0.7695651332543182,0.0097555346692787,5.928733319591439,0.0018088817596435,0.0083306744641727,0.8052449357879741,0.0178099172221598,0.5117976214081108,1.0
optical_net,outer_0,greedy,4,0.08,1e-05,3,20,quantile,0,0.7541341707548604,0.0104183609990938,5.923885666099773,0.0018067359924316,0.0083306604987376,0.8052452622728488,0.0178041854553008,0.5119547396124912,1.0
optical_net,outer_0,greedy,4,0.05,0.1,3,20,quantile,0,0.7593291925604687,0.0102038612582662,7.9796424857685135,0.0049679279327392,0.009228609075567,0.7842529604500373,0.0167765697718719,0.5401235634576728,2.0
optical_net,outer_0,greedy,4,0.05,0.01,3,20,quantile,0,0.8281410265561213,0.0073187966522101,5.693049872359706,0.0045013427734375,0.0054437000127352,0.8727368173980684,0.0129690003512985,0.6444959995892005,2.0
optical_net,outer_0,greedy,4,0.05,0.001,3,20,quantile,0,0.8515125529871858,0.0063173695279099,4.822110665952242,0.0033395290374755,0.0050405015588971,0.8821628177903702,0.0103337974334975,0.7167317273859606,2.0
optical_net,outer_0,greedy,4,0.05,0.0001,3,20,quantile,0,0.803924606997156,0.0083619106824974,4.703122694746599,0.0033450126647949,0.0050263848808149,0.8824928384337387,0.009656415615334,0.7353000009336228,2.0
optical_net,outer_0,greedy,4,0.05,1e-05,3,20,quantile,0,0.7885959873230753,0.0090205859761997,4.69048206524941,0.0033404827117919,0.0050261940137771,0.8824973005361016,0.0095761451495794,0.7375003610938218,2.0
optical_net,outer_0,greedy,4,0.03,0.1,3,20,quantile,0,0.7691964360610197,0.0098036447902056,7.1172957330551565,0.0054845809936523,0.009228609075567,0.7842529604500373,0.0167765697718719,0.5401235634576728,2.0
optical_net,outer_0,greedy,4,0.03,0.01,3,20,quantile,0,0.857314702482352,0.0060650217176307,4.830703119646349,0.0052149295806884,0.0054437000127352,0.8727368173980684,0.0129690003512985,0.6444959995892005,2.0
optical_net,outer_0,greedy,4,0.03,0.001,3,20,quantile,0,0.8515125529871858,0.0063173695279099,3.959763913238885,0.0037305355072021,0.0050405015588971,0.8821628177903702,0.0103337974334975,0.7167317273859606,2.0
optical_net,outer_0,greedy,4,0.03,0.0001,3,20,quantile,0,0.7812258318620927,0.0092777413237248,3.836799719627399,0.0033454895019531,0.0036225933562485,0.9153107704850988,0.0065099109092235,0.8215514451493455,3.0
optical_net,outer_0,greedy,4,0.03,1e-05,3,20,quantile,0,0.7654763354419556,0.0099397379998529,3.749030069694479,0.0033550262451171,0.0035559857844795,0.9168679267480976,0.0056660638275664,0.8446828357837841,3.0
optical_net,outer_0,greedy,4,0.01,0.1,3,20,quantile,0,0.7848195256433609,0.0091443319687493,5.204980743204416,0.0055365562438964,0.006013583799479,0.8594140361565247,0.0108692993114613,0.702052642284034,8.0
optical_net,outer_0,greedy,4,0.01,0.01,3,20,quantile,0,0.8607452929363442,0.0059266986851355,3.876052988462674,0.0051934719085693,0.0049252839078168,0.8848563837352421,0.0083979307529718,0.7697973708856112,3.0
optical_net,outer_0,greedy,4,0.01,0.001,3,20,quantile,0,0.859058111680274,0.0059659826230691,2.710760046121995,0.0053308010101318,0.0029699796043064,0.9305676183803984,0.0050142124925026,0.8625512721328594,4.0
optical_net,outer_0,greedy,4,0.01,0.0001,3,20,quantile,0,0.8126508336301942,0.0079058633227336,2.175111125385265,0.0050339698791503,0.0019601089661305,0.9541764416311004,0.004197712597642,0.8849330264003638,5.0
optical_net,outer_0,greedy,4,0.01,1e-05,3,20,quantile,0,0.7892296908629483,0.0089084012135255,2.050650727689798,0.0051443576812744,0.0018886307331503,0.9558474645373104,0.0033769819797124,0.9074307525188144,5.0
optical_net,outer_0,greedy,4,0.008,0.1,3,20,quantile,0,0.789095422629038,0.0089605699883584,4.860042042119072,0.0055396556854248,0.006013583799479,0.8594140361565247,0.0108692993114613,0.702052642284034,8.0
optical_net,outer_0,greedy,4,0.008,0.01,3,20,quantile,0,0.862932715120766,0.0058379766037601,3.719999077630135,0.0054364204406738,0.0049105205827234,0.8852015217356419,0.0084429764531671,0.768562585922471,4.0
optical_net,outer_0,greedy,4,0.008,0.001,3,20,quantile,0,0.8640811341444005,0.0057501119978769,2.5322878230865498,0.005601167678833,0.0025352342283719,0.9407311248251808,0.0042363640563955,0.8838735192805871,5.0
optical_net,outer_0,greedy,4,0.008,0.0001,3,20,quantile,0,0.8147075349794154,0.0078224432926315,1.9595244372069256,0.0050494670867919,0.0019601089661305,0.9541764416311004,0.004197712597642,0.8849330264003638,5.0
