dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
servo,outer_0,greedy,4,0.1,0.1,3,20,quantile,0,0.5726412756794722,1.0082628016302757,194.7089733195081,0.0001459121704101,0.9825909030813894,0.5849832383663631,0.9091510831407296,0.6477917329029874,2.0
servo,outer_0,greedy,4,0.1,0.01,3,20,quantile,0,0.5581536856525763,1.045703136388383,192.25347461605827,0.0001420974731445,0.9664078384434454,0.5918184767736041,0.9010724323867688,0.6509214300845658,2.0
servo,outer_0,greedy,4,0.1,0.001,3,20,quantile,0,0.5569596407679718,1.0490443846708986,191.43563836260685,0.0001423358917236,0.9650102655168692,0.5924087694257297,0.90343207425372,0.6500072966821644,2.0
servo,outer_0,greedy,4,0.1,0.0001,3,20,quantile,0,0.5559097901230939,1.0516909405001742,190.99329477583572,0.0002272129058837,0.9617185552554142,0.5937990885592177,0.928055764131682,0.640467994246874,2.0
servo,outer_0,greedy,4,0.1,1e-05,3,20,quantile,0,0.5557988831372833,1.0519703423135298,190.89714977499133,0.0002274513244628,0.9617178723924994,0.5937993769799171,0.9280687313948058,0.6404629706843896,2.0
servo,outer_0,greedy,4,0.08,0.1,3,20,quantile,0,0.5726412756794722,1.0082628016302757,182.11337697825095,0.0001370906829833,0.9825909030813894,0.5849832383663631,0.9091510831407296,0.6477917329029874,2.0
servo,outer_0,greedy,4,0.08,0.01,3,20,quantile,0,0.5581536856525763,1.045703136388383,179.6578782748012,0.000136375427246,0.9664078384434454,0.5918184767736041,0.9010724323867688,0.6509214300845658,2.0
servo,outer_0,greedy,4,0.08,0.001,3,20,quantile,0,0.5569596407679718,1.0490443846708986,178.84004202134977,0.000136375427246,0.9650102655168692,0.5924087694257297,0.90343207425372,0.6500072966821644,2.0
servo,outer_0,greedy,4,0.08,0.0001,3,20,quantile,0,0.5559097901230939,1.0516909405001742,178.39769843457867,0.0002264976501464,0.9617185552554142,0.5937990885592177,0.928055764131682,0.640467994246874,2.0
servo,outer_0,greedy,4,0.08,1e-05,3,20,quantile,0,0.5557988831372833,1.0519703423135298,178.30155343373426,0.0002272129058837,0.9617178723924994,0.5937993769799171,0.9280687313948058,0.6404629706843896,2.0
servo,outer_0,greedy,4,0.05,0.1,3,20,quantile,0,0.5726412756794722,1.0082628016302757,163.2199824663654,0.0001366138458251,0.9825909030813894,0.5849832383663631,0.9091510831407296,0.6477917329029874,2.0
servo,outer_0,greedy,4,0.05,0.01,3,20,quantile,0,0.5581536856525763,1.045703136388383,160.7644837629156,0.0001370906829833,0.9664078384434454,0.5918184767736041,0.9010724323867688,0.6509214300845658,2.0
servo,outer_0,greedy,4,0.05,0.001,3,20,quantile,0,0.5569596407679718,1.0490443846708986,159.9466475094642,0.0001423358917236,0.9650102655168692,0.5924087694257297,0.90343207425372,0.6500072966821644,2.0
servo,outer_0,greedy,4,0.05,0.0001,3,20,quantile,0,0.5559097901230939,1.0516909405001742,159.50430392269308,0.000234842300415,0.9617185552554142,0.5937990885592177,0.928055764131682,0.640467994246874,2.0
servo,outer_0,greedy,4,0.05,1e-05,3,20,quantile,0,0.5557988831372833,1.0519703423135298,159.40815892184867,0.0002260208129882,0.9617178723924994,0.5937993769799171,0.9280687313948058,0.6404629706843896,2.0
servo,outer_0,greedy,4,0.03,0.1,3,20,quantile,0,0.5449983852458846,1.0778634958068902,150.62438612510834,0.0001373291015625,0.9825909030813894,0.5849832383663631,0.9091510831407296,0.6477917329029874,2.0
servo,outer_0,greedy,4,0.03,0.01,3,20,quantile,0,0.5581536856525763,1.045703136388383,148.16888742165855,0.0001358985900878,0.9664078384434454,0.5918184767736041,0.9010724323867688,0.6509214300845658,2.0
servo,outer_0,greedy,4,0.03,0.001,3,20,quantile,0,0.5569596407679718,1.0490443846708986,147.35105116820714,0.0001454353332519,0.9650102655168692,0.5924087694257297,0.90343207425372,0.6500072966821644,2.0
servo,outer_0,greedy,4,0.03,0.0001,3,20,quantile,0,0.5559097901230939,1.0516909405001742,146.90870758143603,0.0002317428588867,0.9617185552554142,0.5937990885592177,0.928055764131682,0.640467994246874,2.0
servo,outer_0,greedy,4,0.03,1e-05,3,20,quantile,0,0.5557988831372833,1.0519703423135298,146.81256258059162,0.0002410411834716,0.9617178723924994,0.5937993769799171,0.9280687313948058,0.6404629706843896,2.0
servo,outer_0,greedy,4,0.01,0.1,3,20,quantile,0,0.5449983852458846,1.0778634958068902,138.02878978385127,0.0002031326293945,0.9825909030813894,0.5849832383663631,0.9091510831407296,0.6477917329029874,2.0
servo,outer_0,greedy,4,0.01,0.01,3,20,quantile,0,0.5473457842861391,1.072915827460023,135.57329108040148,0.0002071857452392,0.9664078384434454,0.5918184767736041,0.9010724323867688,0.6509214300845658,2.0
servo,outer_0,greedy,4,0.01,0.001,3,20,quantile,0,0.5569596407679718,1.0490443846708986,134.75545482695006,0.0002086162567138,0.9650102655168692,0.5924087694257297,0.90343207425372,0.6500072966821644,2.0
