dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_2,greedy,4,0.1,0.1,3,20,quantile,0,0.982291454528442,0.0005628059973933407,2.342307041577868,9.584426879882812e-05,0.000552383613421667,0.9831163188100713,0.0005710785803918915,0.9817346535076966,1
synch,outer_2,greedy,4,0.1,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,1.5929996023090904,9.202957153320312e-05,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
synch,outer_2,greedy,4,0.1,0.001,3,20,quantile,0,0.9999901816281974,3.0884980105511e-07,1.47363430720997,0.00011444091796875,3.0119966284257376e-07,0.9999907937908395,3.1314707381165883e-07,0.9999899843208928,1
synch,outer_2,greedy,4,0.1,0.0001,3,20,quantile,0,0.9999998992439433,3.1688706863397444e-09,1.4606365691980834,9.059906005859375e-05,3.0897082984539994e-09,0.9999999055626405,3.212350391689152e-09,0.9999998972563584,1
synch,outer_2,greedy,4,0.1,1e-05,3,20,quantile,0,0.9999999989898107,3.177083084022728e-11,1.4593246744631685,9.131431579589844e-05,3.097646924686795e-11,0.9999999990531999,3.220612602951934e-11,0.999999998969921,1
synch,outer_2,greedy,4,0.08,0.1,3,20,quantile,0,0.982291454528442,0.0005628059973933407,2.0504712874971505,9.107589721679688e-05,0.000552383613421667,0.9831163188100713,0.0005710785803918915,0.9817346535076966,1
synch,outer_2,greedy,4,0.08,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,1.3011638482283727,9.942054748535156e-05,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
synch,outer_2,greedy,4,0.08,0.001,3,20,quantile,0,0.9999901816281974,3.0884980105511e-07,1.1817985531292523,9.059906005859375e-05,3.0119966284257376e-07,0.9999907937908395,3.1314707381165883e-07,0.9999899843208928,1
synch,outer_2,greedy,4,0.08,0.0001,3,20,quantile,0,0.9999998992439433,3.1688706863397444e-09,1.1688008151173657,9.489059448242188e-05,3.0897082984539994e-09,0.9999999055626405,3.212350391689152e-09,0.9999998972563584,1
synch,outer_2,greedy,4,0.08,1e-05,3,20,quantile,0,0.9999999989898107,3.177083084022728e-11,1.1674889203824508,9.870529174804688e-05,3.097646924686795e-11,0.9999999990531999,3.220612602951934e-11,0.999999998969921,1
synch,outer_2,greedy,4,0.05,0.1,3,20,quantile,0,0.982291454528442,0.0005628059973933407,1.6127176563760743,0.00201416015625,0.000552383613421667,0.9831163188100713,0.0005710785803918915,0.9817346535076966,1
synch,outer_2,greedy,4,0.05,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,0.8634102171072966,9.465217590332031e-05,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
synch,outer_2,greedy,4,0.05,0.001,3,20,quantile,0,0.9999901816281974,3.0884980105511e-07,0.7440449220081762,9.179115295410156e-05,3.0119966284257376e-07,0.9999907937908395,3.1314707381165883e-07,0.9999899843208928,1
synch,outer_2,greedy,4,0.05,0.0001,3,20,quantile,0,0.9999998992439433,3.1688706863397444e-09,0.7310471839962895,9.703636169433594e-05,3.0897082984539994e-09,0.9999999055626405,3.212350391689152e-09,0.9999998972563584,1
synch,outer_2,greedy,4,0.05,1e-05,3,20,quantile,0,0.9999999989898107,3.177083084022728e-11,0.7297352892613747,9.1552734375e-05,3.097646924686795e-11,0.9999999990531999,3.220612602951934e-11,0.999999998969921,1
synch,outer_2,greedy,4,0.03,0.1,3,20,quantile,0,0.982291454528442,0.0005628059973933407,1.3208819022953566,0.0022919178009033203,0.000552383613421667,0.9831163188100713,0.0005710785803918915,0.9817346535076966,1
synch,outer_2,greedy,4,0.03,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,0.571574463026579,9.1552734375e-05,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
synch,outer_2,greedy,4,0.03,0.001,3,20,quantile,0,0.9999901816281974,3.0884980105511e-07,0.4522091679274586,9.131431579589844e-05,3.0119966284257376e-07,0.9999907937908395,3.1314707381165883e-07,0.9999899843208928,1
synch,outer_2,greedy,4,0.03,0.0001,3,20,quantile,0,0.9999998992439433,3.1688706863397444e-09,0.43921142991557194,9.107589721679688e-05,3.0897082984539994e-09,0.9999999055626405,3.212350391689152e-09,0.9999998972563584,1
synch,outer_2,greedy,4,0.03,1e-05,3,20,quantile,0,0.9999999989898107,3.177083084022728e-11,0.43789953518065705,9.655952453613281e-05,3.097646924686795e-11,0.9999999990531999,3.220612602951934e-11,0.999999998969921,1
synch,outer_2,greedy,4,0.01,0.1,3,20,quantile,0,0.982291454528442,0.0005628059973933407,1.0290461482146394,0.0022764205932617188,0.000552383613421667,0.9831163188100713,0.0005710785803918915,0.9817346535076966,1
synch,outer_2,greedy,4,0.01,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,0.2797387089458615,9.775161743164062e-05,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
synch,outer_2,greedy,4,0.01,0.001,3,20,quantile,0,0.9999901816281974,3.0884980105511e-07,0.1603734138467411,9.012222290039062e-05,3.0119966284257376e-07,0.9999907937908395,3.1314707381165883e-07,0.9999899843208928,1
synch,outer_2,greedy,4,0.01,0.0001,3,20,quantile,0,0.9999998992439433,3.1688706863397444e-09,0.14737567583485445,9.1552734375e-05,3.0897082984539994e-09,0.9999999055626405,3.212350391689152e-09,0.9999998972563584,1
synch,outer_2,greedy,4,0.01,1e-05,3,20,quantile,0,0.9999999989898107,3.177083084022728e-11,0.14606378109993956,9.179115295410156e-05,3.097646924686795e-11,0.9999999990531999,3.220612602951934e-11,0.999999998969921,1
synch,outer_2,greedy,4,0.008,0.1,3,20,quantile,0,0.982291454528442,0.0005628059973933407,0.9998625728065675,0.002246856689453125,0.000552383613421667,0.9831163188100713,0.0005710785803918915,0.9817346535076966,1
synch,outer_2,greedy,4,0.008,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,0.25055513353778974,0.0020024776458740234,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
synch,outer_2,greedy,4,0.008,0.001,3,20,quantile,0,0.9999901816281974,3.0884980105511e-07,0.13118983843866933,9.131431579589844e-05,3.0119966284257376e-07,0.9999907937908395,3.1314707381165883e-07,0.9999899843208928,1
synch,outer_2,greedy,4,0.008,0.0001,3,20,quantile,0,0.9999998992439433,3.1688706863397444e-09,0.1181921004267827,9.441375732421875e-05,3.0897082984539994e-09,0.9999999055626405,3.212350391689152e-09,0.9999998972563584,1
synch,outer_2,greedy,4,0.008,1e-05,3,20,quantile,0,0.9999999989898107,3.177083084022728e-11,0.11688020569186781,9.107589721679688e-05,3.097646924686795e-11,0.9999999990531999,3.220612602951934e-11,0.999999998969921,1
synch,outer_2,greedy,4,0.005,0.1,3,20,quantile,0,0.9792478550631708,0.0006468596047304416,0.9560872096944599,0.0022504329681396484,0.000552383613421667,0.9831163188100713,0.0005710785803918915,0.9817346535076966,1
synch,outer_2,greedy,4,0.005,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,0.20677977042568213,0.0020036697387695312,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
synch,outer_2,greedy,4,0.005,0.001,3,20,quantile,0,0.9999901816281974,3.0884980105511e-07,0.08741447532656171,9.202957153320312e-05,3.0119966284257376e-07,0.9999907937908395,3.1314707381165883e-07,0.9999899843208928,1
synch,outer_2,greedy,4,0.005,0.0001,3,20,quantile,0,0.9999998992439433,3.1688706863397444e-09,0.07441673731467507,9.107589721679688e-05,3.0897082984539994e-09,0.9999999055626405,3.212350391689152e-09,0.9999998972563584,1
synch,outer_2,greedy,4,0.005,1e-05,3,20,quantile,0,0.9999999989898107,3.177083084022728e-11,0.07310484257976019,9.1552734375e-05,3.097646924686795e-11,0.9999999990531999,3.220612602951934e-11,0.999999998969921,1
synch,outer_2,greedy,4,0.003,0.1,3,20,quantile,0,0.9688733429968974,0.001005632546556878,0.8970964668961902,0.0022950172424316406,0.0008315132102252445,0.9745846842564817,0.0009879159759065223,0.9684025487476138,5
synch,outer_2,greedy,4,0.003,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,0.17759619501761037,0.0019888877868652344,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
synch,outer_2,greedy,4,0.003,0.001,3,20,quantile,0,0.9999901816281974,3.0884980105511e-07,0.05823089991848997,9.083747863769531e-05,3.0119966284257376e-07,0.9999907937908395,3.1314707381165883e-07,0.9999899843208928,1
synch,outer_2,greedy,4,0.003,0.0001,3,20,quantile,0,0.9999998992439433,3.1688706863397444e-09,0.04523316190660333,9.131431579589844e-05,3.0897082984539994e-09,0.9999999055626405,3.212350391689152e-09,0.9999998972563584,1
synch,outer_2,greedy,4,0.003,1e-05,3,20,quantile,0,0.9999999989898107,3.177083084022728e-11,0.04392126717168844,9.131431579589844e-05,3.097646924686795e-11,0.9999999990531999,3.220612602951934e-11,0.999999998969921,1
synch,outer_2,greedy,4,0.001,0.1,3,20,quantile,0,0.9717894817834436,0.0009165944208025862,0.7421688626404404,0.0024530887603759766,0.0007815631048419578,0.9761114161040664,0.0009466310148110359,0.9697230047150095,6
synch,outer_2,greedy,4,0.001,0.01,3,20,quantile,0,0.9992283914242529,2.4309745305325513e-05,0.14841261960953864,0.0019927024841308594,2.374981134735273e-05,0.9992740837465728,2.4684573144686475e-05,0.9992104899448463,1
