dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
temperature_max,outer_4,greedy,4,0.1,0.1,3,20,quantile,0,0.7714559843356955,2.183143306958749,20581.293106817786,0.5574266910552979,2.171744120921883,0.7726181673049309,2.292893422963536,0.7784897631869845,1
temperature_max,outer_4,greedy,4,0.1,0.01,3,20,quantile,0,0.7771988715160637,2.1279120755518206,18874.352585259025,0.3579263687133789,2.1133509893604656,0.7787319341816674,2.218859967577774,0.7856419352288015,1
temperature_max,outer_4,greedy,4,0.1,0.001,3,20,quantile,0,0.777335791777023,2.1265455768808015,18645.866974912504,0.3754258155822754,2.111298728240906,0.7789468061318382,2.215970023232419,0.7859211249416354,1
temperature_max,outer_4,greedy,4,0.1,0.0001,3,20,quantile,0,0.7773295617729085,2.126598849256803,18621.763325203945,0.37635135650634766,2.1112729789568654,0.778949502084524,2.215894729607867,0.7859283988552147,1
temperature_max,outer_4,greedy,4,0.1,1e-05,3,20,quantile,0,0.77732868330594,2.1266066128962904,18619.338713081517,0.377899169921875,2.111272714988742,0.7789495297220137,2.2158899416357634,0.7859288614082596,1
temperature_max,outer_4,greedy,4,0.08,0.1,3,20,quantile,0,0.7714559843356955,2.183143306958749,19421.408858728195,0.5584321022033691,2.171744120921883,0.7726181673049309,2.292893422963536,0.7784897631869845,1
temperature_max,outer_4,greedy,4,0.08,0.01,3,20,quantile,0,0.7771988715160637,2.1279120755518206,17714.468337169434,0.35492682456970215,2.1133509893604656,0.7787319341816674,2.218859967577774,0.7856419352288015,1
temperature_max,outer_4,greedy,4,0.08,0.001,3,20,quantile,0,0.777335791777023,2.1265455768808015,17485.982726822913,0.3743317127227783,2.111298728240906,0.7789468061318382,2.215970023232419,0.7859211249416354,1
temperature_max,outer_4,greedy,4,0.08,0.0001,3,20,quantile,0,0.7773295617729085,2.126598849256803,17461.879077114354,0.37804412841796875,2.1112729789568654,0.778949502084524,2.215894729607867,0.7859283988552147,1
temperature_max,outer_4,greedy,4,0.08,1e-05,3,20,quantile,0,0.77732868330594,2.1266066128962904,17459.454464991926,0.3771700859069824,2.111272714988742,0.7789495297220137,2.2158899416357634,0.7859288614082596,1
temperature_max,outer_4,greedy,4,0.05,0.1,3,20,quantile,0,0.7714559843356955,2.183143306958749,17681.582486593816,0.5775713920593262,2.171744120921883,0.7726181673049309,2.292893422963536,0.7784897631869845,1
temperature_max,outer_4,greedy,4,0.05,0.01,3,20,quantile,0,0.7771988715160637,2.1279120755518206,15974.641965035054,0.479661226272583,2.1133509893604656,0.7787319341816674,2.218859967577774,0.7856419352288015,1
temperature_max,outer_4,greedy,4,0.05,0.001,3,20,quantile,0,0.777335791777023,2.1265455768808015,15746.156354688534,0.42572474479675293,2.111298728240906,0.7789468061318382,2.215970023232419,0.7859211249416354,1
temperature_max,outer_4,greedy,4,0.05,0.0001,3,20,quantile,0,0.7773295617729085,2.126598849256803,15722.052704979975,0.4458136558532715,2.1112729789568654,0.778949502084524,2.215894729607867,0.7859283988552147,1
temperature_max,outer_4,greedy,4,0.05,1e-05,3,20,quantile,0,0.77732868330594,2.1266066128962904,15719.628092857547,0.4394795894622803,2.111272714988742,0.7789495297220137,2.2158899416357634,0.7859288614082596,1
temperature_max,outer_4,greedy,4,0.03,0.1,3,20,quantile,0,0.7714559843356955,2.183143306958749,16521.69823850423,0.5936880111694336,2.171744120921883,0.7726181673049309,2.292893422963536,0.7784897631869845,1
temperature_max,outer_4,greedy,4,0.03,0.01,3,20,quantile,0,0.7771988715160637,2.1279120755518206,14814.757716945465,0.5548481941223145,2.1133509893604656,0.7787319341816674,2.218859967577774,0.7856419352288015,1
temperature_max,outer_4,greedy,4,0.03,0.001,3,20,quantile,0,0.777335791777023,2.1265455768808015,14586.272106598944,0.5463888645172119,2.111298728240906,0.7789468061318382,2.215970023232419,0.7859211249416354,1
temperature_max,outer_4,greedy,4,0.03,0.0001,3,20,quantile,0,0.7773295617729085,2.126598849256803,14562.168456890386,0.5268597602844238,2.1112729789568654,0.778949502084524,2.215894729607867,0.7859283988552147,1
temperature_max,outer_4,greedy,4,0.03,1e-05,3,20,quantile,0,0.77732868330594,2.1266066128962904,14559.743844767958,0.5562174320220947,2.111272714988742,0.7789495297220137,2.2158899416357634,0.7859288614082596,1
temperature_max,outer_4,greedy,4,0.01,0.1,3,20,quantile,0,0.7714559843356955,2.183143306958749,15361.81399041464,0.6108732223510742,2.171744120921883,0.7726181673049309,2.292893422963536,0.7784897631869845,1
temperature_max,outer_4,greedy,4,0.01,0.01,3,20,quantile,0,0.7930100223646429,1.9763757687645134,13471.819041086083,0.6146512031555176,1.9417379834769808,0.7966998335378458,2.1089446125064994,0.7962605606247242,2
temperature_max,outer_4,greedy,4,0.01,0.001,3,20,quantile,0,0.8084757152460429,1.8274610156426334,12832.737437289514,0.6228668689727783,1.6947288839675374,0.8225617116466601,1.9021269294511836,0.8162406580387115,4
temperature_max,outer_4,greedy,4,0.01,0.0001,3,20,quantile,0,0.8102619724968472,1.8109058478040678,12604.047825165273,0.5950829982757568,1.6887885335026351,0.8231836669509467,1.8985158506550992,0.8165895146018907,4
temperature_max,outer_4,greedy,4,0.01,1e-05,3,20,quantile,0,0.8101476568085944,1.8119861956507048,12576.433061002557,0.6031098365783691,1.6886559370425633,0.8231975498139459,1.8985884261058905,0.8165825032837323,4
temperature_max,outer_4,greedy,4,0.008,0.1,3,20,quantile,0,0.7714559843356955,2.183143306958749,15245.82556560568,0.5882251262664795,2.171744120921883,0.7726181673049309,2.292893422963536,0.7784897631869845,1
temperature_max,outer_4,greedy,4,0.008,0.01,3,20,quantile,0,0.7930100223646429,1.9763757687645134,13239.842191468166,0.608802080154419,1.9417379834769808,0.7966998335378458,2.1089446125064994,0.7962605606247242,2
temperature_max,outer_4,greedy,4,0.008,0.001,3,20,quantile,0,0.8113743125975433,1.8006229774444222,12368.78373805368,0.6022233963012695,1.6947288839675374,0.8225617116466601,1.9021269294511836,0.8162406580387115,4
temperature_max,outer_4,greedy,4,0.008,0.0001,3,20,quantile,0,0.8145568577484426,1.7711396159127766,12140.09412592944,0.6018288135528564,1.6887885335026351,0.8231836669509467,1.8985158506550992,0.8165895146018907,4
temperature_max,outer_4,greedy,4,0.008,1e-05,3,20,quantile,0,0.8144407946708959,1.772236142791867,12112.479361766724,0.6111831665039062,1.6886559370425633,0.8231975498139459,1.8985884261058905,0.8165825032837323,4
temperature_max,outer_4,greedy,4,0.005,0.1,3,20,quantile,0,0.7714559843356955,2.183143306958749,15071.842928392243,0.5928277969360352,2.171744120921883,0.7726181673049309,2.292893422963536,0.7784897631869845,1
temperature_max,outer_4,greedy,4,0.005,0.01,3,20,quantile,0,0.8098078231835152,1.8154425405125316,12700.384501079563,0.612337589263916,1.7708351522607402,0.8145933775333645,1.998968148263402,0.8068850896125829,4
temperature_max,outer_4,greedy,4,0.005,0.001,3,20,quantile,0,0.8286329185069631,1.6378168856466828,11527.65732806021,0.6015145778656006,1.5149860351645856,0.8413808063921768,1.7201745141134734,0.8338185891394355,7
temperature_max,outer_4,greedy,4,0.005,0.0001,3,20,quantile,0,0.8267018971298358,1.6557103317274742,11179.98938449164,0.611840009689331,1.4465477080286602,0.8485463062781144,1.9302739393570056,0.8135214514818893,8
temperature_max,outer_4,greedy,4,0.005,1e-05,3,20,quantile,0,0.8243668834776848,1.6774465254067206,11105.129257613586,0.6078193187713623,1.4452405558712058,0.8486831652433627,2.006576334433725,0.806150083308571,8
temperature_max,outer_4,greedy,4,0.003,0.1,3,20,quantile,0,0.7707669654469926,2.1895229150973967,14955.854503583283,0.5860164165496826,2.171744120921883,0.7726181673049309,2.292893422963536,0.7784897631869845,1
