dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_0,greedy,4,0.1,0.1,3,20,quantile,0,0.0229416788096163,311233206565.5086,1767251081796415.5,0.027703046798706,310615257847.1245,0.0256533158804729,311874665265.9188,0.0161566609637913,1.0
walmart,outer_0,greedy,4,0.1,0.01,3,20,quantile,0,0.023130236451647,311163069758.21045,1763126515555889.8,0.0256540775299072,310508413186.1498,0.0259884692205186,311864848269.14825,0.0161876297726036,1.0
walmart,outer_0,greedy,4,0.1,0.001,3,20,quantile,0,0.0231179677486458,311165726033.98663,1762657751151366.0,0.0256457328796386,310507029142.79724,0.0259928107266653,311871644027.68964,0.0161661917960084,1.0
walmart,outer_0,greedy,4,0.1,0.0001,3,20,quantile,0,0.0231163292427015,311166119787.3865,1762610224326982.8,0.0253975391387939,310507014905.26697,0.0259928553873509,311872426724.79987,0.0161637226908705,1.0
walmart,outer_0,greedy,4,0.1,1e-05,3,20,quantile,0,0.0231161611494579,311166160483.53937,1762605465038585.5,0.0248360633850097,310507014762.48444,0.0259928558352352,311872506057.8336,0.0161634724259868,1.0
walmart,outer_0,greedy,4,0.08,0.1,3,20,quantile,0,0.0229416788096163,311233206565.5086,1734428116963482.8,0.0265922546386718,310615257847.1245,0.0256533158804729,311874665265.9188,0.0161566609637913,1.0
walmart,outer_0,greedy,4,0.08,0.01,3,20,quantile,0,0.023130236451647,311163069758.21045,1730303550722957.0,0.0256919860839843,310508413186.1498,0.0259884692205186,311864848269.14825,0.0161876297726036,1.0
walmart,outer_0,greedy,4,0.08,0.001,3,20,quantile,0,0.0231179677486458,311165726033.98663,1729834786318433.2,0.0271086692810058,310507029142.79724,0.0259928107266653,311871644027.68964,0.0161661917960084,1.0
walmart,outer_0,greedy,4,0.08,0.0001,3,20,quantile,0,0.0231163292427015,311166119787.3865,1729787259494050.0,0.0262618064880371,310507014905.26697,0.0259928553873509,311872426724.79987,0.0161637226908705,1.0
walmart,outer_0,greedy,4,0.08,1e-05,3,20,quantile,0,0.0231161611494579,311166160483.53937,1729782500205652.8,0.0265963077545166,310507014762.48444,0.0259928558352352,311872506057.8336,0.0161634724259868,1.0
walmart,outer_0,greedy,4,0.05,0.1,3,20,quantile,0,0.0229416788096163,311233206565.5086,1685193669714083.5,0.0288708209991455,310615257847.1245,0.0256533158804729,311874665265.9188,0.0161566609637913,1.0
walmart,outer_0,greedy,4,0.05,0.01,3,20,quantile,0,0.023130236451647,311163069758.21045,1681069103473557.8,0.0292525291442871,310508413186.1498,0.0259884692205186,311864848269.14825,0.0161876297726036,1.0
walmart,outer_0,greedy,4,0.05,0.001,3,20,quantile,0,0.0231179677486458,311165726033.98663,1680600339069034.0,0.0280323028564453,310507029142.79724,0.0259928107266653,311871644027.68964,0.0161661917960084,1.0
walmart,outer_0,greedy,4,0.05,0.0001,3,20,quantile,0,0.0231163292427015,311166119787.3865,1680552812244650.8,0.0281150341033935,310507014905.26697,0.0259928553873509,311872426724.79987,0.0161637226908705,1.0
walmart,outer_0,greedy,4,0.05,1e-05,3,20,quantile,0,0.0231161611494579,311166160483.53937,1680548052956253.5,0.0276296138763427,310507014762.48444,0.0259928558352352,311872506057.8336,0.0161634724259868,1.0
walmart,outer_0,greedy,4,0.03,0.1,3,20,quantile,0,0.0629516817533473,298504574420.1794,1649258371420454.8,0.0289106369018554,297712420160.18097,0.0661273003303719,299413392812.0412,0.0554671316915418,2.0
walmart,outer_0,greedy,4,0.03,0.01,3,20,quantile,0,0.0664280140761392,297373535772.7059,1627514829403521.0,0.0291781425476074,296364202677.2858,0.0703564268808049,297992942748.0202,0.05994809949548,2.0
walmart,outer_0,greedy,4,0.03,0.001,3,20,quantile,0,0.0840398224096316,291861990940.5607,1621878103570225.8,0.0284323692321777,286045618511.6797,0.1027240521425196,289573387690.9361,0.0865085229062688,3.0
walmart,outer_0,greedy,4,0.03,0.0001,3,20,quantile,0,0.0838789479610057,291913061048.014,1620391079903044.2,0.0287783145904541,286036962142.1284,0.1027512056861906,289625182027.84,0.0863451319064927,3.0
walmart,outer_0,greedy,4,0.03,1e-05,3,20,quantile,0,0.0838601395521327,291919052878.01227,1620238166519582.5,0.0289406776428222,286036866646.28174,0.1027515052402503,289631355836.5923,0.0863256559397216,3.0
walmart,outer_0,greedy,4,0.01,0.1,3,20,quantile,0,0.1109938005518929,283378136025.61993,1562572386785509.0,0.0290658473968505,281791462039.60333,0.1160686099115821,288744027885.02905,0.0891248307105924,6.0
walmart,outer_0,greedy,4,0.01,0.01,3,20,quantile,0,0.1141644811469126,282200222469.9611,1526992455685264.8,0.0292215347290039,271179024402.77448,0.1493580030133164,275344052972.85657,0.1313965428079901,7.0
walmart,outer_0,greedy,4,0.01,0.001,3,20,quantile,0,0.1356639257670187,275343442046.7345,1506701539677758.2,0.0288655757904052,272085408858.20465,0.146514830740303,275438357330.0845,0.1310990492183084,6.0
walmart,outer_0,greedy,4,0.01,0.0001,3,20,quantile,0,0.1413023404963014,273553491106.37183,1492199815052820.0,0.0288832187652587,269400791442.21548,0.1549360142183083,272156828375.93503,0.1414509974942018,6.0
walmart,outer_0,greedy,4,0.01,1e-05,3,20,quantile,0,0.1627202754866009,266683127919.64047,1480904935001578.5,0.0290017127990722,264706329415.796,0.169661734844106,266115654174.6921,0.1605085538134445,7.0
walmart,outer_0,greedy,4,0.008,0.1,3,20,quantile,0,0.1109938005518929,283378136025.61993,1542878607885749.2,0.028968334197998,281791462039.60333,0.1160686099115821,288744027885.02905,0.0891248307105924,6.0
walmart,outer_0,greedy,4,0.008,0.01,3,20,quantile,0,0.1301355624197343,277177219269.53467,1501574482530725.0,0.0291643142700195,265485549039.47888,0.1672174567947967,274763853692.25443,0.1332268460070246,9.0
walmart,outer_0,greedy,4,0.008,0.001,3,20,quantile,0,0.1405473105013914,273733055152.8171,1485136004811953.8,0.030066967010498,266301615002.8257,0.1646575981100659,271548487031.54468,0.1433700779652893,8.0
walmart,outer_0,greedy,4,0.008,0.0001,3,20,quantile,0,0.1615244452552517,267197172928.9142,1469129407247756.8,0.0291957855224609,263692489223.20975,0.1728419772981314,268902516172.24545,0.1517170875019114,8.0
walmart,outer_0,greedy,4,0.008,1e-05,3,20,quantile,0,0.1799623785728534,261276490685.86075,1450489526534295.5,0.0289473533630371,255314888186.63004,0.199121072045258,260270922257.68085,0.1789464110856948,10.0
walmart,outer_0,greedy,4,0.005,0.1,3,20,quantile,0,0.1119908160233783,283043076233.9642,1513008776036424.2,0.0295503139495849,280319704772.42505,0.1206852595347948,287586130407.191,0.0927775471628457,7.0
walmart,outer_0,greedy,4,0.005,0.01,3,20,quantile,0,0.1411767613572355,273542695028.97363,1456327526559203.8,0.0294787883758544,262075139788.2067,0.177915324531555,275753591843.7764,0.1301046068635064,11.0
walmart,outer_0,greedy,4,0.005,0.001,3,20,quantile,0,0.1694330660069869,264441502485.32755,1432876927929743.0,0.0289258956909179,256991567419.5564,0.1938616174316735,268091656731.9068,0.1542750338442078,12.0
walmart,outer_0,greedy,4,0.005,0.0001,3,20,quantile,0,0.1762776657898742,262481458066.82748,1421161193258596.2,0.029123306274414,256195319379.11557,0.1963593106979909,266054406707.03128,0.1607017657661998,11.0
walmart,outer_0,greedy,4,0.005,1e-05,3,20,quantile,0,0.1895513659559551,258083958184.2207,1395049635067352.5,0.0289962291717529,248660823805.1056,0.2199937284981074,258034712624.48935,0.1860007832336478,13.0
walmart,outer_0,greedy,4,0.003,0.1,3,20,quantile,0,0.125074943392148,278912796945.5815,1483854542712261.0,0.0295536518096923,274777250129.4596,0.1380709872697604,281113458256.1675,0.1131963117845885,12.0
walmart,outer_0,greedy,4,0.003,0.01,3,20,quantile,0,0.1486362327781547,271201926616.6892,1413137565082596.0,0.0294966697692871,257898808022.3301,0.1910157595715735,271722784238.9714,0.1428202380275272,14.0
walmart,outer_0,greedy,4,0.003,0.001,3,20,quantile,0,0.1781277461127723,261772236358.642,1393261264834453.0,0.0290513038635253,255913035739.612,0.1972447859642022,267624858822.60303,0.1557475997974342,13.0
walmart,outer_0,greedy,4,0.003,0.0001,3,20,quantile,0,0.1846036135849254,259816677232.87524,1381719960410755.0,0.0291206836700439,251438001575.11768,0.2112821990961824,263182487031.4872,0.1697615559887301,15.0
walmart,outer_0,greedy,4,0.003,1e-05,3,20,quantile,0,0.1958917439633471,256064841583.55508,1352379780784540.2,0.0292394161224365,248660823805.1056,0.2199937284981074,258034712624.48935,0.1860007832336478,13.0
walmart,outer_0,greedy,4,0.001,0.1,3,20,quantile,0,0.1281840879391905,277856765193.11664,1442443344672448.0,0.0298259258270263,274067966424.85364,0.140295888359529,280607549242.2827,0.1147922580697556,13.0
walmart,outer_0,greedy,4,0.001,0.01,3,20,quantile,0,0.1545376731700599,269318611227.4757,1364228699736736.5,0.0295197963714599,256962435521.75955,0.1939529991886971,269789986720.3652,0.148917462894334,15.0
walmart,outer_0,greedy,4,0.001,0.001,3,20,quantile,0,0.1798105907890214,261164615260.92105,1347663450165780.5,0.0289914608001709,254982758761.95148,0.2001629049734826,267630236948.3453,0.1557306339012671,14.0
walmart,outer_0,greedy,4,0.001,0.0001,3,20,quantile,0,0.1837859775962154,260077482928.9647,1329652612681743.0,0.0293941497802734,250509043422.9082,0.2141961811766652,262192541190.31705,0.1728844503123567,16.0
walmart,outer_0,greedy,4,0.001,1e-05,3,20,quantile,0,0.1958917439633471,256064841583.55508,1306500145103012.5,0.0292212963104248,247706311884.1582,0.2229878683596635,257021458150.39456,0.1891972072337724,14.0
walmart,outer_0,greedy,4,0.0005,0.1,3,20,quantile,0,0.1286643490033754,277698390179.5777,1431546386715284.5,0.0296394824981689,273918411432.36865,0.1407650166696811,280372765649.4129,0.1155329090417189,14.0
walmart,outer_0,greedy,4,0.0005,0.01,3,20,quantile,0,0.1547757399222458,269238605852.766,1351196487470463.2,0.0295860767364501,256553425471.9707,0.1952359934258297,269717329796.67133,0.1491466672458645,16.0
walmart,outer_0,greedy,4,0.0005,0.001,3,20,quantile,0,0.1800265538859385,261092038102.0625,1335800200742538.2,0.0290009975433349,254501525869.7127,0.2016724498557655,267451507580.5909,0.1562944555820228,16.0
walmart,outer_0,greedy,4,0.0005,0.0001,3,20,quantile,0,0.1837859775962154,260077482928.9647,1316523426748569.8,0.0292248725891113,250509043422.9082,0.2141961811766652,262192541190.31705,0.1728844503123567,16.0
walmart,outer_0,greedy,4,0.0005,1e-05,3,20,quantile,0,0.1957342242183722,256101042955.82376,1294400183336895.2,0.0291988849639892,247391507927.40195,0.2239753542724262,256276373693.39816,0.1915476590712447,16.0
walmart,outer_0,greedy,4,0.0001,0.1,3,20,quantile,0,0.1286838726570791,277697784640.7869,1421726029699145.5,0.0296790599822998,273775917688.39896,0.141211995056728,280407065262.7912,0.1154247070942318,15.0
walmart,outer_0,greedy,4,0.0001,0.01,3,20,quantile,0,0.1547757399222458,269238605852.766,1340693138723925.0,0.0295531749725341,256553425471.9707,0.1952359934258297,269717329796.67133,0.1491466672458645,16.0
walmart,outer_0,greedy,4,0.0001,0.001,3,20,quantile,0,0.1800265538859385,261092038102.0625,1325296851995999.8,0.0290858745574951,254501525869.7127,0.2016724498557655,267451507580.5909,0.1562944555820228,16.0
walmart,outer_0,greedy,4,0.0001,0.0001,3,20,quantile,0,0.1837312749541259,260095522142.0669,1306020078002031.2,0.0292086601257324,250509043422.9082,0.2141961811766652,262192541190.31705,0.1728844503123567,16.0
walmart,outer_0,greedy,4,0.0001,1e-05,3,20,quantile,0,0.1954716476799309,256188634299.03848,1283896834590357.0,0.0292658805847167,247391507927.40195,0.2239753542724262,256276373693.39816,0.1915476590712447,16.0
