dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_0,greedy,4,0.1,0.1,3,5,quantile,0,0.8050024816827621,20820339.353407126,89828211708.87305,0.007442951202392578,20547266.376831926,0.8071623647229256,22040655.29699965,0.8027506128758021,3
auction,outer_0,greedy,4,0.1,0.01,3,5,quantile,0,0.858661584007575,15083253.671397844,80077851321.95764,0.007497549057006836,14750396.96954415,0.8615664186739576,16831230.460755996,0.8493715432597782,3
auction,outer_0,greedy,4,0.1,0.001,3,5,quantile,0,0.8690394439011123,13964779.571824031,75240621073.72092,0.007440805435180664,13604191.765461143,0.8723236404398109,16044061.767405324,0.8564161859999563,3
auction,outer_0,greedy,4,0.1,0.0001,3,5,quantile,0,0.8691752995067477,13947746.874973798,74505018297.10046,0.007471799850463867,13578603.48841519,0.8725637883381183,16069326.874390757,0.8561900798882572,3
auction,outer_0,greedy,4,0.1,1e-05,3,5,quantile,0,0.8691660474782615,13948451.793640109,74427499174.5957,0.007463932037353516,13578320.271669194,0.8725664463485109,16074331.409593064,0.8561452925855116,3
auction,outer_0,greedy,4,0.08,0.1,3,5,quantile,0,0.8693838718830754,13937995.173919892,78893122205.15353,0.007365226745605469,13656296.866747305,0.8718346301581695,16086332.532830462,0.8560378904156813,4
auction,outer_0,greedy,4,0.08,0.01,3,5,quantile,0,0.858661584007575,15083253.671397844,69631477652.78162,0.007242918014526367,14750396.96954415,0.8615664186739576,16831230.460755996,0.8493715432597782,3
auction,outer_0,greedy,4,0.08,0.001,3,5,quantile,0,0.8690394439011123,13964779.571824031,64794247404.544876,0.008298873901367188,13604191.765461143,0.8723236404398109,16044061.767405324,0.8564161859999563,3
auction,outer_0,greedy,4,0.08,0.0001,3,5,quantile,0,0.8691752995067477,13947746.874973798,64058644627.92444,0.007428407669067383,13578603.48841519,0.8725637883381183,16069326.874390757,0.8561900798882572,3
auction,outer_0,greedy,4,0.08,1e-05,3,5,quantile,0,0.8691660474782615,13948451.793640109,63981125505.41968,0.0073697566986083984,13578320.271669194,0.8725664463485109,16074331.409593064,0.8561452925855116,3
auction,outer_0,greedy,4,0.05,0.1,3,5,quantile,0,0.8693838718830754,13937995.173919892,58000374866.80145,0.007925748825073242,13656296.866747305,0.8718346301581695,16086332.532830462,0.8560378904156813,4
auction,outer_0,greedy,4,0.05,0.01,3,5,quantile,0,0.858661584007575,15083253.671397844,53961917149.01756,0.007923364639282227,14750396.96954415,0.8615664186739576,16831230.460755996,0.8493715432597782,3
auction,outer_0,greedy,4,0.05,0.001,3,5,quantile,0,0.8690394439011123,13964779.571824031,49124686900.78083,0.008426904678344727,13604191.765461143,0.8723236404398109,16044061.767405324,0.8564161859999563,3
auction,outer_0,greedy,4,0.05,0.0001,3,5,quantile,0,0.8691752995067477,13947746.874973798,48389084124.16038,0.008347272872924805,13578603.48841519,0.8725637883381183,16069326.874390757,0.8561900798882572,3
auction,outer_0,greedy,4,0.05,1e-05,3,5,quantile,0,0.8691660474782615,13948451.793640109,48311565001.655624,0.008426666259765625,13578320.271669194,0.8725664463485109,16074331.409593064,0.8561452925855116,3
auction,outer_0,greedy,4,0.03,0.1,3,5,quantile,0,0.8693838718830754,13937995.173919892,44071876641.23341,0.00794076919555664,13656296.866747305,0.8718346301581695,16086332.532830462,0.8560378904156813,4
auction,outer_0,greedy,4,0.03,0.01,3,5,quantile,0,0.8717411402639123,13666439.349526485,42587031550.21452,0.007930517196655273,13067114.13177946,0.8773641542940608,15557283.42582487,0.8607725324083658,4
