dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
optical_net,outer_1,greedy,4,0.1,0.1,3,5,quantile,0,0.6720865639308107,0.013462859689669203,10.315001064811936,0.004933357238769531,0.012950584694743965,0.6855499331282435,0.00950927833243598,0.7778033787521439,1
optical_net,outer_1,greedy,4,0.1,0.01,3,5,quantile,0,0.7449828297945819,0.010460960624867075,7.7055152607650275,0.002285480499267578,0.009971950455010559,0.7578734426799635,0.009621990899062722,0.7751697034509163,1
optical_net,outer_1,greedy,4,0.1,0.001,3,5,quantile,0,0.7520205335845057,0.010171859389034435,7.050886318553312,0.0018112659454345703,0.009694821730733204,0.7646023393232529,0.011800708894898492,0.7242611318009164,1
optical_net,outer_1,greedy,4,0.1,0.0001,3,5,quantile,0,0.800085940393155,0.008202304040470615,6.961386262602036,0.0018367767333984375,0.005534363103563688,0.8656214457471961,0.0058381635935203305,0.8635837358606211,2
optical_net,outer_1,greedy,4,0.1,1e-05,3,5,quantile,0,0.7996425369011663,0.008221612791471064,6.942678813768151,0.0017862319946289062,0.005534027559275154,0.8656295930182619,0.005844327282011031,0.8634397132850713,2
optical_net,outer_1,greedy,4,0.08,0.1,3,5,quantile,0,0.6720865639308107,0.013462859689669203,9.899857589023588,0.005196094512939453,0.012950584694743965,0.6855499331282435,0.00950927833243598,0.7778033787521439,1
optical_net,outer_1,greedy,4,0.08,0.01,3,5,quantile,0,0.7449828297945819,0.010460960624867075,7.2903717849766805,0.003326892852783203,0.009971950455010559,0.7578734426799635,0.009621990899062722,0.7751697034509163,1
optical_net,outer_1,greedy,4,0.08,0.001,3,5,quantile,0,0.8396456346566348,0.0065715718534994985,6.304706587901237,0.0018279552459716797,0.005560698320743623,0.8649820066022845,0.005789260267525451,0.8647264254974131,2
optical_net,outer_1,greedy,4,0.08,0.0001,3,5,quantile,0,0.8366176933766715,0.006704417646479262,6.131099311025342,0.001814126968383789,0.005534363103563688,0.8656214457471961,0.0058381635935203305,0.8635837358606211,2
optical_net,outer_1,greedy,4,0.08,1e-05,3,5,quantile,0,0.8361318442527077,0.006725466766595001,6.1123918621914575,0.001855611801147461,0.005534027559275154,0.8656295930182619,0.005844327282011031,0.8634397132850713,2
optical_net,outer_1,greedy,4,0.05,0.1,3,5,quantile,0,0.696806694545885,0.012439695185236242,8.949238234307163,0.005272388458251953,0.01161416850393641,0.7179991368107992,0.008863004251730327,0.7929044108297354,2
optical_net,outer_1,greedy,4,0.05,0.01,3,5,quantile,0,0.8291880058218336,0.00698171433032693,6.191206661434448,0.005002021789550781,0.006287835256100662,0.8473265676134377,0.0058880404718103735,0.8624182979118089,2
