dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
walmart,outer_4,greedy,4,0.1,0.1,3,5,quantile,0,0.02451443856562759,310301329104.01904,1763530758712631.0,0.024738788604736328,309815894845.53906,0.02703820419933889,314690176721.20154,0.011910421370494806,1
walmart,outer_4,greedy,4,0.1,0.01,3,5,quantile,0,0.02483824026533173,310180603845.0146,1758768285439533.2,0.025768280029296875,309681975759.0778,0.027458770597071136,315278816285.0198,0.010062163427911774,1
walmart,outer_4,greedy,4,0.1,0.001,3,5,quantile,0,0.024832769104065067,310180205356.0394,1758220865984829.0,0.02698040008544922,309680212097.4791,0.027464309290807565,315361944021.0839,0.009801152262721158,1
walmart,outer_4,greedy,4,0.1,0.0001,3,5,quantile,0,0.024831709403685693,310180324113.3842,1758165294517274.5,0.025975465774536133,309680193922.0895,0.02746436636973737,315370563943.8296,0.00977408673458069,1
walmart,outer_4,greedy,4,0.1,1e-05,3,5,quantile,0,0.024831598137307953,310180337628.4611,1758159728936696.0,0.02684617042541504,309680193739.78253,0.02746436694226362,315371429087.6106,0.009771370286412617,1
walmart,outer_4,greedy,4,0.08,0.1,3,5,quantile,0,0.02451443856562759,310301329104.01904,1730745664096406.2,0.026729822158813477,309815894845.53906,0.02703820419933889,314690176721.20154,0.011910421370494806,1
walmart,outer_4,greedy,4,0.08,0.01,3,5,quantile,0,0.02483824026533173,310180603845.0146,1725983190823308.5,0.027537107467651367,309681975759.0778,0.027458770597071136,315278816285.0198,0.010062163427911774,1
walmart,outer_4,greedy,4,0.08,0.001,3,5,quantile,0,0.024832769104065067,310180205356.0394,1725435771368604.2,0.02727532386779785,309680212097.4791,0.027464309290807565,315361944021.0839,0.009801152262721158,1
walmart,outer_4,greedy,4,0.08,0.0001,3,5,quantile,0,0.024831709403685693,310180324113.3842,1725380199901049.8,0.026977062225341797,309680193922.0895,0.02746436636973737,315370563943.8296,0.00977408673458069,1
walmart,outer_4,greedy,4,0.08,1e-05,3,5,quantile,0,0.024831598137307953,310180337628.4611,1725374634320471.2,0.026587486267089844,309680193739.78253,0.02746436694226362,315371429087.6106,0.009771370286412617,1
walmart,outer_4,greedy,4,0.05,0.1,3,5,quantile,0,0.02451443856562759,310301329104.01904,1681568022172069.0,0.02793121337890625,309815894845.53906,0.02703820419933889,314690176721.20154,0.011910421370494806,1
walmart,outer_4,greedy,4,0.05,0.01,3,5,quantile,0,0.02483824026533173,310180603845.0146,1676805548898971.2,0.02800750732421875,309681975759.0778,0.027458770597071136,315278816285.0198,0.010062163427911774,1
walmart,outer_4,greedy,4,0.05,0.001,3,5,quantile,0,0.024832769104065067,310180205356.0394,1676258129444267.0,0.02898263931274414,309680212097.4791,0.027464309290807565,315361944021.0839,0.009801152262721158,1
walmart,outer_4,greedy,4,0.05,0.0001,3,5,quantile,0,0.024831709403685693,310180324113.3842,1676202557976712.5,0.027709245681762695,309680193922.0895,0.02746436636973737,315370563943.8296,0.00977408673458069,1
walmart,outer_4,greedy,4,0.05,1e-05,3,5,quantile,0,0.024831598137307953,310180337628.4611,1676196992396134.0,0.02737569808959961,309680193739.78253,0.02746436694226362,315371429087.6106,0.009771370286412617,1
walmart,outer_4,greedy,4,0.03,0.1,3,5,quantile,0,0.02451443856562759,310301329104.01904,1648782927555844.2,0.028556346893310547,309815894845.53906,0.02703820419933889,314690176721.20154,0.011910421370494806,1
