dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
airfoil,outer_0,greedy,4,0.1,0.1,3,1202.0,quantile,0,0.6282216947123984,17.25950327048103,36261.89764681892,0.0072264671325683,16.949848122702075,0.6355903434340354,19.618045486332047,0.6206772382294725,2.0,full
airfoil,outer_0,greedy,4,0.1,0.01,3,1202.0,quantile,0,0.6494484437128044,16.272724817672366,31069.700795407087,0.0043995380401611,15.923274900029432,0.6576609362090176,17.964172489040067,0.6526555346090773,2.0,full
airfoil,outer_0,greedy,4,0.1,0.001,3,1202.0,quantile,0,0.6496474384441239,16.262846454590065,30302.43941881985,0.0043988227844238,15.816383602409472,0.6599590229395652,17.735634305296156,0.6570744118661496,2.0,full
airfoil,outer_0,greedy,4,0.1,0.0001,3,1202.0,quantile,0,0.6407995041503876,16.682429953646317,30197.774645749232,0.0042719841003417,15.809954645333445,0.6600972409355728,17.704882347637824,0.6576690132762102,2.0,full
airfoil,outer_0,greedy,4,0.1,1e-05,3,1202.0,quantile,0,0.6405693115597736,16.693337459557114,30186.48793199462,0.0044653415679931,15.809865199898857,0.6600991639486797,17.701933083509637,0.6577260384785972,2.0,full
airfoil,outer_0,greedy,4,0.08,0.1,3,1202.0,quantile,0,0.6282216947123984,17.25950327048103,34025.54445733643,0.007094383239746,16.949848122702075,0.6355903434340354,19.618045486332047,0.6206772382294725,2.0,full
airfoil,outer_0,greedy,4,0.08,0.01,3,1202.0,quantile,0,0.6494484437128044,16.272724817672366,28833.34760592459,0.0059826374053955,15.923274900029432,0.6576609362090176,17.964172489040067,0.6526555346090773,2.0,full
airfoil,outer_0,greedy,4,0.08,0.001,3,1202.0,quantile,0,0.6496474384441239,16.262846454590065,28066.08622933736,0.0049483776092529,15.816383602409472,0.6599590229395652,17.735634305296156,0.6570744118661496,2.0,full
airfoil,outer_0,greedy,4,0.08,0.0001,3,1202.0,quantile,0,0.6657146911748969,15.495253649153735,27961.421456266737,0.004906415939331,15.809954645333445,0.6600972409355728,17.704882347637824,0.6576690132762102,2.0,full
airfoil,outer_0,greedy,4,0.08,1e-05,3,1202.0,quantile,0,0.6655892765546412,15.50116862085158,27874.40338967866,0.0050482749938964,12.016497333351587,0.741653870012706,14.176707745337865,0.7258876813940645,3.0,full
airfoil,outer_0,greedy,4,0.05,0.1,3,1202.0,quantile,0,0.6282216947123984,17.25950327048103,30671.01467311268,0.0075645446777343,16.949848122702075,0.6355903434340354,19.618045486332047,0.6206772382294725,2.0,full
airfoil,outer_0,greedy,4,0.05,0.01,3,1202.0,quantile,0,0.6494484437128044,16.272724817672366,25478.817821700843,0.006239891052246,15.923274900029432,0.6576609362090176,17.964172489040067,0.6526555346090773,2.0,full
airfoil,outer_0,greedy,4,0.05,0.001,3,1202.0,quantile,0,0.7248830367475545,12.767445994795006,23637.82351162683,0.0062816143035888,12.236012753313886,0.7369344449051587,14.674794261442855,0.7162569792417406,3.0,full
airfoil,outer_0,greedy,4,0.05,0.0001,3,1202.0,quantile,0,0.7236077856636572,12.830380661339303,22948.78874596828,0.0063209533691406,12.022140726561965,0.7415325410800352,14.227550256922472,0.7249046210824213,3.0,full
airfoil,outer_0,greedy,4,0.05,1e-05,3,1202.0,quantile,0,0.7234719981344798,12.836902838555403,22842.60871334304,0.0063111782073974,12.016497333351587,0.741653870012706,14.176707745337865,0.7258876813940645,3.0,full
airfoil,outer_0,greedy,4,0.03,0.1,3,1202.0,quantile,0,0.628539005554026,17.24543067373354,28434.661483630185,0.0079050064086914,16.949848122702075,0.6355903434340354,19.618045486332047,0.6206772382294725,2.0,full
airfoil,outer_0,greedy,4,0.03,0.01,3,1202.0,quantile,0,0.7151813406500551,13.21079916638012,22234.580346682487,0.0074536800384521,13.20310623419008,0.7161426241949035,15.756008162039691,0.6953512757084903,3.0,full
airfoil,outer_0,greedy,4,0.03,0.001,3,1202.0,quantile,0,0.7461007421218353,11.759204181809965,20235.87669790617,0.0070939064025878,10.780471729772364,0.7682275397262279,12.969934154261662,0.7492211317990848,4.0,full
airfoil,outer_0,greedy,4,0.03,0.0001,3,1202.0,quantile,0,0.7692855690818613,10.70335879063534,19063.38234753513,0.0063288211822509,8.692032696512339,0.8131274907676722,11.62976841205757,0.7751337728375245,5.0,full
airfoil,outer_0,greedy,4,0.03,1e-05,3,1202.0,quantile,0,0.7684974654423583,10.740640745969296,18844.328655028483,0.0064663887023925,8.678989423848787,0.8134079118356023,11.58310949134952,0.776035941745051,5.0,full
airfoil,outer_0,greedy,4,0.01,0.1,3,1202.0,quantile,0,0.7120926026255274,13.350092249039292,23544.50423704444,0.0085961818695068,12.361009050786356,0.7342471135789888,15.435262372478412,0.7015530239309327,7.0,full
airfoil,outer_0,greedy,4,0.01,0.01,3,1202.0,quantile,0,0.7798173924331913,10.229978995386544,16628.370712466978,0.0083003044128417,9.331774966486453,0.7993734878288641,12.189903243103323,0.7643033416804466,7.0,full
airfoil,outer_0,greedy,4,0.01,0.001,3,1202.0,quantile,0,0.8123195128695526,8.707067628263788,13925.28599679669,0.0083246231079101,7.0900788921939535,0.8475683560450622,9.56534428452097,0.815050239647048,8.0,full
airfoil,outer_0,greedy,4,0.01,0.0001,3,1202.0,quantile,0,0.82935523878218,7.930283978751301,12521.493844224868,0.0081868171691894,5.943247523499699,0.8722244132663186,6.7482764159473225,0.8695193744416865,9.0,full
airfoil,outer_0,greedy,4,0.01,1e-05,3,1202.0,quantile,0,0.8320839593640584,7.801439405703216,11861.438660930762,0.0081863403320312,5.087684016003362,0.8906184190226021,6.420353593030639,0.8758598934767252,10.0,full
airfoil,outer_0,greedy,4,0.008,0.1,3,1202.0,quantile,0,0.7174936915582725,13.09831993590312,22761.780620725563,0.0084097385406494,12.361009050786356,0.7342471135789888,15.435262372478412,0.7015530239309327,7.0,full
airfoil,outer_0,greedy,4,0.008,0.01,3,1202.0,quantile,0,0.7873631975562598,9.878209579156994,15642.964694053457,0.008608341217041,8.355538587292582,0.8203618743379302,11.489206105548591,0.777851601295154,9.0,full
airfoil,outer_0,greedy,4,0.008,0.001,3,1202.0,quantile,0,0.8202752405498789,8.343517918019517,13018.745280987714,0.0082783699035644,6.5867480568497285,0.8583896103429803,9.30290626114627,0.8201245838720854,10.0,full
airfoil,outer_0,greedy,4,0.008,0.0001,3,1202.0,quantile,0,0.8445413722766718,7.224119363898038,11407.147102975196,0.0083320140838623,5.3717297629439456,0.8845116378678493,6.015455651062333,0.8836887572485839,10.0,full
airfoil,outer_0,greedy,4,0.008,1e-05,3,1202.0,quantile,0,0.8464003486175841,7.137793369737046,10743.262066189513,0.0081188678741455,5.087684016003362,0.8906184190226021,6.420353593030639,0.8758598934767252,10.0,full
airfoil,outer_0,greedy,4,0.005,0.1,3,1202.0,quantile,0,0.7159920566769079,13.170381660204958,21341.51565529548,0.0085484981536865,11.476521598852951,0.7532629635301312,15.01950707877889,0.7095918189442633,10.0,full
airfoil,outer_0,greedy,4,0.005,0.01,3,1202.0,quantile,0,0.810311796656746,8.807836082041632,13960.10889005434,0.0084331035614013,7.22926613411679,0.8445759295253502,9.349438222699762,0.8192248697706287,11.0,full
airfoil,outer_0,greedy,4,0.005,0.001,3,1202.0,quantile,0,0.8374826862629013,7.535409896061154,11212.584716276117,0.0085980892181396,5.675282744193037,0.87798546507587,8.115537703778214,0.8430828301833262,13.0,full
airfoil,outer_0,greedy,4,0.005,0.0001,3,1202.0,quantile,0,0.8578873225977136,6.60999945710617,9628.819405132595,0.0082788467407226,4.801989269598812,0.8967606524907912,5.966602061218872,0.8846333609622788,12.0,full
airfoil,outer_0,greedy,4,0.005,1e-05,3,1202.0,quantile,0,0.8621369676890224,6.417484628415662,8939.28208511589,0.0081770420074462,4.514228705170703,0.9029472995744324,6.351569245581209,0.8771898663661896,12.0,full
airfoil,outer_0,greedy,4,0.003,0.1,3,1202.0,quantile,0,0.716402921893104,13.150729685272118,20129.40908537708,0.0083072185516357,11.460231233384786,0.7536131947795568,15.32055550195534,0.7037709271849129,11.0,full
airfoil,outer_0,greedy,4,0.003,0.01,3,1202.0,quantile,0,0.817398578243151,8.483246333836014,12712.106889628512,0.0083425045013427,7.0326193857448205,0.8488036944893952,9.17436746431205,0.8226099329576395,12.0,full
airfoil,outer_0,greedy,4,0.003,0.001,3,1202.0,quantile,0,0.8443379847658373,7.227796831095657,9732.257561146604,0.0083394050598144,5.451901446799322,0.8827880037934576,8.401745577083537,0.8375488863957923,14.0,full
airfoil,outer_0,greedy,4,0.003,0.0001,3,1202.0,quantile,0,0.8620765568499658,6.412308441710997,8169.271731882009,0.0084812641143798,4.420671409778292,0.9049587147585912,5.579088548864685,0.8921260898292803,14.0,full
airfoil,outer_0,greedy,4,0.003,1e-05,3,1202.0,quantile,0,0.8626820327924101,6.394138049251517,7549.772776662037,0.0083920955657958,4.323893714398602,0.9070393662476935,6.27286527809105,0.8787116390795552,13.0,full
airfoil,outer_0,greedy,4,0.001,0.1,3,1202.0,quantile,0,0.7172649938687226,13.114046701191237,18899.414831161703,0.008357286453247,11.460231233384786,0.7536131947795568,15.32055550195534,0.7037709271849129,11.0,full
airfoil,outer_0,greedy,4,0.001,0.01,3,1202.0,quantile,0,0.820389977419781,8.340710047984324,11270.656245668051,0.0084595680236816,6.744547325174687,0.8549970385181249,9.27873490678514,0.8205919466834513,14.0,full
airfoil,outer_0,greedy,4,0.001,0.001,3,1202.0,quantile,0,0.8449427832459437,7.200974283588692,8089.108813638682,0.0083391666412353,5.3612597192043046,0.884736736347539,8.3296244848637,0.8389433765809535,15.0,full
airfoil,outer_0,greedy,4,0.001,0.0001,3,1202.0,quantile,0,0.8625774337520816,6.388442307811437,6595.550559291041,0.0083646774291992,4.355571431976903,0.9063583178925734,5.698932730260658,0.8898088546133195,15.0,full
airfoil,outer_0,greedy,4,0.001,1e-05,3,1202.0,quantile,0,0.8635074005358038,6.354810348179655,6011.520060903682,0.0085067749023437,4.135681833402351,0.9110857875736532,6.275084427581184,0.8786687309359297,15.0,full
airfoil,outer_0,greedy,4,0.0005,0.1,3,1202.0,quantile,0,0.7172649938687226,13.114046701191237,18591.916267607863,0.008256196975708,11.460231233384786,0.7536131947795568,15.32055550195534,0.7037709271849129,11.0,full
airfoil,outer_0,greedy,4,0.0005,0.01,3,1202.0,quantile,0,0.8186277264983111,8.41932405757989,10879.294437508615,0.0083339214324951,6.744547325174687,0.8549970385181249,9.27873490678514,0.8205919466834513,14.0,full
airfoil,outer_0,greedy,4,0.0005,0.001,3,1202.0,quantile,0,0.8464884708015452,7.127324278940763,7669.792590610713,0.0083606243133544,5.3612597192043046,0.884736736347539,8.3296244848637,0.8389433765809535,15.0,full
airfoil,outer_0,greedy,4,0.0005,0.0001,3,1202.0,quantile,0,0.8625774337520816,6.388442307811437,6176.234336263073,0.0083258152008056,4.355571431976903,0.9063583178925734,5.698932730260658,0.8898088546133195,15.0,full
airfoil,outer_0,greedy,4,0.0005,1e-05,3,1202.0,quantile,0,0.8635074005358038,6.354810348179655,5592.203837875713,0.0083868503570556,4.135681833402351,0.9110857875736532,6.275084427581184,0.8786687309359297,15.0,full
airfoil,outer_0,greedy,4,0.0001,0.1,3,1202.0,quantile,0,0.7172649938687226,13.114046701191237,18345.917416764787,0.0082678794860839,11.460231233384786,0.7536131947795568,15.32055550195534,0.7037709271849129,11.0,full
airfoil,outer_0,greedy,4,0.0001,0.01,3,1202.0,quantile,0,0.8210085517158712,8.3063918846697,10566.204990981068,0.0083677768707275,6.744547325174687,0.8549970385181249,9.27873490678514,0.8205919466834513,14.0,full
airfoil,outer_0,greedy,4,0.0001,0.001,3,1202.0,quantile,0,0.8464884708015452,7.127324278940763,7334.339612188338,0.0083482265472412,5.3612597192043046,0.884736736347539,8.3296244848637,0.8389433765809535,15.0,full
airfoil,outer_0,greedy,4,0.0001,0.0001,3,1202.0,quantile,0,0.8625774337520816,6.388442307811437,5840.781357840699,0.0082924365997314,4.355571431976903,0.9063583178925734,5.698932730260658,0.8898088546133195,15.0,full
airfoil,outer_0,greedy,4,0.0001,1e-05,3,1202.0,quantile,0,0.8635074005358038,6.354810348179655,5256.750859453339,0.0083861351013183,4.135681833402351,0.9110857875736532,6.275084427581184,0.8786687309359297,15.0,full
airfoil,outer_1,greedy,4,0.1,0.1,3,1202.0,quantile,0,0.629296250221929,17.585875102094636,37096.23960579229,0.0075130462646484,17.195848198170545,0.6380971184808647,17.269208177225764,0.6380454145668238,2.0,full
airfoil,outer_1,greedy,4,0.1,0.01,3,1202.0,quantile,0,0.6510287914596943,16.553416658068254,31530.020202321124,0.0045223236083984,16.05307316891641,0.6621478993001084,17.14968780307414,0.6405505061166449,2.0,full
airfoil,outer_1,greedy,4,0.1,0.001,3,1202.0,quantile,0,0.6516597632623898,16.520023397555587,30689.01145658641,0.0045843124389648,15.92657768560381,0.6648101163296152,17.22164147881383,0.6390423904806832,2.0,full
airfoil,outer_1,greedy,4,0.1,0.0001,3,1202.0,quantile,0,0.651240845630098,16.538483719248834,30570.836755112126,0.004573106765747,15.918510732963066,0.6649798929740773,17.245012115995497,0.6385525527761637,2.0,full
airfoil,outer_1,greedy,4,0.1,1e-05,3,1202.0,quantile,0,0.651172388172931,16.541550940060116,30557.981577826064,0.004591941833496,15.91839664284668,0.6649822941084323,17.24843099459242,0.6384808946681315,2.0,full
airfoil,outer_1,greedy,4,0.08,0.1,3,1202.0,quantile,0,0.629296250221929,17.585875102094636,34811.71405048989,0.0079398155212402,17.195848198170545,0.6380971184808647,17.269208177225764,0.6380454145668238,2.0,full
airfoil,outer_1,greedy,4,0.08,0.01,3,1202.0,quantile,0,0.6510287914596943,16.553416658068254,29245.494647018728,0.0058839321136474,16.05307316891641,0.6621478993001084,17.14968780307414,0.6405505061166449,2.0,full
airfoil,outer_1,greedy,4,0.08,0.001,3,1202.0,quantile,0,0.6516597632623898,16.520023397555587,28404.48590128401,0.0045788288116455,15.92657768560381,0.6648101163296152,17.22164147881383,0.6390423904806832,2.0,full
airfoil,outer_1,greedy,4,0.08,0.0001,3,1202.0,quantile,0,0.6749966500044908,15.422038011367553,28286.31119980973,0.0045902729034423,15.918510732963066,0.6649798929740773,17.245012115995497,0.6385525527761637,2.0,full
airfoil,outer_1,greedy,4,0.08,1e-05,3,1202.0,quantile,0,0.6747761057485353,15.432252818135376,28273.456022523667,0.0045874118804931,15.91839664284668,0.6649822941084323,17.24843099459242,0.6384808946681315,2.0,full
airfoil,outer_1,greedy,4,0.05,0.1,3,1202.0,quantile,0,0.629296250221929,17.585875102094636,31384.925717536295,0.0080435276031494,17.195848198170545,0.6380971184808647,17.269208177225764,0.6380454145668238,2.0,full
airfoil,outer_1,greedy,4,0.05,0.01,3,1202.0,quantile,0,0.6510287914596943,16.553416658068254,25818.706314065133,0.0065522193908691,16.05307316891641,0.6621478993001084,17.14968780307414,0.6405505061166449,2.0,full
airfoil,outer_1,greedy,4,0.05,0.001,3,1202.0,quantile,0,0.7286399774140596,12.863260299146786,24129.922725899345,0.0060162544250488,12.4319383218677,0.7383581054157744,13.666367929729711,0.7135592733831282,3.0,full
airfoil,outer_1,greedy,4,0.05,0.0001,3,1202.0,quantile,0,0.7347638075297507,12.57079934512529,23325.39804010986,0.0060377120971679,12.16738906749244,0.7439257945671784,13.649782623334051,0.7139068937047501,3.0,full
airfoil,outer_1,greedy,4,0.05,1e-05,3,1202.0,quantile,0,0.7467409735891758,11.98452934361279,23198.66033037549,0.0055596828460693,12.1603952178832,0.7440729867438787,13.68121805365055,0.7132480216805466,3.0,full
airfoil,outer_1,greedy,4,0.03,0.1,3,1202.0,quantile,0,0.6521731942117653,16.50953002457828,28814.20831412846,0.0083644390106201,15.896745905564078,0.6654379543421869,17.357446756493875,0.6361959749138628,3.0,full
airfoil,outer_1,greedy,4,0.03,0.01,3,1202.0,quantile,0,0.7493138268389486,11.901983700278342,22439.55736408645,0.0075337886810302,10.432972781595572,0.7804282249437487,12.849996918665736,0.7306700307402032,5.0,full
airfoil,outer_1,greedy,4,0.03,0.001,3,1202.0,quantile,0,0.7724119106025693,10.79091178571452,20037.62264865674,0.007004976272583,10.3019787783288,0.7831851175783916,13.854894310168266,0.7096078479804948,4.0,full
airfoil,outer_1,greedy,4,0.03,0.0001,3,1202.0,quantile,0,0.8082789264666538,9.087645993736452,18887.75514043316,0.0060350894927978,8.365883142233068,0.8239320805385678,11.9523776486939,0.7494837138810406,5.0,full
airfoil,outer_1,greedy,4,0.03,1e-05,3,1202.0,quantile,0,0.8078292149662972,9.108649643315855,18634.798451419032,0.0060386657714843,8.351059400006015,0.8242440602074415,12.01137938365459,0.7482470649103196,5.0,full
airfoil,outer_1,greedy,4,0.01,0.1,3,1202.0,quantile,0,0.7039851483081773,14.082289772504998,23625.56967417137,0.0087184906005859,12.116134309615248,0.7450044994006682,13.369816315171663,0.719774857537615,7.0,full
