dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
airfoil,outer_1,greedy,4,0.1,0.1,3,1202,quantile,0,0.629296250221929,17.585875102094636,37096.23960579229,0.0075130462646484375,17.195848198170545,0.6380971184808647,17.269208177225764,0.6380454145668238,2
airfoil,outer_1,greedy,4,0.1,0.01,3,1202,quantile,0,0.6510287914596943,16.553416658068254,31530.020202321124,0.0045223236083984375,16.05307316891641,0.6621478993001084,17.14968780307414,0.6405505061166449,2
airfoil,outer_1,greedy,4,0.1,0.001,3,1202,quantile,0,0.6516597632623898,16.520023397555587,30689.011456586406,0.004584312438964844,15.92657768560381,0.6648101163296152,17.22164147881383,0.6390423904806832,2
airfoil,outer_1,greedy,4,0.1,0.0001,3,1202,quantile,0,0.651240845630098,16.538483719248834,30570.836755112126,0.00457310676574707,15.918510732963066,0.6649798929740773,17.245012115995497,0.6385525527761637,2
airfoil,outer_1,greedy,4,0.1,1e-05,3,1202,quantile,0,0.651172388172931,16.541550940060116,30557.981577826064,0.004591941833496094,15.918396642846679,0.6649822941084323,17.24843099459242,0.6384808946681315,2
airfoil,outer_1,greedy,4,0.08,0.1,3,1202,quantile,0,0.629296250221929,17.585875102094636,34811.71405048989,0.007939815521240234,17.195848198170545,0.6380971184808647,17.269208177225764,0.6380454145668238,2
airfoil,outer_1,greedy,4,0.08,0.01,3,1202,quantile,0,0.6510287914596943,16.553416658068254,29245.494647018728,0.005883932113647461,16.05307316891641,0.6621478993001084,17.14968780307414,0.6405505061166449,2
airfoil,outer_1,greedy,4,0.08,0.001,3,1202,quantile,0,0.6516597632623898,16.520023397555587,28404.48590128401,0.004578828811645508,15.92657768560381,0.6648101163296152,17.22164147881383,0.6390423904806832,2
airfoil,outer_1,greedy,4,0.08,0.0001,3,1202,quantile,0,0.6749966500044908,15.422038011367553,28286.31119980973,0.004590272903442383,15.918510732963066,0.6649798929740773,17.245012115995497,0.6385525527761637,2
airfoil,outer_1,greedy,4,0.08,1e-05,3,1202,quantile,0,0.6747761057485353,15.432252818135376,28273.456022523667,0.004587411880493164,15.918396642846679,0.6649822941084323,17.24843099459242,0.6384808946681315,2
