dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auction,outer_2,greedy,4,0.1,0.1,3,1634,quantile,0,0.8023487890626279,20763578.023951307,88457682688.92963,0.007446765899658203,20374153.5135076,0.8057928546139073,23737678.15170245,0.7983590382343153,3
auction,outer_2,greedy,4,0.1,0.01,3,1634,quantile,0,0.8495877162721938,15864403.183056777,79750897766.72993,0.007523298263549805,15301469.001037395,0.854145861179699,16105625.651082465,0.8631899116093864,3
auction,outer_2,greedy,4,0.1,0.001,3,1634,quantile,0,0.8594303070672401,14889644.777549198,75400233722.37032,0.007430553436279297,14235704.863543043,0.8643047622923479,13807856.145848129,0.88270843612515,3
auction,outer_2,greedy,4,0.1,0.0001,3,1634,quantile,0,0.8595824907275263,14883679.114496594,74725962567.71664,0.007379770278930664,14210887.256477855,0.8645413245927275,13621371.579377307,0.8842925391320794,3
auction,outer_2,greedy,4,0.1,1e-05,3,1634,quantile,0,0.8595753803070786,14885496.139604712,74654683055.67493,0.007378339767456055,14210610.73903223,0.8645439603667109,13604528.466402803,0.8844356138455204,3
auction,outer_2,greedy,4,0.08,0.1,3,1634,quantile,0,0.8132231456531378,19515254.371242795,78172365912.90062,0.007895708084106445,20374153.5135076,0.8057928546139073,23737678.15170245,0.7983590382343153,3
auction,outer_2,greedy,4,0.08,0.01,3,1634,quantile,0,0.8495877162721938,15864403.183056777,69465580990.70093,0.007410526275634766,15301469.001037395,0.854145861179699,16105625.651082465,0.8631899116093864,3
auction,outer_2,greedy,4,0.08,0.001,3,1634,quantile,0,0.8594303070672401,14889644.777549198,65114916946.34131,0.0073812007904052734,14235704.863543043,0.8643047622923479,13807856.145848129,0.88270843612515,3
auction,outer_2,greedy,4,0.08,0.0001,3,1634,quantile,0,0.8595824907275263,14883679.114496594,64440645791.68762,0.0073850154876708984,14210887.256477855,0.8645413245927275,13621371.579377307,0.8842925391320794,3
auction,outer_2,greedy,4,0.08,1e-05,3,1634,quantile,0,0.8595753803070786,14885496.139604712,64369366279.645905,0.007402658462524414,14210610.73903223,0.8645439603667109,13604528.466402803,0.8844356138455204,3
auction,outer_2,greedy,4,0.05,0.1,3,1634,quantile,0,0.8608213031755128,14762885.754114814,58357623566.57344,0.00792074203491211,14190040.891481409,0.8647400328745196,13934716.877788913,0.8816308109321822,4
auction,outer_2,greedy,4,0.05,0.01,3,1634,quantile,0,0.8495877162721938,15864403.183056777,54037605826.657394,0.007866859436035156,15301469.001037395,0.854145861179699,16105625.651082465,0.8631899116093864,3
auction,outer_2,greedy,4,0.05,0.001,3,1634,quantile,0,0.8594303070672401,14889644.777549198,49686941782.297775,0.00738835334777832,14235704.863543043,0.8643047622923479,13807856.145848129,0.88270843612515,3
auction,outer_2,greedy,4,0.05,0.0001,3,1634,quantile,0,0.8595824907275263,14883679.114496594,49012670627.6441,0.007413625717163086,14210887.256477855,0.8645413245927275,13621371.579377307,0.8842925391320794,3
auction,outer_2,greedy,4,0.05,1e-05,3,1634,quantile,0,0.8595753803070786,14885496.139604712,48941391115.60239,0.0073773860931396484,14210610.73903223,0.8645439603667109,13604528.466402803,0.8844356138455204,3
