dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
auto_mpg,outer_0,greedy,4,0.1,0.1,3,313,quantile,0,0.8182141347740561,11.45931128766577,6027.635100223463,0.0020439624786376953,11.307639593266105,0.817166421150364,12.632789141931653,0.7740188172679148,1
auto_mpg,outer_0,greedy,4,0.1,0.01,3,313,quantile,0,0.8230527035952527,11.081393749480249,5390.919582173873,0.0011374950408935547,10.704682284936842,0.8269156567592733,11.815662745484568,0.7886359526792704,1
auto_mpg,outer_0,greedy,4,0.1,0.001,3,313,quantile,0,0.8210576168767975,11.161595553796026,5288.198387513455,0.0011661052703857422,10.670424596160458,0.8274695704023852,11.68347393174831,0.7910006073993368,1
auto_mpg,outer_0,greedy,4,0.1,0.0001,3,313,quantile,0,0.8207067449074154,11.177160423004475,5276.772148224995,0.0011425018310546875,10.66993284821719,0.8274775214902863,11.670585746154654,0.7912311572320778,1
auto_mpg,outer_0,greedy,4,0.1,1e-05,3,313,quantile,0,0.8206695064032453,11.178824713542516,5275.615381950606,0.0012049674987792969,10.669927722576757,0.8274776043669271,11.66930858845935,0.7912540036204151,1
auto_mpg,outer_0,greedy,4,0.08,0.1,3,313,quantile,0,0.8182141347740561,11.45931128766577,5640.4752344087665,0.001867055892944336,11.307639593266105,0.817166421150364,12.632789141931653,0.7740188172679148,1
auto_mpg,outer_0,greedy,4,0.08,0.01,3,313,quantile,0,0.8230527035952527,11.081393749480249,5003.759716359176,0.0032706260681152344,10.704682284936842,0.8269156567592733,11.815662745484568,0.7886359526792704,1
auto_mpg,outer_0,greedy,4,0.08,0.001,3,313,quantile,0,0.8210576168767975,11.161595553796026,4901.038521698758,0.0012104511260986328,10.670424596160458,0.8274695704023852,11.68347393174831,0.7910006073993368,1
auto_mpg,outer_0,greedy,4,0.08,0.0001,3,313,quantile,0,0.8207067449074154,11.177160423004475,4889.612282410299,0.0011560916900634766,10.66993284821719,0.8274775214902863,11.670585746154654,0.7912311572320778,1
auto_mpg,outer_0,greedy,4,0.08,1e-05,3,313,quantile,0,0.8206695064032453,11.178824713542516,4888.455516135909,0.0011925697326660156,10.669927722576757,0.8274776043669271,11.66930858845935,0.7912540036204151,1
auto_mpg,outer_0,greedy,4,0.05,0.1,3,313,quantile,0,0.8182141347740561,11.45931128766577,5059.735435686723,0.0028476715087890625,11.307639593266105,0.817166421150364,12.632789141931653,0.7740188172679148,1
auto_mpg,outer_0,greedy,4,0.05,0.01,3,313,quantile,0,0.8326963418607912,10.603346626354444,4423.0199176371325,0.0016956329345703125,10.704682284936842,0.8269156567592733,11.815662745484568,0.7886359526792704,1
auto_mpg,outer_0,greedy,4,0.05,0.001,3,313,quantile,0,0.858833700987196,8.83435046612275,4307.57570880901,0.0021691322326660156,7.4539829130399085,0.8794763167472445,8.273540504269254,0.8519990757757006,2
auto_mpg,outer_0,greedy,4,0.05,0.0001,3,313,quantile,0,0.8582248419719632,8.859277661100188,4256.946082471078,0.002111196517944336,7.385098186117066,0.8805901160550048,8.072952633295273,0.8555872845089526,2
auto_mpg,outer_0,greedy,4,0.05,1e-05,3,313,quantile,0,0.8580720409952081,8.866335648895452,4247.987175560515,0.002183198928833008,7.383885814848923,0.8806097189240227,8.08173895867023,0.8554301106514779,2
auto_mpg,outer_0,greedy,4,0.03,0.1,3,313,quantile,0,0.8393974406777982,10.16411456009906,4503.750380022539,0.0032172203063964844,8.76723653216079,0.8582422778357022,11.554452005116746,0.7933086113762094,2
auto_mpg,outer_0,greedy,4,0.03,0.01,3,313,quantile,0,0.8557488650924987,9.038517507748473,3732.794543422522,0.002389669418334961,7.6399984310182205,0.8764686260092236,8.805975427507288,0.8424746332848636,2
