dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
insurance,outer_0,greedy,4,0.1,0.1,3,1070,quantile,0,0.8224876436740295,25919079.901574958,64127863797.06289,0.0034809112548828125,25624181.453550078,0.8239815264507097,26810121.122749504,0.821480988609078,2
insurance,outer_0,greedy,4,0.1,0.01,3,1070,quantile,0,0.833709067138761,24305936.882983718,57549252276.63942,0.003321409225463867,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2
insurance,outer_0,greedy,4,0.1,0.001,3,1070,quantile,0,0.8335750952606932,24329243.25843385,56648676292.54135,0.003305196762084961,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2
insurance,outer_0,greedy,4,0.1,0.0001,3,1070,quantile,0,0.8335363567194026,24335295.503154654,56555200977.79897,0.0033309459686279297,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2
insurance,outer_0,greedy,4,0.1,1e-05,3,1070,quantile,0,0.8335322075871828,24335941.15306465,56545817861.1493,0.0033197402954101562,23730252.075664956,0.8369913686854675,23157504.713290088,0.845802455394756,2
insurance,outer_0,greedy,4,0.08,0.1,3,1070,quantile,0,0.8224876436740295,25919079.901574958,57897182754.91175,0.00481724739074707,25624181.453550078,0.8239815264507097,26810121.122749504,0.821480988609078,2
insurance,outer_0,greedy,4,0.08,0.01,3,1070,quantile,0,0.833709067138761,24305936.882983718,51318571234.48829,0.0033593177795410156,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2
insurance,outer_0,greedy,4,0.08,0.001,3,1070,quantile,0,0.8335750952606932,24329243.25843385,50417995250.39021,0.003317117691040039,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2
insurance,outer_0,greedy,4,0.08,0.0001,3,1070,quantile,0,0.8335363567194026,24335295.503154654,50324519935.647835,0.0032958984375,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2
insurance,outer_0,greedy,4,0.08,1e-05,3,1070,quantile,0,0.8335322075871828,24335941.15306465,50315136818.99816,0.003312826156616211,23730252.075664956,0.8369913686854675,23157504.713290088,0.845802455394756,2
insurance,outer_0,greedy,4,0.05,0.1,3,1070,quantile,0,0.8545695357308719,21265021.22122437,47452509783.722916,0.0053827762603759766,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3
insurance,outer_0,greedy,4,0.05,0.01,3,1070,quantile,0,0.833709067138761,24305936.882983718,41972549671.2616,0.0049762725830078125,23764838.465098023,0.836753786716864,23442599.841573093,0.8439041088628463,2
insurance,outer_0,greedy,4,0.05,0.001,3,1070,quantile,0,0.8335750952606932,24329243.25843385,41071973687.16353,0.004252195358276367,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2
insurance,outer_0,greedy,4,0.05,0.0001,3,1070,quantile,0,0.8335363567194026,24335295.503154654,40978498372.42115,0.004277944564819336,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2
insurance,outer_0,greedy,4,0.05,1e-05,3,1070,quantile,0,0.8335322075871828,24335941.15306465,40969115255.77148,0.004248619079589844,23730252.075664956,0.8369913686854675,23157504.713290088,0.845802455394756,2
insurance,outer_0,greedy,4,0.03,0.1,3,1070,quantile,0,0.8545695357308719,21265021.22122437,38106488220.496216,0.00569462776184082,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3
insurance,outer_0,greedy,4,0.03,0.01,3,1070,quantile,0,0.851464887575549,21758674.616801307,35319668428.6969,0.005718708038330078,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3
insurance,outer_0,greedy,4,0.03,0.001,3,1070,quantile,0,0.8510237297550853,21824711.4341327,34841292645.0124,0.005716562271118164,23730623.929287806,0.83698881433628,23183832.036649425,0.8456271511610616,2
insurance,outer_0,greedy,4,0.03,0.0001,3,1070,quantile,0,0.8509532522643886,21835145.81296229,34747817330.27002,0.0054988861083984375,23730255.78475514,0.8369913432068627,23159878.81860217,0.8457866470762739,2
insurance,outer_0,greedy,4,0.03,1e-05,3,1070,quantile,0,0.8509458919870915,21836234.526110385,34738434213.620346,0.005539894104003906,23730252.075664956,0.8369913686854675,23157504.713290088,0.845802455394756,2
insurance,outer_0,greedy,4,0.01,0.1,3,1070,quantile,0,0.8545695357308719,21265021.22122437,28760466657.269524,0.006551027297973633,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3
insurance,outer_0,greedy,4,0.01,0.01,3,1070,quantile,0,0.8618515168673401,20198021.200773988,25973646865.4702,0.005641460418701172,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3
insurance,outer_0,greedy,4,0.01,0.001,3,1070,quantile,0,0.8620049616597786,20174715.405315887,25498819745.966866,0.005925655364990234,19409883.718821075,0.8666689856942621,19517720.53825239,0.8700384769192053,3
insurance,outer_0,greedy,4,0.01,0.0001,3,1070,quantile,0,0.8619841554525699,20177686.37555775,25446842549.35051,0.005999088287353516,19409349.361531496,0.8666726563190043,19511692.472579606,0.8700786156533639,3
insurance,outer_0,greedy,4,0.01,1e-05,3,1070,quantile,0,0.861981560706771,20178059.038984295,25441592568.65805,0.0060040950775146484,19409343.84945432,0.8666726941827468,19511099.604414634,0.870082563350512,3
insurance,outer_0,greedy,4,0.008,0.1,3,1070,quantile,0,0.8545695357308719,21265021.22122437,27825864500.946857,0.006567239761352539,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3
insurance,outer_0,greedy,4,0.008,0.01,3,1070,quantile,0,0.8618515168673401,20198021.200773988,25039044709.147533,0.006074190139770508,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3
insurance,outer_0,greedy,4,0.008,0.001,3,1070,quantile,0,0.8620049616597786,20174715.405315887,24564217589.644196,0.006098508834838867,19409883.718821075,0.8666689856942621,19517720.53825239,0.8700384769192053,3
insurance,outer_0,greedy,4,0.008,0.0001,3,1070,quantile,0,0.8619841554525699,20177686.37555775,24512240393.02784,0.00619053840637207,19409349.361531496,0.8666726563190043,19511692.472579606,0.8700786156533639,3
insurance,outer_0,greedy,4,0.008,1e-05,3,1070,quantile,0,0.861981560706771,20178059.038984295,24506990412.335384,0.005991697311401367,19409343.84945432,0.8666726941827468,19511099.604414634,0.870082563350512,3
insurance,outer_0,greedy,4,0.005,0.1,3,1070,quantile,0,0.8503969972103832,21863026.054428797,26423961266.462852,0.006684303283691406,20526766.386867844,0.8589968583828153,20574952.884981584,0.8629987447044766,3
insurance,outer_0,greedy,4,0.005,0.01,3,1070,quantile,0,0.8618515168673401,20198021.200773988,23637141474.66353,0.0062601566314697266,19450897.63587175,0.866387251540661,19586758.32898959,0.8695787789531055,3
