dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves,threshold_label
optical_net,outer_0,greedy,4,0.1,0.1,3,504,quantile,0,0.7511735877751805,0.0105534271794802,9.277918936575237,0.0050141811370849,0.0104017188926272,0.75682792076905,0.0187370566636975,0.4863830349729833,1.0,full
optical_net,outer_0,greedy,4,0.1,0.01,3,504,quantile,0,0.7911686106705952,0.0088554473698829,6.835901550386035,0.002267837524414,0.0084251600703081,0.8030360449749736,0.0182681405183211,0.4992368834596028,1.0,full
optical_net,outer_0,greedy,4,0.1,0.001,3,504,quantile,0,0.7869254010907779,0.0090224619273661,6.40776334205332,0.0022556781768798,0.0083320119065141,0.8052136689715594,0.0178652966231333,0.5102795708218555,1.0,full
optical_net,outer_0,greedy,4,0.1,0.0001,3,504,quantile,0,0.7858419163473332,0.009065984193317,6.359906695948117,0.0022485256195068,0.0083306744641727,0.8052449357879741,0.0178099172221598,0.5117976214081108,1.0,full
optical_net,outer_0,greedy,4,0.1,1e-05,3,504,quantile,0,0.7857229796884249,0.0090707669577138,6.355059042456452,0.002267837524414,0.0083306604987376,0.8052452622728488,0.0178041854553008,0.5119547396124912,1.0,full
optical_net,outer_0,greedy,4,0.08,0.1,3,504,quantile,0,0.7511735877751805,0.0105534271794802,8.846745560218556,0.0054287910461425,0.0104017188926272,0.75682792076905,0.0187370566636975,0.4863830349729833,1.0,full
optical_net,outer_0,greedy,4,0.08,0.01,3,504,quantile,0,0.7911686106705952,0.0088554473698829,6.404728174029357,0.0035343170166015,0.0084251600703081,0.8030360449749736,0.0182681405183211,0.4992368834596028,1.0,full
optical_net,outer_0,greedy,4,0.08,0.001,3,504,quantile,0,0.798435608926766,0.0085187539805772,5.9765899656966415,0.0022485256195068,0.0083320119065141,0.8052136689715594,0.0178652966231333,0.5102795708218555,1.0,full
optical_net,outer_0,greedy,4,0.08,0.0001,3,504,quantile,0,0.7672628195358934,0.009855361329003,5.928733319591439,0.0022604465484619,0.0083306744641727,0.8052449357879741,0.0178099172221598,0.5117976214081108,1.0,full
optical_net,outer_0,greedy,4,0.08,1e-05,3,504,quantile,0,0.7523444319330128,0.0104961576383397,5.923885666099773,0.0022387504577636,0.0083306604987376,0.8052452622728488,0.0178041854553008,0.5119547396124912,1.0,full
