dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
synch,outer_3,greedy,4,0.1,0.1,3,446,quantile,0,0.9824393801829782,0.0005755722302779923,2.3719935124540696,0.00010013580322265625,0.0005616297954650579,0.9830854541805228,0.0006128206038090551,0.9792919897217502,1
synch,outer_3,greedy,4,0.1,0.01,3,446,quantile,0,0.9992229779301655,2.5346779321059563e-05,1.616535713050261,9.465217590332031e-05,2.441059933196644e-05,0.9992648285325754,2.5706845707835157e-05,0.9991313320377441,1
synch,outer_3,greedy,4,0.1,0.001,3,446,quantile,0,0.9999900740383262,3.2346957690814417e-07,1.495564901407231,8.893013000488281e-05,3.103140727299096e-07,0.9999906543035216,3.253378459933059e-07,0.9999890064083733,1
synch,outer_3,greedy,4,0.1,0.0001,3,446,quantile,0,0.9999998980931295,3.3205956121560057e-09,1.4823758071546478,9.369850158691406e-05,3.184059171118429e-09,0.9999999041060229,3.336694740215887e-09,0.9999998872487176,1
synch,outer_3,greedy,4,0.1,1e-05,3,446,quantile,0,0.9999999989782249,3.3293767775609984e-11,1.4810444083531205,9.584426879882812e-05,3.1923271350394805e-11,0.9999999990385702,3.345206400193596e-11,0.999999998869611,1
synch,outer_3,greedy,4,0.08,0.1,3,446,quantile,0,0.9824393801829782,0.0005755722302779923,2.0758142458621416,9.655952453613281e-05,0.0005616297954650579,0.9830854541805228,0.0006128206038090551,0.9792919897217502,1
synch,outer_3,greedy,4,0.08,0.01,3,446,quantile,0,0.9992229779301655,2.5346779321059563e-05,1.3203564464583326,9.72747802734375e-05,2.441059933196644e-05,0.9992648285325754,2.5706845707835157e-05,0.9991313320377441,1
synch,outer_3,greedy,4,0.08,0.001,3,446,quantile,0,0.9999900740383262,3.2346957690814417e-07,1.1993856348153027,0.00010704994201660156,3.103140727299096e-07,0.9999906543035216,3.253378459933059e-07,0.9999890064083733,1
synch,outer_3,greedy,4,0.08,0.0001,3,446,quantile,0,0.9999998980931295,3.3205956121560057e-09,1.1861965405627195,9.655952453613281e-05,3.184059171118429e-09,0.9999999041060229,3.336694740215887e-09,0.9999998872487176,1
synch,outer_3,greedy,4,0.08,1e-05,3,446,quantile,0,0.9999999989782249,3.3293767775609984e-11,1.1848651417611922,9.34600830078125e-05,3.1923271350394805e-11,0.9999999990385702,3.345206400193596e-11,0.999999998869611,1
synch,outer_3,greedy,4,0.05,0.1,3,446,quantile,0,0.9824393801829782,0.0005755722302779923,1.631545345974249,0.0021293163299560547,0.0005616297954650579,0.9830854541805228,0.0006128206038090551,0.9792919897217502,1
synch,outer_3,greedy,4,0.05,0.01,3,446,quantile,0,0.9992229779301655,2.5346779321059563e-05,0.8760875465704403,9.751319885253906e-05,2.441059933196644e-05,0.9992648285325754,2.5706845707835157e-05,0.9991313320377441,1
synch,outer_3,greedy,4,0.05,0.001,3,446,quantile,0,0.9999900740383262,3.2346957690814417e-07,0.7551167349274104,9.72747802734375e-05,3.103140727299096e-07,0.9999906543035216,3.253378459933059e-07,0.9999890064083733,1
synch,outer_3,greedy,4,0.05,0.0001,3,446,quantile,0,0.9999998980931295,3.3205956121560057e-09,0.7419276406748272,9.393692016601562e-05,3.184059171118429e-09,0.9999999041060229,3.336694740215887e-09,0.9999998872487176,1
synch,outer_3,greedy,4,0.05,1e-05,3,446,quantile,0,0.9999999989782249,3.3293767775609984e-11,0.7405962418732999,9.369850158691406e-05,3.1923271350394805e-11,0.9999999990385702,3.345206400193596e-11,0.999999998869611,1
synch,outer_3,greedy,4,0.03,0.1,3,446,quantile,0,0.9824393801829782,0.0005755722302779923,1.3353660793823208,0.0025496482849121094,0.0005616297954650579,0.9830854541805228,0.0006128206038090551,0.9792919897217502,1
synch,outer_3,greedy,4,0.03,0.01,3,446,quantile,0,0.9992229779301655,2.5346779321059563e-05,0.579908279978512,9.679794311523438e-05,2.441059933196644e-05,0.9992648285325754,2.5706845707835157e-05,0.9991313320377441,1
synch,outer_3,greedy,4,0.03,0.001,3,446,quantile,0,0.9999900740383262,3.2346957690814417e-07,0.4589374683354821,9.417533874511719e-05,3.103140727299096e-07,0.9999906543035216,3.253378459933059e-07,0.9999890064083733,1
synch,outer_3,greedy,4,0.03,0.0001,3,446,quantile,0,0.9999998980931295,3.3205956121560057e-09,0.4457483740828989,9.441375732421875e-05,3.184059171118429e-09,0.9999999041060229,3.336694740215887e-09,0.9999998872487176,1
synch,outer_3,greedy,4,0.03,1e-05,3,446,quantile,0,0.9999999989782249,3.3293767775609984e-11,0.4444169752813716,9.441375732421875e-05,3.1923271350394805e-11,0.9999999990385702,3.345206400193596e-11,0.999999998869611,1
synch,outer_3,greedy,4,0.01,0.1,3,446,quantile,0,0.9824393801829782,0.0005755722302779923,1.0391868127903925,0.0025496482849121094,0.0005616297954650579,0.9830854541805228,0.0006128206038090551,0.9792919897217502,1
synch,outer_3,greedy,4,0.01,0.01,3,446,quantile,0,0.9992229779301655,2.5346779321059563e-05,0.28372901338658385,9.489059448242188e-05,2.441059933196644e-05,0.9992648285325754,2.5706845707835157e-05,0.9991313320377441,1
synch,outer_3,greedy,4,0.01,0.001,3,446,quantile,0,0.9999900740383262,3.2346957690814417e-07,0.1627582017435539,9.5367431640625e-05,3.103140727299096e-07,0.9999906543035216,3.253378459933059e-07,0.9999890064083733,1
synch,outer_3,greedy,4,0.01,0.0001,3,446,quantile,0,0.9999998980931295,3.3205956121560057e-09,0.14956910749097072,0.00010824203491210938,3.184059171118429e-09,0.9999999041060229,3.336694740215887e-09,0.9999998872487176,1
synch,outer_3,greedy,4,0.01,1e-05,3,446,quantile,0,0.9999999989782249,3.3293767775609984e-11,0.1482377086894434,9.751319885253906e-05,3.1923271350394805e-11,0.9999999990385702,3.345206400193596e-11,0.999999998869611,1
synch,outer_3,greedy,4,0.008,0.1,3,446,quantile,0,0.9824393801829782,0.0005755722302779923,1.0095688861311998,0.0025658607482910156,0.0005616297954650579,0.9830854541805228,0.0006128206038090551,0.9792919897217502,1
synch,outer_3,greedy,4,0.008,0.01,3,446,quantile,0,0.9992229779301655,2.5346779321059563e-05,0.254111086727391,0.0023148059844970703,2.441059933196644e-05,0.9992648285325754,2.5706845707835157e-05,0.9991313320377441,1
synch,outer_3,greedy,4,0.008,0.001,3,446,quantile,0,0.9999900740383262,3.2346957690814417e-07,0.13314027508436108,9.655952453613281e-05,3.103140727299096e-07,0.9999906543035216,3.253378459933059e-07,0.9999890064083733,1
