dataset,outer,method,depth,lambda,kappa,cv_folds,n_thresholds,thresholds_strategy,min_leaf_node_size,val_r2,val_mse,loss,train_time_s,train_mse,train_r2,test_mse,test_r2,n_leaves
yacht,outer_0,greedy,4,0.1,0.1,3,246,quantile,0,0.8305315872845932,39.24674268781054,17927.033354718842,0.0007228851318359375,22.2668368418121,0.9052388663619438,19.9095248005432,0.9030956280921109,2
yacht,outer_0,greedy,4,0.1,0.01,3,246,quantile,0,0.9170311645782244,19.384022429255655,16606.061021205773,0.0007166862487792969,18.397262494102296,0.9217066410391791,17.52422651484793,0.9147054397025798,2
yacht,outer_0,greedy,4,0.1,0.001,3,246,quantile,0,0.9798691028849902,4.542833576342725,13008.914583480499,0.0007491111755371094,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,greedy,4,0.1,0.0001,3,246,quantile,0,0.9806001324051845,4.350256576099928,12432.500202258152,0.0007028579711914062,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,greedy,4,0.1,1e-05,3,246,quantile,0,0.980586529818606,4.352820818140919,12372.17615750964,0.0006792545318603516,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,greedy,4,0.08,0.1,3,246,quantile,0,0.8305315872845932,39.24674268781054,15614.844104637543,0.0007202625274658203,22.2668368418121,0.9052388663619438,19.9095248005432,0.9030956280921109,2
yacht,outer_0,greedy,4,0.08,0.01,3,246,quantile,0,0.9170311645782244,19.384022429255655,14293.871771124472,0.0006635189056396484,18.397262494102296,0.9217066410391791,17.52422651484793,0.9147054397025798,2
yacht,outer_0,greedy,4,0.08,0.001,3,246,quantile,0,0.9798691028849902,4.542833576342725,10696.7253333992,0.0006539821624755859,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,greedy,4,0.08,0.0001,3,246,quantile,0,0.9806001324051845,4.350256576099928,10120.310952176853,0.0006926059722900391,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,greedy,4,0.08,1e-05,3,246,quantile,0,0.980586529818606,4.352820818140919,10059.986907428342,0.0006518363952636719,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,greedy,4,0.05,0.1,3,246,quantile,0,0.8305315872845932,39.24674268781054,12146.560229515591,0.001163482666015625,22.2668368418121,0.9052388663619438,19.9095248005432,0.9030956280921109,2
yacht,outer_0,greedy,4,0.05,0.01,3,246,quantile,0,0.9170311645782244,19.384022429255655,10825.58789600252,0.0006837844848632812,18.397262494102296,0.9217066410391791,17.52422651484793,0.9147054397025798,2
yacht,outer_0,greedy,4,0.05,0.001,3,246,quantile,0,0.9798691028849902,4.542833576342725,7228.441458277248,0.0006937980651855469,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,greedy,4,0.05,0.0001,3,246,quantile,0,0.9806001324051845,4.350256576099928,6652.027077054901,0.0006515979766845703,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,greedy,4,0.05,1e-05,3,246,quantile,0,0.980586529818606,4.352820818140919,6591.70303230639,0.0006506443023681641,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,greedy,4,0.03,0.1,3,246,quantile,0,0.8305315872845932,39.24674268781054,9298.194822292353,0.001252889633178711,15.094496914616757,0.9357622436681572,12.519735610534902,0.939063482029535,3
yacht,outer_0,greedy,4,0.03,0.01,3,246,quantile,0,0.9170311645782244,19.384022429255655,8385.31227773236,0.0011701583862304688,10.688095500794327,0.9545145970538016,10.030888318177169,0.9511772911765015,3
yacht,outer_0,greedy,4,0.03,0.001,3,246,quantile,0,0.9798691028849902,4.542833576342725,4916.252208195947,0.0006532669067382812,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,greedy,4,0.03,0.0001,3,246,quantile,0,0.9806001324051845,4.350256576099928,4339.8378269736,0.0006508827209472656,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,greedy,4,0.03,1e-05,3,246,quantile,0,0.980586529818606,4.352820818140919,4279.513782225089,0.0006854534149169922,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,greedy,4,0.01,0.1,3,246,quantile,0,0.8300533270024025,39.39154341849094,5829.910947170405,0.0012722015380859375,15.094496914616757,0.9357622436681572,12.519735610534902,0.939063482029535,3
yacht,outer_0,greedy,4,0.01,0.01,3,246,quantile,0,0.9170311645782244,19.384022429255655,4917.028402610411,0.0012710094451904297,10.688095500794327,0.9545145970538016,10.030888318177169,0.9511772911765015,3
yacht,outer_0,greedy,4,0.01,0.001,3,246,quantile,0,0.9798691028849902,4.542833576342725,2604.0629581146477,0.0008623600006103516,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
yacht,outer_0,greedy,4,0.01,0.0001,3,246,quantile,0,0.9806001324051845,4.350256576099928,2027.6485768923012,0.0008435249328613281,3.2716057332809165,0.9860770045469451,2.3049051721939255,0.9887814807105489,2
yacht,outer_0,greedy,4,0.01,1e-05,3,246,quantile,0,0.980586529818606,4.352820818140919,1967.3245321437898,0.0008387565612792969,3.270318110941997,0.9860824842903592,2.3008017806796452,0.9888014528887585,2
yacht,outer_0,greedy,4,0.008,0.1,3,246,quantile,0,0.8300533270024025,39.39154341849094,5483.08255965821,0.0011754035949707031,15.094496914616757,0.9357622436681572,12.519735610534902,0.939063482029535,3
yacht,outer_0,greedy,4,0.008,0.01,3,246,quantile,0,0.9184828623945097,18.944498361811814,4570.200015098217,0.0011947154998779297,10.688095500794327,0.9545145970538016,10.030888318177169,0.9511772911765015,3
yacht,outer_0,greedy,4,0.008,0.001,3,246,quantile,0,0.9798691028849902,4.542833576342725,2372.8440331065176,0.0008463859558105469,3.3862059711591925,0.9855892995112598,2.453000583043898,0.9880606652759955,2
